play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
henry-iv-part-2,"Henry IV, Part 2",prologue,0,1,Prologue,1,1,18,367,0,-0.24762,-0.2202,-0.12258,-0.03402,0.50584,0.37824
henry-iv-part-2,"Henry IV, Part 2",main,1,1,1.1,2,35,143,2112,0,-0.12013,0.0,-0.14023,-0.11332,0.46651,0.41453
henry-iv-part-2,"Henry IV, Part 2",main,1,2,1.2,3,72,199,2526,0,0.01428,0.0,-0.12053,-0.11392,0.38974,0.37642
henry-iv-part-2,"Henry IV, Part 2",main,1,3,1.3,4,20,61,1089,0,0.03406,0.0,-0.16886,-0.11883,0.47373,0.31536
henry-iv-part-2,"Henry IV, Part 2",main,2,1,2.1,5,70,157,1889,0,0.02779,0.0,-0.0094,-0.01467,0.38182,0.39391
henry-iv-part-2,"Henry IV, Part 2",main,2,2,2.2,6,68,129,1697,0,0.05206,0.0,-0.02927,-0.02174,0.36572,0.40934
henry-iv-part-2,"Henry IV, Part 2",main,2,3,2.3,7,8,45,654,0,0.17783,0.2732,-0.05957,-0.07336,0.52876,0.42549
henry-iv-part-2,"Henry IV, Part 2",main,2,4,2.4,8,149,351,3479,0,0.03029,0.0,-0.01747,-0.01865,0.4181,0.40521
henry-iv-part-2,"Henry IV, Part 2",main,3,1,3.1,9,14,53,977,0,0.0239,0.0,-0.07086,-0.05213,0.46748,0.42107
henry-iv-part-2,"Henry IV, Part 2",main,3,2,3.2,10,128,311,2978,0,0.11215,0.0,0.06587,0.01854,0.37172,0.38653
henry-iv-part-2,"Henry IV, Part 2",main,4,1,4.1,11,76,212,3202,0,0.075,0.0,-0.07496,-0.03047,0.48649,0.40099
henry-iv-part-2,"Henry IV, Part 2",main,4,2,4.2,12,33,98,1362,0,0.13504,0.0,0.07202,0.0643,0.41177,0.37448
henry-iv-part-2,"Henry IV, Part 2",main,4,3,4.3,13,79,252,3523,0,0.00695,0.0,-0.06937,-0.03769,0.44989,0.41898
henry-iv-part-2,"Henry IV, Part 2",main,5,1,5.1,14,27,60,825,0,0.2913,0.3057,-0.00612,-0.00967,0.32822,0.37143
henry-iv-part-2,"Henry IV, Part 2",main,5,2,5.2,15,29,88,1377,0,0.10862,0.0129,-0.07008,-0.05247,0.49314,0.42561
henry-iv-part-2,"Henry IV, Part 2",main,5,3,5.3,16,62,124,1192,0,0.17801,0.0,0.17178,0.17301,0.40621,0.34377
henry-iv-part-2,"Henry IV, Part 2",main,5,4,5.4,17,14,28,270,0,-0.08433,0.0,0.09551,0.05836,0.37388,0.42992
henry-iv-part-2,"Henry IV, Part 2",main,5,5,5.5,18,42,85,957,0,0.11411,0.0,0.01937,0.06754,0.38604,0.43475
henry-iv-part-2,"Henry IV, Part 2",epilogue,6,1,Epilogue,19,1,25,452,0,0.07438,0.1027,-0.1589,-0.29888,0.45965,0.42423
