play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
henry-v,Henry V,main,1,,1.Prologue,1,1,16,283,0,0.20186,0.35255,0.14572,0.14443,0.54203,0.36765
henry-v,Henry V,main,1,1,1.1,2,22,42,749,0,0.09632,0.0,-0.08606,-0.05152,0.44743,0.34472
henry-v,Henry V,main,1,2,1.2,3,32,107,2435,0,0.20508,0.3182,-0.03223,-0.00197,0.45614,0.41578
henry-v,Henry V,main,2,,2.Prologue,4,1,16,342,0,0.26317,0.34,0.0004,0.00483,0.51625,0.36355
henry-v,Henry V,main,2,1,2.1,5,44,99,1041,0,0.01242,0.0,0.03719,0.07127,0.39885,0.38767
henry-v,Henry V,main,2,2,2.2,6,31,91,1491,0,0.00551,0.0,0.00973,-0.02204,0.48639,0.44407
henry-v,Henry V,main,2,3,2.3,7,43,107,1640,0,-0.02352,0.0,-0.05156,-0.00982,0.46168,0.40294
henry-v,Henry V,main,3,,3.Prologue,8,2,15,256,0,0.00921,0.0,-0.04147,0.003,0.37257,0.29683
henry-v,Henry V,main,3,1,3.1,9,1,14,286,0,-0.05235,0.0,-0.02921,0.07105,0.4654,0.46437
henry-v,Henry V,main,3,2,3.2,10,34,86,1155,0,0.02915,0.0,-0.05034,-0.01532,0.44071,0.432
henry-v,Henry V,main,3,3,3.3,11,3,23,464,0,-0.14361,0.0,-0.15537,-0.06241,0.56321,0.43387
henry-v,Henry V,main,3,4,3.4,12,35,57,484,0,0.1592,0.0,0.04806,0.0015,0.30683,0.28559
henry-v,Henry V,main,3,5,3.5,13,12,28,556,0,-0.01721,0.0,-0.0436,0.00081,0.5521,0.39892
henry-v,Henry V,main,3,6,3.6,14,41,97,1399,0,0.04487,0.0,0.05981,0.03959,0.50166,0.42618
henry-v,Henry V,main,3,7,3.7,15,52,131,1512,0,0.08417,0.0,-0.05745,-0.03561,0.3963,0.43412
henry-v,Henry V,main,4,,4.Prologue,16,1,13,411,0,-0.24691,-0.4076,-0.15988,-0.01528,0.52281,0.44948
henry-v,Henry V,main,4,1,4.1,17,83,184,2490,0,0.01817,0.0,-0.04414,-0.01002,0.44965,0.38776
henry-v,Henry V,main,4,2,4.2,18,14,53,665,0,-0.12631,0.0,0.01953,-0.00945,0.37701,0.43274
henry-v,Henry V,main,4,3,4.3,19,24,74,1118,0,0.11036,0.0,-0.04179,-0.01054,0.42567,0.42468
henry-v,Henry V,main,4,4,4.4,20,32,52,547,0,0.13221,0.0,0.08237,0.07116,0.37786,0.38269
henry-v,Henry V,main,4,5,4.5,21,7,29,256,0,-0.31198,-0.4215,-0.07432,-0.23999,0.3664,0.53708
henry-v,Henry V,main,4,6,4.6,22,6,19,305,0,0.10482,0.0,-0.02357,0.00718,0.51779,0.3713
henry-v,Henry V,main,4,7,4.7,23,53,104,1472,0,0.0457,0.0,0.06902,0.02368,0.44516,0.3839
henry-v,Henry V,main,4,8,4.8,24,39,83,1056,0,0.00191,0.0,0.00343,0.01038,0.42813,0.40865
henry-v,Henry V,main,5,,5.Prologue,25,1,17,344,0,0.23873,0.0772,-0.07185,-0.01065,0.33144,0.30336
henry-v,Henry V,main,5,1,5.1,26,27,64,725,0,-0.05817,0.0,-0.00847,0.0101,0.41522,0.36534
henry-v,Henry V,main,5,2,5.2,27,82,190,3156,0,0.30085,0.3818,0.02702,0.00633,0.43056,0.43597
