play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,1,stage_direction,,,"Alarum. Enter YORK, EDWARD, RICHARD, NORFOLK, MONTAGUE, WARWICK, and Soldiers",-0.34,0.03595
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,2,speech,WARWICK,WARWICK,I wonder how the king escaped our hands.,0.0,-0.05673
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,3,speech,YORK,YORK,"While we pursued the horsemen of the north,
He slily stole away and left his men:
Whereat the great Lord of Northumberland,
Whose warlike ears could never brook retreat,
Cheer'd up the drooping army ; and himself,
Lord Clifford and Lord Stafford, all abreast,
Charged our main battle's front, and breaking in
Were by the swords of common soldiers slain.",-0.872,0.09216
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,4,speech,EDWARD,EDWARD,"Lord Stafford's father, Duke of Buckingham,
Is either slain or wounded dangerously;
I cleft his beaver with a downright blow:
That this is true, father, behold his blood.",-0.8481,0.01096
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,5,speech,MONTAGUE,MONTAGUE,"And, brother, here's the Earl of Wiltshire's blood,
Whom I encounter'd as the battles join'd.",-0.5994,0.4122
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,6,speech,RICHARD,RICHARD,Speak thou for me and tell them what I did.,0.0,0.31499
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,7,speech,YORK,YORK,"Richard hath best deserved of all my sons.
But is your grace dead, my Lord of Somerset?",-0.7876,-0.38294
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,8,speech,NORFOLK,NORFOLK,Such hope have all the line of John of Gaunt!,0.4926,0.19124
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,9,speech,RICHARD,RICHARD,Thus do I hope to shake King Henry's head.,0.4404,-0.33977
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,10,speech,WARWICK,WARWICK,"And so do I. Victorious Prince of York,
Before I see thee seated in that throne
Which now the house of Lancaster usurps,
I vow by heaven these eyes shall never close.
This is the palace of the fearful king,
And this the regal seat: possess it, York;
For this is thine and not King Henry's heirs'.",-0.5093,0.84892
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,11,speech,YORK,YORK,"Assist me, then, sweet Warwick, and I will;
For hither we have broken in by force.",0.3612,0.32204
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,12,speech,NORFOLK,NORFOLK,We'll all assist you; he that flies shall die.,-0.296,0.22847
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,13,speech,YORK,YORK,"Thanks, gentle Norfolk: stay by me, my lords;
And, soldiers, stay and lodge by me this night.",0.7096,0.52606
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,14,stage_direction,,,They go up,0.0,0.11604
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,15,speech,WARWICK,WARWICK,"And when the king comes, offer no violence,
Unless he seek to thrust you out perforce.",0.4847,-0.43085
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,16,speech,YORK,YORK,"The queen this day here holds her parliament,
But little thinks we shall be of her council:
By words or blows here let us win our right.",0.7574,-0.00259
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,17,speech,RICHARD,RICHARD,"Arm'd as we are, let's stay within this house.",0.0,0.17488
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,18,speech,WARWICK,WARWICK,"The bloody parliament shall this be call'd,
Unless Plantagenet, Duke of York, be king,
And bashful Henry deposed, whose cowardice
Hath made us by-words to our enemies.",-0.7964,0.4052
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,19,speech,YORK,YORK,"Then leave me not, my lords; be resolute;
I mean to take possession of my right.",0.466,0.53857
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,20,speech,WARWICK,WARWICK,"Neither the king, nor he that loves him best,
The proudest he that holds up Lancaster,
Dares stir a wing, if Warwick shake his bells.
I'll plant Plantagenet, root him up who dares:
Resolve thee, Richard; claim the English crown.",0.4704,0.60662
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,21,stage_direction,,,"Flourish. Enter KING HENRY VI, CLIFFORD, NORTHUMBERLAND, WESTMORELAND, EXETER, and the rest",0.0,0.04899
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,22,speech,KING HENRY VI,KING HENRY VI,"My lords, look where the sturdy rebel sits,
Even in the chair of state: belike he means,
Back'd by the power of Warwick, that false peer,
To aspire unto the crown and reign as king.
Earl of Northumberland, he slew thy father.
And thine, Lord Clifford; and you both have vow'd
revenge
On him, his sons, his favourites and his friends.",-0.7644,-0.45191
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,23,speech,NORTHUMBERLAND,NORTHUMBERLAND,"If I be not, heavens be revenged on me!",-0.714,0.70652
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,24,speech,CLIFFORD,CLIFFORD,The hope thereof makes Clifford mourn in steel.,-0.5267,-0.85709
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,25,speech,WESTMORELAND,WESTMORELAND,"What, shall we suffer this? let's pluck him down:
My heart for anger burns; I cannot brook it.",0.4137,-0.88932
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,26,speech,KING HENRY VI,KING HENRY VI,"Be patient, gentle Earl of Westmoreland.",0.4404,0.3285
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,27,speech,CLIFFORD,CLIFFORD,"Patience is for poltroons, such as he:
He durst not sit there, had your father lived.
My gracious lord, here in the parliament
Let us assail the family of York.",0.7088,0.48
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,28,speech,NORTHUMBERLAND,NORTHUMBERLAND,"Well hast thou spoken, cousin: be it so.",0.2732,0.47301
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,29,speech,KING HENRY VI,KING HENRY VI,"Ah, know you not the city favours them,
And they have troops of soldiers at their beck?",0.3612,-0.11382
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,30,speech,EXETER,EXETER,"But when the duke is slain, they'll quickly fly.",-0.8047,-0.325
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,31,speech,KING HENRY VI,KING HENRY VI,"F ar be the thought of this from Henry's heart,
To make a shambles of the parliament-house!
Cousin of Exeter, frowns, words and threats
Shall be the war that Henry means to use.
Thou factious Duke of York, descend my throne,
and kneel for grace and mercy at my feet;
I am thy sovereign.",-0.4389,-0.36252
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,32,speech,YORK,YORK,I am thine.,0.0,-0.55937
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,33,speech,EXETER,EXETER,"For shame, come down: he made thee Duke of York.",-0.5255,0.60289
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,34,speech,YORK,YORK,"'Twas my inheritance, as the earldom was.",0.0,0.63795
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,35,speech,EXETER,EXETER,Thy father was a traitor to the crown.,0.0,0.12059
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,36,speech,WARWICK,WARWICK,"Exeter, thou art a traitor to the crown
In following this usurping Henry.",0.0,-0.03002
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,37,speech,CLIFFORD,CLIFFORD,Whom should he follow but his natural king?,0.0,-0.05188
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,38,speech,WARWICK,WARWICK,"True, Clifford; and that's Richard Duke of York.",0.4215,0.55673
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,39,speech,KING HENRY VI,KING HENRY VI,"And shall I stand, and thou sit in my throne?",0.0,-0.04569
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,40,speech,YORK,YORK,It must and shall be so: content thyself.,0.3818,0.01834
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,41,speech,WARWICK,WARWICK,Be Duke of Lancaster; let him be king.,0.0,-0.24236
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,42,speech,WESTMORELAND,WESTMORELAND,"He is both king and Duke of Lancaster;
And that the Lord of Westmoreland shall maintain.",0.0,0.0554
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,43,speech,WARWICK,WARWICK,"And Warwick shall disprove it. You forget
That we are those which chased you from the field
And slew your fathers, and with colours spread
March'd through the city to the palace gates.",-0.8658,-0.52163
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,44,speech,NORTHUMBERLAND,NORTHUMBERLAND,"Yes, Warwick, I remember it to my grief;
And, by his soul, thou and thy house shall rue it.",-0.4404,0.45457
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,45,speech,WESTMORELAND,WESTMORELAND,"Plantagenet, of thee and these thy sons,
Thy kinsman and thy friends, I'll have more lives
Than drops of blood were in my father's veins.",-0.34,0.57963
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,46,speech,CLIFFORD,CLIFFORD,"Urge it no more; lest that, instead of words,
I send thee, Warwick, such a messenger
As shall revenge his death before I stir.",-0.765,-0.44312
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,47,speech,WARWICK,WARWICK,Poor Clifford! how I scorn his worthless threats!,-0.9039,0.15658
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,48,speech,YORK,YORK,"Will you we show our title to the crown?
If not, our swords shall plead it in the field.",-0.3182,-0.00215
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,49,speech,KING HENRY VI,KING HENRY VI,"What title hast thou, traitor, to the crown?
Thy father was, as thou art, Duke of York;
Thy grandfather, Roger Mortimer, Earl of March:
I am the son of Henry the Fifth,
Who made the Dauphin and the French to stoop
And seized upon their towns and provinces.",0.3612,0.10047
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,50,speech,WARWICK,WARWICK,"Talk not of France, sith thou hast lost it all.",-0.3182,-0.47119
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,51,speech,KING HENRY VI,KING HENRY VI,"The lord protector lost it, and not I:
When I was crown'd I was but nine months old.",0.3089,0.52904
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,52,speech,RICHARD,RICHARD,"You are old enough now, and yet, methinks, you lose.
Father, tear the crown from the usurper's head.",-0.3818,-0.6759
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,53,speech,EDWARD,EDWARD,"Sweet father, do so; set it on your head.",0.4588,0.47792
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,54,speech,MONTAGUE,MONTAGUE,"Good brother, as thou lovest and honourest arms,
Let's fight it out and not stand cavilling thus.",0.8262,-0.2568
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,55,speech,RICHARD,RICHARD,"Sound drums and trumpets, and the king will fly.",0.0,0.05266
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,56,speech,YORK,YORK,"Sons, peace!",0.3802,0.34861
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,57,speech,KING HENRY VI,KING HENRY VI,"Peace, thou! and give King Henry leave to speak.",0.3802,0.36842
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,58,speech,WARWICK,WARWICK,"Plantagenet shall speak first: hear him, lords;
And be you silent and attentive too,
For he that interrupts him shall not live.",-0.802,0.15122
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,59,speech,KING HENRY VI,KING HENRY VI,"Think'st thou that I will leave my kingly throne,
Wherein my grandsire and my father sat?
No: first shall war unpeople this my realm;
Ay, and their colours, often borne in France,
And now in England to our heart's great sorrow,
Shall be my winding-sheet. Why faint you, lords?
My title's good, and better far than his.",-0.504,0.38218
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,60,speech,WARWICK,WARWICK,"Prove it, Henry, and thou shalt be king.",0.0,0.66883
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,61,speech,KING HENRY VI,KING HENRY VI,Henry the Fourth by conquest got the crown.,0.0,0.02134
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,62,speech,YORK,YORK,'Twas by rebellion against his king.,0.4939,0.02498
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,63,speech,KING HENRY VI,KING HENRY VI,"[Aside] I know not what to say; my title's weak.—
Tell me, may not a king adopt an heir?",-0.5296,-0.68953
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,64,speech,YORK,YORK,What then?,0.0,-0.03576
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,65,speech,KING HENRY VI,KING HENRY VI,"An if he may, then am I lawful king;
For Richard, in the view of many lords,
Resign'd the crown to Henry the Fourth,
Whose heir my father was, and I am his.",-0.25,0.1601
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,66,speech,YORK,YORK,"He rose against him, being his sovereign,
And made him to resign his crown perforce.",-0.4588,0.2802
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,67,speech,WARWICK,WARWICK,"Suppose, my lords, he did it unconstrain'd,
Think you 'twere prejudicial to his crown?",0.0,0.42154
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,68,speech,EXETER,EXETER,"No; for he could not so resign his crown
But that the next heir should succeed and reign.",0.6705,-0.4451
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,69,speech,KING HENRY VI,KING HENRY VI,"Art thou against us, Duke of Exeter?",0.0,-0.02445
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,70,speech,EXETER,EXETER,"His is the right, and therefore pardon me.",0.685,0.17426
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,71,speech,YORK,YORK,"Why whisper you, my lords, and answer not?",0.0,-0.5031
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,72,speech,EXETER,EXETER,My conscience tells me he is lawful king.,0.0,0.60718
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,73,speech,KING HENRY VI,KING HENRY VI,"[Aside] All will revolt from me, and turn to him.",-0.1531,0.55488
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,74,speech,NORTHUMBERLAND,NORTHUMBERLAND,"Plantagenet, for all the claim thou lay'st,
Think not that Henry shall be so deposed.",0.4795,-0.27716
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,75,speech,WARWICK,WARWICK,"Deposed he shall be, in despite of all.",-0.5267,-0.67244
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,76,speech,NORTHUMBERLAND,NORTHUMBERLAND,"Thou art deceived: 'tis not thy southern power,
Of Essex, Norfolk, Suffolk, nor of Kent,
Which makes thee thus presumptuous and proud,
Can set the duke up in despite of me.",0.7079,-0.38622
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,77,speech,CLIFFORD,CLIFFORD,"King Henry, be thy title right or wrong,
Lord Clifford vows to fight in thy defence:
May that ground gape and swallow me alive,
Where I shall kneel to him that slew my father!",-0.889,0.63735
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,78,speech,KING HENRY VI,KING HENRY VI,"O Clifford, how thy words revive my heart!",0.6696,0.83596
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,79,speech,YORK,YORK,"Henry of Lancaster, resign thy crown.
What mutter you, or what conspire you, lords?",0.0,0.15264
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,80,speech,WARWICK,WARWICK,"Do right unto this princely Duke of York,
Or I will fill the house with armed men,
And over the chair of state, where now he sits,
Write up his title with usurping blood.",0.5423,0.27946
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,81,speech,KING HENRY VI,KING HENRY VI,"My Lord of Warwick, hear me but one word:
Let me for this my life-time reign as king.",0.0,0.28744
henry-vi-part-3,"Henry VI, Part 3",main,1,1,1,82,speech,YORK,YORK,"Confirm the crown to me and to mine heirs,
And thou shalt reign in quiet while thou livest.",-0.1531,-0.10941
