play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score
henry-viii,Henry VIII,main,1,,1,1,speech,CHORUS,CHORUS,"I come no more to make you laugh: things now,
That bear a weighty and a serious brow,
Sad, high, and working, full of state and woe,
Such noble scenes as draw the eye to flow,
We now present. Those that can pity, here
May, if they think it well, let fall a tear;
The subject will deserve it. Such as give
Their money out of hope they may believe,
May here find truth too. Those that come to see
Only a show or two, and so agree
The play may pass, if they be still and willing,
I'll undertake may see away their shilling
Richly in two short hours. Only they
That come to hear a merry bawdy play,
A noise of targets, or to see a fellow
In a long motley coat guarded with yellow,
Will be deceived; for, gentle hearers, know,
To rank our chosen truth with such a show
As fool and fight is, beside forfeiting
Our own brains, and the opinion that we bring,
To make that only true we now intend,
Will leave us never an understanding friend.
Therefore, for goodness' sake, and as you are known
The first and happiest hearers of the town,
Be sad, as we would make ye: think ye see
The very persons of our noble story
As they were living; think you see them great,
And follow'd with the general throng and sweat
Of thousand friends; then in a moment, see
How soon this mightiness meets misery:
And, if you can be merry then, I'll say
A man may weep upon his wedding-day.",0.9904,-0.76355
henry-viii,Henry VIII,main,1,1,2,2,stage_direction,,,"Enter NORFOLK at one door; at the other, BUCKINGHAM and ABERGAVENNY",0.0,0.01148
henry-viii,Henry VIII,main,1,1,2,3,speech,BUCKINGHAM,BUCKINGHAM,"Good morrow, and well met. How have ye done
Since last we saw in France?",0.7003,0.45062
henry-viii,Henry VIII,main,1,1,2,4,speech,NORFOLK,NORFOLK,"I thank your grace,
Healthful; and ever since a fresh admirer
Of what I saw there.",0.7845,0.5582
henry-viii,Henry VIII,main,1,1,2,5,speech,BUCKINGHAM,BUCKINGHAM,"An untimely ague
Stay'd me a prisoner in my chamber when
Those suns of glory, those two lights of men,
Met in the vale of Andren.",0.1531,-0.69227
henry-viii,Henry VIII,main,1,1,2,6,speech,NORFOLK,NORFOLK,"'Twixt Guynes and Arde:
I was then present, saw them salute on horseback;
Beheld them, when they lighted, how they clung
In their embracement, as they grew together;
Which had they, what four throned ones could have
weigh'd
Such a compounded one?",0.8038,-0.13973
henry-viii,Henry VIII,main,1,1,2,7,speech,BUCKINGHAM,BUCKINGHAM,"All the whole time
I was my chamber's prisoner.",-0.4588,-0.77872
henry-viii,Henry VIII,main,1,1,2,8,speech,NORFOLK,NORFOLK,"Then you lost
The view of earthly glory: men might say,
Till this time pomp was single, but now married
To one above itself. Each following day
Became the next day's master, till the last
Made former wonders its. To-day the French,
All clinquant, all in gold, like heathen gods,
Shone down the English; and, to-morrow, they
Made Britain India: every man that stood
Show'd like a mine. Their dwarfish pages were
As cherubins, all guilt: the madams too,
Not used to toil, did almost sweat to bear
The pride upon them, that their very labour
Was to them as a painting: now this masque
Was cried incomparable; and the ensuing night
Made it a fool and beggar. The two kings,
Equal in lustre, were now best, now worst,
As presence did present them; him in eye,
Still him in praise: and, being present both
'Twas said they saw but one; and no discerner
Durst wag his tongue in censure. When these suns—
For so they phrase 'em—by their heralds challenged
The noble spirits to arms, they did perform
Beyond thought's compass; that former fabulous story,
Being now seen possible enough, got credit,
That Bevis was believed.",0.9955,-0.30153
henry-viii,Henry VIII,main,1,1,2,9,speech,BUCKINGHAM,BUCKINGHAM,"O, you go far.",0.5423,0.52986
henry-viii,Henry VIII,main,1,1,2,10,speech,NORFOLK,NORFOLK,"As I belong to worship and affect
In honour honesty, the tract of every thing
Would by a good discourser lose some life,
Which action's self was tongue to. All was royal;
To the disposing of it nought rebell'd.
Order gave each thing view; the office did
Distinctly his full function.",0.9479,0.63555
henry-viii,Henry VIII,main,1,1,2,11,speech,BUCKINGHAM,BUCKINGHAM,"Who did guide,
I mean, who set the body and the limbs
Of this great sport together, as you guess?",0.4329,0.04313
henry-viii,Henry VIII,main,1,1,2,12,speech,NORFOLK,NORFOLK,"One, certes, that promises no element
In such a business.",0.0,-0.12959
henry-viii,Henry VIII,main,1,1,2,13,speech,BUCKINGHAM,BUCKINGHAM,"I pray you, who, my lord?",0.0,0.11946
henry-viii,Henry VIII,main,1,1,2,14,speech,NORFOLK,NORFOLK,"All this was order'd by the good discretion
Of the right reverend Cardinal of York.",0.743,0.34778
henry-viii,Henry VIII,main,1,1,2,15,speech,BUCKINGHAM,BUCKINGHAM,"The devil speed him! no man's pie is freed
From his ambitious finger. What had he
To do in these fierce vanities? I wonder
That such a keech can with his very bulk
Take up the rays o' the beneficial sun
And keep it from the earth.",0.3853,0.19756
henry-viii,Henry VIII,main,1,1,2,16,speech,NORFOLK,NORFOLK,"Surely, sir,
There's in him stuff that puts him to these ends;
For, being not propp'd by ancestry, whose grace
Chalks successors their way, nor call'd upon
For high feats done to the crown; neither allied
For eminent assistants; but, spider-like,
Out of his self-drawing web, he gives us note,
The force of his own merit makes his way
A gift that heaven gives for him, which buys
A place next to the king.",0.9409,-0.22345
henry-viii,Henry VIII,main,1,1,2,17,speech,ABERGAVENNY,ABERGAVENNY,"I cannot tell
What heaven hath given him,—let some graver eye
Pierce into that; but I can see his pride
Peep through each part of him: whence has he that,
If not from hell? the devil is a niggard,
Or has given all before, and he begins
A new hell in himself.",-0.8349,-0.46491
henry-viii,Henry VIII,main,1,1,2,18,speech,BUCKINGHAM,BUCKINGHAM,"Why the devil,
Upon this French going out, took he upon him,
Without the privity o' the king, to appoint
Who should attend on him? He makes up the file
Of all the gentry; for the most part such
To whom as great a charge as little honour
He meant to lay upon: and his own letter,
The honourable board of council out,
Must fetch him in the papers.",-0.6273,-0.01873
henry-viii,Henry VIII,main,1,1,2,19,speech,ABERGAVENNY,ABERGAVENNY,"I do know
Kinsmen of mine, three at the least, that have
By this so sickened their estates, that never
They shall abound as formerly.",-0.4522,-0.76099
