play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
king-john,King John,main,1,1,1.1,1,72,196,2426,8,0.1023,0.0,0.01628,-0.00659,0.40751,0.40518
king-john,King John,main,2,1,2.1,2,127,369,4897,13,0.01999,0.0,0.05984,0.01646,0.48036,0.39044
king-john,King John,main,3,1,3.1,3,80,233,2917,6,-0.02886,0.0,-0.05304,-0.05922,0.49803,0.45767
king-john,King John,main,3,2,3.2,4,6,14,91,4,-0.03655,0.0,0.06831,0.0156,0.45858,0.43099
king-john,King John,main,3,3,3.3,5,24,60,609,4,0.12261,0.0,0.09203,0.14094,0.42121,0.41935
king-john,King John,main,3,4,3.4,6,40,119,1495,5,0.03866,0.0,-0.0342,-0.04398,0.4745,0.46325
king-john,King John,main,4,1,4.1,7,49,124,1192,6,0.04486,0.0,-0.05268,-0.04415,0.40313,0.42023
king-john,King John,main,4,2,4.2,8,65,164,2137,10,-0.08822,0.0,-0.13226,-0.05843,0.46055,0.41479
king-john,King John,main,4,3,4.3,9,59,123,1345,7,-0.16324,0.0,-0.10609,-0.06308,0.44522,0.45314
king-john,King John,main,5,1,5.1,10,18,50,615,4,-0.05868,0.0,-0.06024,0.00032,0.51775,0.43043
king-john,King John,main,5,2,5.2,11,25,88,1417,5,0.07228,0.0,0.00625,0.00551,0.47819,0.40267
king-john,King John,main,5,3,5.3,12,10,20,145,4,-0.04758,0.0,-0.08032,0.02122,0.31451,0.39221
king-john,King John,main,5,4,5.4,13,15,35,483,3,0.08272,0.0,-0.04703,-0.09046,0.5151,0.45069
king-john,King John,main,5,5,5.5,14,10,18,183,3,-0.02513,0.0,-0.10361,-0.10101,0.45879,0.44595
king-john,King John,main,5,6,5.6,15,22,44,361,2,-0.02208,0.0,-0.08777,-0.02424,0.36542,0.37894
king-john,King John,main,5,7,5.7,16,33,72,980,7,-0.06945,0.0,-0.0938,-0.11136,0.48271,0.41741
