play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
king-lear,King Lear,main,1,1,1.1,1,86,208,2887,0,0.144,0.0,0.01263,-0.00947,0.43203,0.44713
king-lear,King Lear,main,1,2,1.2,2,51,143,1690,0,-0.04589,0.0,-0.07379,-0.04522,0.44416,0.39809
king-lear,King Lear,main,1,3,1.3,3,7,27,264,0,-0.11261,0.0,-0.08673,-0.03319,0.30818,0.35612
king-lear,King Lear,main,1,4,1.4,4,120,269,2978,0,-0.01552,0.0,-0.06749,-0.03913,0.38189,0.38535
king-lear,King Lear,main,1,5,1.5,5,30,45,369,0,0.05615,0.0,-0.08925,-0.14771,0.32547,0.40928
king-lear,King Lear,main,2,1,2.1,6,45,117,1214,0,0.00367,0.0,0.00565,-0.01738,0.40396,0.4145
king-lear,King Lear,main,2,2,2.2,7,65,141,1549,0,-0.05579,0.0,-0.01225,-0.01244,0.44265,0.43416
king-lear,King Lear,main,2,3,2.3,8,1,10,163,0,-0.44306,-0.59935,-0.32782,-0.29426,0.44686,0.32664
king-lear,King Lear,main,2,4,2.4,9,98,264,2886,0,-0.01206,0.0,-0.09763,-0.06786,0.39875,0.40509
king-lear,King Lear,main,3,1,3.1,10,11,33,479,0,0.03208,0.0,-0.11587,-0.03945,0.42437,0.31856
king-lear,King Lear,main,3,2,3.2,11,14,60,839,0,-0.11152,0.0,-0.07952,-0.04002,0.41599,0.48067
king-lear,King Lear,main,3,3,3.3,12,4,20,240,0,-0.08408,0.0,-0.09341,-0.06034,0.37495,0.37707
king-lear,King Lear,main,3,4,3.4,13,58,179,1743,0,-0.09964,0.0,-0.02579,0.00737,0.42656,0.44314
king-lear,King Lear,main,3,5,3.5,14,9,12,224,0,-0.01247,0.08945,0.06746,0.05525,0.55001,0.36196
king-lear,King Lear,main,3,6,3.6,15,36,97,994,0,-0.03989,0.0,-0.00466,-0.00485,0.45049,0.40682
king-lear,King Lear,main,3,7,3.7,16,57,112,1009,0,-0.06443,0.0,-0.06398,-0.02271,0.33702,0.43242
king-lear,King Lear,main,4,1,4.1,17,31,72,799,0,0.00682,0.0,-0.06286,-0.06409,0.40057,0.44708
king-lear,King Lear,main,4,2,4.2,18,31,82,934,0,-0.09908,0.0,-0.10142,-0.0688,0.4769,0.43308
king-lear,King Lear,main,4,3,4.3,19,21,42,495,0,0.03144,0.0,-0.08633,-0.02683,0.37595,0.35305
king-lear,King Lear,main,4,4,4.4,20,6,18,249,0,0.05026,0.0,0.13602,0.33732,0.43023,0.39034
king-lear,King Lear,main,4,5,4.5,21,19,42,355,0,0.06498,0.0,-0.03583,-0.00989,0.32589,0.34735
king-lear,King Lear,main,4,6,4.6,22,93,287,2541,0,-0.03486,0.0,-0.01248,-0.00982,0.41722,0.40641
king-lear,King Lear,main,4,7,4.7,23,43,97,876,0,0.00544,0.0,-0.10368,-0.09519,0.3895,0.40251
king-lear,King Lear,main,5,1,5.1,24,32,64,673,0,0.05262,0.0,-0.06071,-0.02842,0.37879,0.37239
king-lear,King Lear,main,5,2,5.2,25,6,17,111,0,0.05165,0.0,0.13017,0.15305,0.34097,0.32193
king-lear,King Lear,main,5,3,5.3,26,125,304,3110,0,0.00422,0.0,-0.00713,-0.01039,0.39781,0.42413
