play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
measure-for-measure,Measure for Measure,main,1,1,1.1,1,18,49,666,0,0.27081,0.3612,0.06324,0.02797,0.29392,0.34554
measure-for-measure,Measure for Measure,main,1,2,1.2,2,82,147,1350,0,0.03941,0.0,-0.08772,-0.06823,0.35791,0.33859
measure-for-measure,Measure for Measure,main,1,3,1.3,3,7,25,444,0,0.11911,0.0772,-0.14246,-0.12785,0.49392,0.46513
measure-for-measure,Measure for Measure,main,1,4,1.4,4,33,72,718,0,0.16081,0.0,0.00598,-0.02576,0.32421,0.37895
measure-for-measure,Measure for Measure,main,2,1,2.1,5,118,252,2175,0,0.08144,0.0,-0.00951,-0.00578,0.35775,0.36212
measure-for-measure,Measure for Measure,main,2,2,2.2,6,74,180,1694,0,0.03249,0.0,-0.04896,-0.07599,0.42342,0.4167
measure-for-measure,Measure for Measure,main,2,3,2.3,7,22,35,368,0,-0.03759,0.0,-0.02062,-0.05962,0.45441,0.47133
measure-for-measure,Measure for Measure,main,2,4,2.4,8,51,126,1556,0,0.01172,0.0,-0.05813,-0.02275,0.45823,0.42892
measure-for-measure,Measure for Measure,main,3,1,3.1,9,75,207,2200,0,0.05145,0.0,-0.04878,-0.03639,0.46954,0.44198
measure-for-measure,Measure for Measure,main,3,2,3.2,10,90,238,2289,0,0.05176,0.0,-0.06656,-0.05651,0.41512,0.36762
measure-for-measure,Measure for Measure,main,4,1,4.1,11,27,58,574,0,0.13497,0.0,0.01752,-0.00518,0.30419,0.39843
measure-for-measure,Measure for Measure,main,4,2,4.2,12,75,167,1717,0,0.02475,0.0,-0.08315,-0.04477,0.36357,0.3543
measure-for-measure,Measure for Measure,main,4,3,4.3,13,64,160,1391,0,0.02229,0.0,0.02008,0.00749,0.329,0.35854
measure-for-measure,Measure for Measure,main,4,4,4.4,14,9,25,269,0,-0.11284,0.0,-0.20116,-0.24607,0.40951,0.33136
measure-for-measure,Measure for Measure,main,4,5,4.5,15,3,11,115,0,0.10876,0.0,0.1062,0.13219,0.27552,0.24088
measure-for-measure,Measure for Measure,main,4,6,4.6,16,6,14,127,0,0.06776,0.0,-0.06191,-0.09809,0.33516,0.40376
measure-for-measure,Measure for Measure,main,5,1,5.1,17,174,414,4416,0,0.00772,0.0,-0.01184,-0.02171,0.4053,0.45198
