play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
much-ado-about-nothing,Much Ado About Nothing,main,1,1,1.1,1,115,225,2784,0,0.19057,0.1531,-0.01758,-0.01628,0.40835,0.38357
much-ado-about-nothing,Much Ado About Nothing,main,1,2,1.2,2,8,20,225,0,0.29688,0.25715,0.12511,0.15642,0.30332,0.29194
much-ado-about-nothing,Much Ado About Nothing,main,1,3,1.3,3,24,56,605,0,0.17856,0.0,-0.06705,-0.04719,0.43634,0.37765
much-ado-about-nothing,Much Ado About Nothing,main,2,1,2.1,4,142,281,3234,0,0.15442,0.0,-0.03422,-0.02492,0.43065,0.38715
much-ado-about-nothing,Much Ado About Nothing,main,2,2,2.2,5,17,29,406,0,0.04822,0.0,0.0338,-0.01431,0.47318,0.34745
much-ado-about-nothing,Much Ado About Nothing,main,2,3,2.3,6,83,193,2351,0,0.19099,0.1027,-0.00929,-0.02143,0.413,0.43043
much-ado-about-nothing,Much Ado About Nothing,main,3,1,3.1,7,27,74,1073,0,0.18383,0.0772,-0.03085,-0.02232,0.44339,0.41368
much-ado-about-nothing,Much Ado About Nothing,main,3,2,3.2,8,60,93,992,0,0.11615,0.0,-0.14637,-0.06645,0.40174,0.35262
much-ado-about-nothing,Much Ado About Nothing,main,3,3,3.3,9,67,118,1376,0,0.01321,0.0,-0.03983,-0.01867,0.37101,0.36218
much-ado-about-nothing,Much Ado About Nothing,main,3,4,3.4,10,42,82,800,0,0.15528,0.0,-0.02107,-0.03329,0.4103,0.4143
much-ado-about-nothing,Much Ado About Nothing,main,3,5,3.5,11,29,46,504,0,0.2452,0.1026,0.00219,-0.00606,0.36862,0.35118
much-ado-about-nothing,Much Ado About Nothing,main,4,1,4.1,12,117,257,2807,0,0.10136,0.0,-0.04281,-0.03636,0.4588,0.4311
much-ado-about-nothing,Much Ado About Nothing,main,4,2,4.2,13,40,68,706,0,-0.01902,0.0,0.04904,0.0104,0.45237,0.35443
much-ado-about-nothing,Much Ado About Nothing,main,5,1,5.1,14,114,267,2917,0,-0.03341,0.0,-0.07088,-0.04668,0.44457,0.41154
much-ado-about-nothing,Much Ado About Nothing,main,5,2,5.2,15,34,67,806,0,0.12414,0.0,0.02269,0.09376,0.44062,0.43531
much-ado-about-nothing,Much Ado About Nothing,main,5,3,5.3,16,7,30,312,0,0.00164,0.0,0.22426,0.24476,0.41236,0.3175
much-ado-about-nothing,Much Ado About Nothing,main,5,4,5.4,17,60,105,1154,0,0.21763,0.1531,0.03437,-0.01976,0.38099,0.3968
