play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
much-ado-about-nothing,Much Ado About Nothing,main,1,1,1.1,1,123,233,2839,8,0.18682,0.0772,-0.01283,-0.01233,0.40373,0.37943
much-ado-about-nothing,Much Ado About Nothing,main,1,2,1.2,2,11,23,239,3,0.25816,0.1154,0.10573,0.11535,0.29984,0.28383
much-ado-about-nothing,Much Ado About Nothing,main,1,3,1.3,3,27,59,615,3,0.16948,0.0,-0.06755,-0.04616,0.42674,0.36913
much-ado-about-nothing,Much Ado About Nothing,main,2,1,2.1,4,157,301,3332,20,0.14849,0.0,-0.03312,-0.01995,0.4197,0.3755
much-ado-about-nothing,Much Ado About Nothing,main,2,2,2.2,5,19,31,413,2,0.04511,0.0,0.03026,-0.01431,0.4573,0.33728
much-ado-about-nothing,Much Ado About Nothing,main,2,3,2.3,6,93,204,2384,11,0.18192,0.0191,-0.00684,-0.01031,0.40381,0.41908
much-ado-about-nothing,Much Ado About Nothing,main,3,1,3.1,7,33,80,1096,6,0.18635,0.0731,-0.0239,0.0071,0.43466,0.3993
much-ado-about-nothing,Much Ado About Nothing,main,3,2,3.2,8,64,97,1009,4,0.11136,0.0,-0.14224,-0.06493,0.39397,0.34684
much-ado-about-nothing,Much Ado About Nothing,main,3,3,3.3,9,71,122,1394,4,0.01278,0.0,-0.03921,-0.01487,0.36483,0.35721
much-ado-about-nothing,Much Ado About Nothing,main,3,4,3.4,10,47,87,814,5,0.15385,0.0,-0.01924,-0.02234,0.40318,0.40432
much-ado-about-nothing,Much Ado About Nothing,main,3,5,3.5,11,33,50,520,4,0.22558,0.0,0.00098,0.00588,0.35959,0.33719
much-ado-about-nothing,Much Ado About Nothing,main,4,1,4.1,12,122,262,2841,5,0.10192,0.0,-0.04266,-0.03425,0.45584,0.42704
much-ado-about-nothing,Much Ado About Nothing,main,4,2,4.2,13,44,72,732,4,-0.01797,0.0,0.04631,0.01121,0.43946,0.34716
much-ado-about-nothing,Much Ado About Nothing,main,5,1,5.1,14,123,276,2957,9,-0.03232,0.0,-0.06803,-0.03414,0.43728,0.4056
much-ado-about-nothing,Much Ado About Nothing,main,5,2,5.2,15,40,73,820,6,0.11393,0.0,0.02054,0.06923,0.42326,0.41725
much-ado-about-nothing,Much Ado About Nothing,main,5,3,5.3,16,10,33,330,3,0.00149,0.0,0.20088,0.22437,0.39256,0.31226
much-ado-about-nothing,Much Ado About Nothing,main,5,4,5.4,17,68,114,1198,9,0.21559,0.13425,0.0346,-0.00364,0.37391,0.38338
