play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
richard-ii,Richard II,main,1,1,1.1,1,33,79,1609,4,-0.03939,0.0,-0.03287,-0.01302,0.52748,0.47078
richard-ii,Richard II,main,1,2,1.2,2,10,36,598,2,-0.21708,0.0,-0.06591,-0.01831,0.48624,0.5097
richard-ii,Richard II,main,1,3,1.3,3,73,149,2544,12,0.06622,0.0,-0.02604,-0.00481,0.49567,0.45311
richard-ii,Richard II,main,1,4,1.4,4,18,33,496,3,0.0613,0.0,-0.10182,-0.05019,0.39584,0.32053
richard-ii,Richard II,main,2,1,2.1,5,64,125,2426,8,-0.04505,0.0,-0.12276,-0.06469,0.47076,0.44323
richard-ii,Richard II,main,2,2,2.2,6,45,77,1207,7,-0.03975,0.0,-0.13402,-0.11152,0.46043,0.42858
richard-ii,Richard II,main,2,3,2.3,7,47,82,1351,7,0.11655,0.0,-0.0029,-0.00817,0.43105,0.42734
richard-ii,Richard II,main,2,4,2.4,8,7,13,204,3,-0.11185,0.0,-0.14202,-0.07342,0.56721,0.46702
richard-ii,Richard II,main,3,1,3.1,9,10,21,370,3,-0.1202,0.0,0.03022,0.10685,0.54797,0.41574
richard-ii,Richard II,main,3,2,3.2,10,33,102,1720,4,-0.07894,0.0,-0.08351,-0.07732,0.51887,0.48292
richard-ii,Richard II,main,3,3,3.3,11,42,93,1632,7,0.13344,0.0,0.03324,0.00277,0.4532,0.4056
richard-ii,Richard II,main,3,4,3.4,12,31,55,852,5,-0.06856,0.0,-0.1457,-0.17245,0.38737,0.36554
richard-ii,Richard II,main,4,1,4.1,13,83,160,2629,9,-0.01293,0.0,0.00267,-0.00886,0.46127,0.41493
richard-ii,Richard II,main,5,1,5.1,14,23,49,797,4,-0.01635,0.0,0.04419,0.04341,0.51178,0.37903
richard-ii,Richard II,main,5,2,5.2,15,50,92,954,6,0.03338,0.0,0.05056,0.00439,0.34375,0.37913
richard-ii,Richard II,main,5,3,5.3,16,56,93,1204,7,0.12621,0.0,-0.04305,-0.04066,0.41816,0.4282
richard-ii,Richard II,main,5,4,5.4,17,7,8,101,2,0.04593,0.0,0.02578,-0.05853,0.33636,0.36252
richard-ii,Richard II,main,5,5,5.5,18,28,71,1025,8,-0.03822,0.0,0.00401,-0.01781,0.48898,0.41483
richard-ii,Richard II,main,5,6,5.6,19,18,28,426,7,-0.11449,0.0,0.0474,0.03446,0.5076,0.43652
