play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score
richard-iii,Richard III,main,1,1,1,1,stage_direction,,,"Enter RICHARD, Duke of Gloucester, solus",-0.25,0.01966
richard-iii,Richard III,main,1,1,1,2,speech,RICHARD,RICHARD,"Now is the winter of our discontent
Made glorious summer by this son of York,
And all the clouds that loured upon our house
In the deep bosom of the ocean buried.
Now are our brows bound with victorious wreaths,
Our bruisèd arms hung up for monuments,
Our stern alarums changed to merry meetings,
Our dreadful marches to delightful measures.
Grim-visaged war hath smoothed his wrinkled front;
And now, instead of mounting barbèd steeds
To fright the souls of fearful adversaries,
He capers nimbly in a lady’s chamber
To the lascivious pleasing of a lute.
But I, that am not shaped for sportive tricks,
Nor made to court an amorous looking glass;
I, that am rudely stamped and want love’s majesty
To strut before a wanton ambling nymph;
I, that am curtailed of this fair proportion,
Cheated of feature by dissembling nature,
Deformed, unfinished, sent before my time
Into this breathing world, scarce half made up,
And that so lamely and unfashionable
That dogs bark at me as I halt by them—
Why, I, in this weak piping time of peace,
Have no delight to pass away the time,
Unless to see my shadow in the sun
And descant on mine own deformity.
And therefore, since I cannot prove a lover
To entertain these fair well-spoken days,
I am determinèd to prove a villain
And hate the idle pleasures of these days.
Plots have I laid, inductions dangerous,
By drunken prophecies, libels and dreams,
To set my brother Clarence and the king
In deadly hate, the one against the other;
And if King Edward be as true and just
As I am subtle, false, and treacherous,
This day should Clarence closely be mewed up
About a prophecy which says that “G”
Of Edward’s heirs the murderer shall be.
Dive, thoughts, down to my soul. Here Clarence comes.",-0.8437,-0.80099
richard-iii,Richard III,main,1,1,1,3,stage_direction,,,"Enter CLARENCE, guarded, and BRAKENBURY",0.0,0.08429
richard-iii,Richard III,main,1,1,1,4,speech,RICHARD,RICHARD,"Brother, good day. What means this armèd guard
That waits upon your Grace?",0.6908,0.21138
richard-iii,Richard III,main,1,1,1,5,speech,CLARENCE,CLARENCE,"His majesty,
Tend'ring my person’s safety, hath appointed
This conduct to convey me to the Tower.",0.4215,-0.14545
richard-iii,Richard III,main,1,1,1,6,speech,RICHARD,RICHARD,Upon what cause?,-0.5362,-0.07755
richard-iii,Richard III,main,1,1,1,7,speech,CLARENCE,CLARENCE,Because my name is George.,0.0,-0.39638
richard-iii,Richard III,main,1,1,1,8,speech,RICHARD,RICHARD,"Alack, my lord, that fault is none of yours.
He should, for that, commit your godfathers.
O, belike his majesty hath some intent
That you shall be new christened in the Tower.
But what’s the matter, Clarence? May I know?",-0.4274,-0.58257
richard-iii,Richard III,main,1,1,1,9,speech,CLARENCE,CLARENCE,"Yea, Richard, when I know, for I protest
As yet I do not. But, as I can learn,
He hearkens after prophecies and dreams,
And from the crossrow plucks the letter ""G"",
And says a wizard told him that by “G”
His issue disinherited should be.
And for my name of George begins with ""G"",
It follows in his thought that I am he.
These, as I learn, and such like toys as these
Have moved his Highness to commit me now.",0.25,-0.37378
richard-iii,Richard III,main,1,1,1,10,speech,RICHARD,RICHARD,"Why, this it is when men are ruled by women.
'Tis not the king that sends you to the Tower.
My Lady Grey his wife, Clarence, ’tis she
That tempers him to this extremity.
Was it not she and that good man of worship,
Anthony Woodeville, her brother there,
That made him send Lord Hastings to the Tower,
From whence this present day he is delivered?
We are not safe, Clarence. We are not safe.",-0.3637,-0.71598
richard-iii,Richard III,main,1,1,1,11,speech,CLARENCE,CLARENCE,"By heaven, I think there is no man is secure
But the queen’s kindred and night-walking heralds
That trudge betwixt the king and Mistress Shore.
Heard ye not what an humble suppliant
Lord Hastings was to her for his delivery?",0.6808,0.17431
richard-iii,Richard III,main,1,1,1,12,speech,RICHARD,RICHARD,"Humbly complaining to her deity
Got my Lord Chamberlain his liberty.
I’ll tell you what: I think it is our way,
If we will keep in favor with the king,
To be her men and wear her livery.
The jealous o'erworn widow and herself,
Since that our brother dubbed them gentlewomen,
Are mighty gossips in this monarchy.",0.9584,0.52244
richard-iii,Richard III,main,1,1,1,13,speech,BRAKENBURY,BRAKENBURY,"I beseech your Graces both to pardon me.
His majesty hath straitly given in charge
That no man shall have private conference,
Of what degree soever, with his brother.",0.3871,0.6021
richard-iii,Richard III,main,1,1,1,14,speech,RICHARD,RICHARD,"Even so. An please your Worship, Brakenbury,
You may partake of anything we say.
We speak no treason, man. We say the king
Is wise and virtuous, and his noble queen
Well struck in years, fair, and not jealous.
We say that Shore’s wife hath a pretty foot,
A cherry lip, a bonny eye, a passing pleasing tongue,
And that the queen’s kindred are made gentlefolks.
How say you, sir? Can you deny all this?",0.9865,0.7035
richard-iii,Richard III,main,1,1,1,15,speech,BRAKENBURY,BRAKENBURY,"With this, my lord, myself have naught to do.",0.0,-0.79173
