play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
the-comedy-of-errors,The Comedy of Errors,main,1,1,1.1,1,12,60,1197,0,-0.04626,-0.0129,-0.17461,-0.22368,0.53395,0.36578
the-comedy-of-errors,The Comedy of Errors,main,1,2,1.2,2,25,69,920,0,0.03347,0.0,-0.10047,-0.04888,0.36938,0.33736
the-comedy-of-errors,The Comedy of Errors,main,2,1,2.1,3,38,98,1057,0,0.03375,0.0,-0.12218,-0.15943,0.35406,0.38479
the-comedy-of-errors,The Comedy of Errors,main,2,2,2.2,4,82,161,1834,0,-0.0193,0.0,-0.09963,-0.07462,0.36278,0.368
the-comedy-of-errors,The Comedy of Errors,main,3,1,3.1,5,61,122,1353,0,0.03164,0.0,0.00658,0.00521,0.34676,0.3716
the-comedy-of-errors,The Comedy of Errors,main,3,2,3.2,6,62,137,1643,0,0.08236,0.0,-0.04856,-0.02622,0.35671,0.36878
the-comedy-of-errors,The Comedy of Errors,main,4,1,4.1,7,41,91,1022,0,-0.01803,0.0,-0.0023,-0.00649,0.27232,0.3438
the-comedy-of-errors,The Comedy of Errors,main,4,2,4.2,8,34,66,652,0,-0.10845,0.0,-0.15345,-0.07995,0.43614,0.37545
the-comedy-of-errors,The Comedy of Errors,main,4,3,4.3,9,27,66,850,0,-0.05651,0.0,-0.00336,-0.0133,0.44387,0.3536
the-comedy-of-errors,The Comedy of Errors,main,4,4,4.4,10,89,143,1488,0,-0.08803,0.0,0.00294,-0.01156,0.39747,0.40051
the-comedy-of-errors,The Comedy of Errors,main,5,1,5.1,11,141,293,3458,0,-0.02888,0.0,-0.08223,-0.05201,0.39295,0.41762
