play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score
the-merchant-of-venice,The Merchant of Venice,main,1,1,1,1,stage_direction,,,"Enter ANTONIO, SALERIO, and SOLANIO",0.0,0.04152
the-merchant-of-venice,The Merchant of Venice,main,1,1,1,2,speech,ANTONIO,ANTONIO,"In sooth, I know not why I am so sad.
It wearies me; you say it wearies you.
But how I caught it, found it, or came by it,
What stuff ’tis made of, whereof it is born,
I am to learn.
And such a want-wit sadness makes of me,
That I have much ado to know myself.",-0.91,-0.39715
the-merchant-of-venice,The Merchant of Venice,main,1,1,1,3,speech,SALERIO,SALERIO,"Your mind is tossing on the ocean,
There, where your argosies with portly sail,
Like signors and rich burghers on the flood—
Or, as it were, the pageants of the sea—
Do overpeer the petty traffickers
That curtsy to them, do them reverence
As they fly by them with their woven wings.",0.8591,0.2305
the-merchant-of-venice,The Merchant of Venice,main,1,1,1,4,speech,SOLANIO,SOLANIO,"Believe me, sir, had I such venture forth,
The better part of my affections would
Be with my hopes abroad. I should be still
Plucking the grass to know where sits the wind,
Peering in maps for ports and piers and roads.
And every object that might make me fear
Misfortune to my ventures out of doubt
Would make me sad.",-0.3999,-0.46854
the-merchant-of-venice,The Merchant of Venice,main,1,1,1,5,speech,SALERIO,SALERIO,"My wind cooling my broth
Would blow me to an ague when I thought
What harm a wind too great at sea might do.
I should not see the sandy hourglass run,
But I should think of shallows and of flats
And see my wealthy Andrew docked in sand,
Vailing her high top lower than her ribs
To kiss her burial. Should I go to church
And see the holy edifice of stone
And not bethink me straight of dangerous rocks,
Which, touching but my gentle vessel’s side,
Would scatter all her spices on the stream,
Enrobe the roaring waters with my silks,
And, in a word, but even now worth this,
And now worth nothing? Shall I have the thought
To think on this, and shall I lack the thought
That such a thing bechanced would make me sad?
But tell not me. I know Antonio
Is sad to think upon his merchandise.",-0.3067,-0.61569
the-merchant-of-venice,The Merchant of Venice,main,1,1,1,6,speech,ANTONIO,ANTONIO,"Believe me, no. I thank my fortune for it—
My ventures are not in one bottom trusted,
Nor to one place, nor is my whole estate
Upon the fortune of this present year.
Therefore my merchandise makes me not sad.",0.5213,-0.61728
the-merchant-of-venice,The Merchant of Venice,main,1,1,1,7,speech,SOLANIO,SOLANIO,"Why then, you are in love.",0.743,0.20619
the-merchant-of-venice,The Merchant of Venice,main,1,1,1,8,speech,ANTONIO,ANTONIO,"Fie, fie!",0.3802,0.60487
the-merchant-of-venice,The Merchant of Venice,main,1,1,1,9,speech,SOLANIO,SOLANIO,"Not in love neither? Then let us say you are sad
Because you are not merry— and ’twere as easy
For you to laugh and leap and say you are merry
Because you are not sad. Now, by two-headed Janus,
Nature hath framed strange fellows in her time.
Some that will evermore peep through their eyes
And laugh like parrots at a bagpiper,
And other of such vinegar aspect
That they’ll not show their teeth in way of smile
Though Nestor swear the jest be laughable.",0.948,-0.44675
the-merchant-of-venice,The Merchant of Venice,main,1,1,1,10,stage_direction,,,"Enter BASSANIO, LORENZO, and GRATIANO",0.0,0.22293
the-merchant-of-venice,The Merchant of Venice,main,1,1,1,11,speech,SOLANIO,SOLANIO,"Here comes Bassanio, your most noble kinsman,
Gratiano, and Lorenzo. Fare ye well.
We leave you now with better company.",0.8439,0.60981
the-merchant-of-venice,The Merchant of Venice,main,1,1,1,12,speech,SALERIO,SALERIO,"I would have stayed till I had made you merry
If worthier friends had not prevented me.",0.4929,-0.45062
the-merchant-of-venice,The Merchant of Venice,main,1,1,1,13,speech,ANTONIO,ANTONIO,"Your worth is very dear in my regard.
I take it your own business calls on you
And you embrace th' occasion to depart.",0.8571,0.46117
