play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
the-tempest,The Tempest,main,1,1,1.1,1,31,81,705,0,-0.00675,0.0,0.05566,-0.0002,0.38568,0.43921
the-tempest,The Tempest,main,1,2,1.2,2,147,417,5305,0,0.04171,0.0,-0.02037,-0.02065,0.39382,0.43127
the-tempest,The Tempest,main,2,1,2.1,3,160,297,3155,0,0.09321,0.0,-0.05487,-0.03672,0.36531,0.39073
the-tempest,The Tempest,main,2,2,2.2,4,48,167,1822,0,0.02815,0.0,-0.00989,-0.00117,0.4174,0.42076
the-tempest,The Tempest,main,3,1,3.1,5,25,74,1011,0,0.27421,0.3213,-0.03455,-0.02829,0.44622,0.44434
the-tempest,The Tempest,main,3,2,3.2,6,66,150,1417,0,-0.00966,0.0,-0.01543,-0.00238,0.40873,0.40952
the-tempest,The Tempest,main,3,3,3.3,7,28,80,1240,0,0.03603,0.0,-0.03446,-0.01138,0.45837,0.3944
the-tempest,The Tempest,main,4,1,4.1,8,78,214,2479,0,0.08944,0.0,0.0515,0.06237,0.43417,0.4191
the-tempest,The Tempest,main,5,1,5.1,9,81,210,3111,0,0.10451,0.0,0.04647,0.01243,0.43117,0.44358
the-tempest,The Tempest,main,5,,5.Prologue,10,1,8,160,0,0.32082,0.21165,-0.35228,-0.41144,0.38783,0.43859
