play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,1,1,1,1,stage_direction,,,Enter VALENTINE and PROTEUS,0.0,0.08831
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,1,1,1,2,speech,VALENTINE,VALENTINE,"Cease to persuade, my loving Proteus:
Home-keeping youth have ever homely wits.
Were't not affection chains thy tender days
To the sweet glances of thy honour'd love,
I rather would entreat thy company
To see the wonders of the world abroad,
Than, living dully sluggardized at home,
Wear out thy youth with shapeless idleness.
But since thou lovest, love still and thrive therein,
Even as I would when I to love begin.",0.9822,-0.17045
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,1,1,1,3,speech,PROTEUS,PROTEUS,"Wilt thou be gone? Sweet Valentine, adieu!
Think on thy Proteus, when thou haply seest
Some rare note-worthy object in thy travel:
Wish me partaker in thy happiness
When thou dost meet good hap; and in thy danger,
If ever danger do environ thee,
Commend thy grievance to my holy prayers,
For I will be thy beadsman, Valentine.",0.9562,0.739
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,1,1,1,4,speech,VALENTINE,VALENTINE,And on a love-book pray for my success?,0.875,0.10171
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,1,1,1,5,speech,PROTEUS,PROTEUS,Upon some book I love I'll pray for thee.,0.743,0.39905
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,1,1,1,6,speech,VALENTINE,VALENTINE,"That's on some shallow story of deep love:
How young Leander cross'd the Hellespont.",0.6486,0.43715
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,1,1,1,7,speech,PROTEUS,PROTEUS,"That's a deep story of a deeper love:
For he was more than over shoes in love.",0.8555,0.12335
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,1,1,1,8,speech,VALENTINE,VALENTINE,"'Tis true; for you are over boots in love,
And yet you never swum the Hellespont.",0.7906,0.20134
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,1,1,1,9,speech,PROTEUS,PROTEUS,"Over the boots? Nay, give me not the boots.",0.3607,-0.57018
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,1,1,1,10,speech,VALENTINE,VALENTINE,"No, I will not, for it boots thee not.",-0.3089,-0.63661
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,1,1,1,11,speech,PROTEUS,PROTEUS,What?,0.0,-0.02543
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,1,1,1,12,speech,VALENTINE,VALENTINE,"To be in love, where scorn is bought with groans;
Coy looks with heart-sore sighs; one fading moment's
mirth
With twenty watchful, weary, tedious nights:
If haply won, perhaps a hapless gain;
If lost, why then a grievous labour won;
However, but a folly bought with wit,
Or else a wit by folly vanquished.",0.9435,-0.7863
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,1,1,1,13,speech,PROTEUS,PROTEUS,"So, by your circumstance, you call me fool.",-0.4404,-0.4068
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,1,1,1,14,speech,VALENTINE,VALENTINE,"So, by your circumstance, I fear you'll prove.",-0.4404,-0.43411
