play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score
a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,1,1,1,stage_direction,,,THESEUS and HIPPOLYTA enter along with PHILOSTRATE and others.,0.0,0.08282
a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,1,1,2,speech,THESEUS,THESEUS,"Now, fair Hippolyta, our nuptial hour
Draws on apace. Four happy days bring in
Another moon. But oh, methinks how slow
This old moon wanes! She lingers my desires,
Like to a stepdame or a dowager
Long withering out a young man’s revenue.",0.953,-0.47696
a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,1,1,3,speech,HIPPOLYTA,HIPPOLYTA,"Four days will quickly steep themselves in night.
Four nights will quickly dream away the time.
And then the moon, like to a silver bow
New bent in heaven, shall behold the night
Of our solemnities.",0.25,0.04328
a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,1,1,4,speech,THESEUS,THESEUS,"Go, Philostrate,
Stir up the Athenian youth to merriments.
Awake the pert and nimble spirit of mirth.
Turn melancholy forth to funerals.
The pale companion is not for our pomp.",0.886,-0.08199
a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,1,1,5,stage_direction,,,PHILOSTRATE exits.,0.0,0.00762
a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,1,1,6,speech,THESEUS,THESEUS,"Hippolyta, I wooed thee with my sword
And won thy love doing thee injuries.
But I will wed thee in another key,
With pomp, with triumph, and with reveling.",0.9267,0.26794
a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,1,1,7,speech,EGEUS,EGEUS,"Happy be Theseus, our renownèd duke.",0.6239,0.71751
a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,1,1,8,stage_direction,,,"EGEUS enters with his daughter HERMIA, along with LYSANDER and DEMETRIUS.",0.0,0.09204
a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,1,1,9,speech,THESEUS,THESEUS,"Thanks, good Egeus. What’s the news with thee?",0.6249,-0.42874
a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,1,1,10,speech,EGEUS,EGEUS,"Full of vexation come I with complaint
Against my child, my daughter Hermia.
Stand forth, Demetrius. My noble lord,
This man hath my consent to marry her.
Stand forth, Lysander. And my gracious duke,
This man hath bewitched the bosom of my child.
Thou, thou, Lysander, thou hast given her rhymes,
And interchanged love tokens with my child.
Thou hast by moonlight at her window sung
With feigning voice verses of feigning love,
And stol'n the impression of her fantasy
With bracelets of thy hair, rings, gauds, conceits,
Knacks, trifles, nosegays, sweetmeats—messengers
Of strong prevailment in unhardened youth.
With cunning hast thou filched my daughter’s heart,
Turned her obedience (which is due to me)
To stubborn harshness. And, my gracious duke,
Be it so she will not here before your grace
Consent to marry with Demetrius,
I beg the ancient privilege of Athens.
As she is mine, I may dispose of her—
Which shall be either to this gentleman
Or to her death—according to our law
Immediately provided in that case.",0.9729,0.08009
a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,1,1,11,speech,THESEUS,THESEUS,"What say you, Hermia? Be advised, fair maid:
To you your father should be as a god,
One that composed your beauties, yea, and one
To whom you are but as a form in wax,
By him imprinted and within his power
To leave the figure or disfigure it.
Demetrius is a worthy gentleman.",0.9217,0.49058
a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,1,1,12,speech,HERMIA,HERMIA,So is Lysander.,0.0,0.35019
a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,1,1,13,speech,THESEUS,THESEUS,"In himself he is.
But in this kind, wanting your father’s voice,
The other must be held the worthier.",0.85,-0.53278
a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,1,1,14,speech,HERMIA,HERMIA,I would my father looked but with my eyes.,0.4019,0.3946
a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,1,1,15,speech,THESEUS,THESEUS,Rather your eyes must with his judgment look.,0.1531,-0.33995
a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,1,1,16,speech,HERMIA,HERMIA,"I do entreat your grace to pardon me.
I know not by what power I am made bold
Nor how it may concern my modesty
In such a presence here to plead my thoughts,
But I beseech your grace that I may know
The worst that may befall me in this case,
If I refuse to wed Demetrius.",-0.7935,-0.46716
a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,1,1,17,speech,THESEUS,THESEUS,"Either to die the death or to abjure
Forever the society of men.
Therefore, fair Hermia, question your desires.
Know of your youth. Examine well your blood—
Whether, if you yield not to your father’s choice,
You can endure the livery of a nun,
For aye to be in shady cloister mewed,
To live a barren sister all your life,
Chanting faint hymns to the cold, fruitless moon.
Thrice-blessèd they that master so their blood
To undergo such maiden pilgrimage.
But earthlier happy is the rose distilled
Than that which, withering on the virgin thorn,
Grows, lives, and dies in single blessedness.",0.8176,0.67066
a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,1,1,18,speech,HERMIA,HERMIA,"So will I grow, so live, so die, my lord,
Ere I will yield my virgin patent up
Unto his lordship, whose unwishèd yoke
My soul consents not to give sovereignty.",-0.6276,-0.87126
a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,1,1,19,speech,THESEUS,THESEUS,"Take time to pause, and by the next new moon—
The sealing day betwixt my love and me
For everlasting bond of fellowship—
Upon that day either prepare to die
For disobedience to your father’s will,
Or else to wed Demetrius, as he would,
Or on Diana’s altar to protest
For aye austerity and single life.",0.3612,-0.18807
