play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
all-s-well-that-ends-well,All's Well That Ends Well,main,1,1,1.1,1,63,163,2059,0,0.13583,0.0,-0.01823,-0.88406,-0.03521,-0.08868,0.46764,0.98855,0.44177
all-s-well-that-ends-well,All's Well That Ends Well,main,1,2,1.2,2,18,51,703,0,0.19856,0.2023,0.30037,0.99252,-0.0148,-0.04169,0.41585,0.94567,0.41061
all-s-well-that-ends-well,All's Well That Ends Well,main,1,3,1.3,3,64,170,2226,0,0.21328,0.12655,0.13887,0.96737,0.027,-0.01736,0.43679,0.97002,0.44709
all-s-well-that-ends-well,All's Well That Ends Well,main,2,1,2.1,4,63,144,1907,0,0.20023,0.0506,0.19606,0.97786,0.08184,0.10448,0.43142,0.96476,0.40807
all-s-well-that-ends-well,All's Well That Ends Well,main,2,2,2.2,5,29,47,673,0,0.13702,0.0,-0.05906,-0.9126,0.02742,-0.00253,0.34281,0.99218,0.3533
all-s-well-that-ends-well,All's Well That Ends Well,main,2,3,2.3,6,110,253,2650,0,0.11017,0.0,-0.01194,-0.84959,0.05541,0.01232,0.42149,0.98262,0.40544
all-s-well-that-ends-well,All's Well That Ends Well,main,2,4,2.4,7,25,48,504,0,0.19491,0.0,-0.00137,-0.02916,0.0553,-0.00399,0.3376,0.99474,0.39951
all-s-well-that-ends-well,All's Well That Ends Well,main,2,5,2.5,8,43,79,784,0,0.06613,0.0,-0.15491,-0.97177,0.00408,-0.01577,0.34519,0.9711,0.40334
all-s-well-that-ends-well,All's Well That Ends Well,main,3,1,3.1,9,7,15,205,0,0.08363,0.3612,-0.02112,-0.28272,-0.05034,-0.14365,0.55761,0.993,0.45396
all-s-well-that-ends-well,All's Well That Ends Well,main,3,2,3.2,10,43,101,1135,0,-0.0282,0.0,-0.29609,-0.9778,-0.11008,-0.02801,0.40389,0.93429,0.42018
all-s-well-that-ends-well,All's Well That Ends Well,main,3,3,3.3,11,4,7,100,0,0.32089,0.3774,0.70764,0.98782,0.28917,0.27911,0.55377,0.74025,0.46623
all-s-well-that-ends-well,All's Well That Ends Well,main,3,4,3.4,12,5,31,404,0,0.04402,0.0,-0.2222,-0.98164,-0.13161,-0.22093,0.45687,0.97833,0.37254
all-s-well-that-ends-well,All's Well That Ends Well,main,3,5,3.5,13,51,99,852,0,0.10222,0.0,-0.07907,-0.90071,0.00585,-0.00168,0.38216,0.97451,0.3973
all-s-well-that-ends-well,All's Well That Ends Well,main,3,6,3.6,14,39,77,1032,0,0.03805,0.0,-0.28903,-0.9869,-0.13843,-0.17813,0.4561,0.93691,0.38601
all-s-well-that-ends-well,All's Well That Ends Well,main,3,7,3.7,15,9,27,420,0,0.132,0.0,0.12724,0.98174,-0.04634,-0.01023,0.43471,0.98768,0.37024
all-s-well-that-ends-well,All's Well That Ends Well,main,4,1,4.1,16,43,80,772,0,-0.03242,0.0,-0.33522,-0.98716,-0.05451,-0.03723,0.31882,0.92658,0.36683
all-s-well-that-ends-well,All's Well That Ends Well,main,4,2,4.2,17,20,59,701,0,0.17774,0.0,-0.07346,-0.95202,-0.08158,-0.02859,0.44402,0.98368,0.47364
all-s-well-that-ends-well,All's Well That Ends Well,main,4,3,4.3,18,124,260,3210,0,0.05432,0.0,-0.24154,-0.97994,-0.06005,-0.02184,0.37389,0.95754,0.34769
all-s-well-that-ends-well,All's Well That Ends Well,main,4,4,4.4,19,5,23,343,0,0.19145,0.1779,0.72765,0.99262,-0.06738,-0.1411,0.48533,0.68077,0.41319
all-s-well-that-ends-well,All's Well That Ends Well,main,4,5,4.5,20,38,75,930,0,0.10434,0.0,-0.09922,-0.96868,-0.03234,-0.02597,0.40059,0.982,0.36914
all-s-well-that-ends-well,All's Well That Ends Well,main,5,1,5.1,21,17,27,310,0,0.22774,0.0,0.19154,0.98481,0.03672,0.09638,0.34811,0.98147,0.3665
all-s-well-that-ends-well,All's Well That Ends Well,main,5,2,5.2,22,19,52,486,0,0.07058,0.0,-0.18722,-0.97848,0.03326,0.04363,0.31,0.96771,0.44323
all-s-well-that-ends-well,All's Well That Ends Well,main,5,3,5.3,23,119,274,3136,0,0.10502,0.0,-0.10947,-0.97655,-0.04007,-0.01101,0.37592,0.98085,0.41096
