play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
antony-and-cleopatra,Antony and Cleopatra,main,1,1,1.1,1,24,59,660,6,0.11627,0.0,-0.08677,-0.97413,-0.01405,-0.00206,0.43087,0.98817,0.30447
antony-and-cleopatra,Antony and Cleopatra,main,1,2,1.2,2,109,173,1824,11,0.01946,0.0,-0.17801,-0.96345,-0.02018,-0.00342,0.41171,0.96022,0.37676
antony-and-cleopatra,Antony and Cleopatra,main,1,3,1.3,3,45,104,1140,4,0.04252,0.0,0.01172,0.67039,-0.02907,-0.01243,0.43023,0.98687,0.41913
antony-and-cleopatra,Antony and Cleopatra,main,1,4,1.4,4,19,51,847,5,-0.05736,0.0,-0.0259,-0.94575,-0.11412,-0.10914,0.3873,0.99246,0.34098
antony-and-cleopatra,Antony and Cleopatra,main,1,5,1.5,5,34,70,742,3,0.17811,0.0,0.16247,0.97262,0.10995,0.0134,0.38838,0.96987,0.38771
antony-and-cleopatra,Antony and Cleopatra,main,2,1,2.1,6,17,41,529,3,0.2281,0.2732,0.1688,0.97529,-0.06203,-0.02642,0.41922,0.98021,0.36575
antony-and-cleopatra,Antony and Cleopatra,main,2,2,2.2,7,95,188,2339,7,0.16183,0.0,0.1002,0.9717,-0.03335,-0.00598,0.40253,0.97858,0.38479
antony-and-cleopatra,Antony and Cleopatra,main,2,3,2.3,8,21,41,418,6,0.27142,0.128,0.40011,0.97871,0.01257,0.02239,0.31842,0.90258,0.33206
antony-and-cleopatra,Antony and Cleopatra,main,2,4,2.4,9,9,12,89,2,0.1914,0.0,0.17277,0.98016,-0.03664,0.01364,0.25631,1.00892,0.29685
antony-and-cleopatra,Antony and Cleopatra,main,2,5,2.5,10,67,131,1256,8,0.05471,0.0,-0.15533,-0.97068,0.01072,0.00886,0.39568,0.96661,0.4035
antony-and-cleopatra,Antony and Cleopatra,main,2,6,2.6,11,72,117,1286,5,0.1245,0.0,0.32763,0.98592,0.03747,0.01976,0.34237,0.9361,0.33163
antony-and-cleopatra,Antony and Cleopatra,main,2,7,2.7,12,87,152,1432,12,0.07551,0.0,0.07565,0.9528,0.07221,0.0256,0.28902,0.98471,0.33559
antony-and-cleopatra,Antony and Cleopatra,main,3,1,3.1,13,9,23,399,3,0.12135,0.0,0.34085,0.98352,0.01578,0.02114,0.42361,0.91403,0.36059
antony-and-cleopatra,Antony and Cleopatra,main,3,2,3.2,14,45,73,699,7,0.11274,0.0,0.2051,0.98823,0.04554,0.02129,0.46174,0.97392,0.3931
antony-and-cleopatra,Antony and Cleopatra,main,3,3,3.3,15,43,69,485,4,0.05766,0.0,-0.08224,-0.95774,-0.02224,-0.01171,0.29986,0.98159,0.35865
antony-and-cleopatra,Antony and Cleopatra,main,3,4,3.4,16,7,26,402,2,0.07486,0.064,-0.30638,-0.98278,-0.1393,-0.2124,0.46823,0.95594,0.42759
antony-and-cleopatra,Antony and Cleopatra,main,3,5,3.5,17,14,22,202,2,-0.17609,0.0,-0.27296,-0.9855,0.02214,0.01256,0.42322,0.97223,0.36153
antony-and-cleopatra,Antony and Cleopatra,main,3,6,3.6,18,31,65,866,3,0.07471,0.0,-0.02462,-0.96119,-0.08411,-0.0312,0.42651,0.99212,0.41606
antony-and-cleopatra,Antony and Cleopatra,main,3,7,3.7,19,48,74,800,8,-0.04999,0.0,-0.05058,-0.89435,-0.00763,-0.00511,0.37116,0.97681,0.32004
antony-and-cleopatra,Antony and Cleopatra,main,3,8,3.8,20,5,10,75,2,-0.09795,0.0,0.21034,0.97312,0.00319,0.01179,0.18725,0.9998,0.37861
antony-and-cleopatra,Antony and Cleopatra,main,3,9,3.9,21,3,4,38,2,-0.09545,0.0,0.49651,0.98941,0.0272,0.02639,0.1909,0.98842,0.00855
antony-and-cleopatra,Antony and Cleopatra,main,3,10,3.10,22,22,36,396,9,-0.1202,0.0,-0.35695,-0.98717,-0.10612,-0.00419,0.36277,0.91721,0.34744
antony-and-cleopatra,Antony and Cleopatra,main,3,11,3.11,23,34,80,735,6,0.02645,0.0,-0.07646,-0.95432,0.07324,0.00782,0.39094,0.98899,0.43442
antony-and-cleopatra,Antony and Cleopatra,main,3,12,3.12,24,17,35,407,4,0.0409,0.0,0.06548,0.89293,0.0671,0.02864,0.30439,0.96567,0.29916
antony-and-cleopatra,Antony and Cleopatra,main,3,13,3.13,25,85,171,2097,15,0.06791,0.0,-0.03216,-0.87369,0.00375,0.00161,0.39631,0.9842,0.37062
antony-and-cleopatra,Antony and Cleopatra,main,4,1,4.1,26,5,15,198,3,-0.25778,-0.2732,-0.10011,-0.98059,-0.03192,0.04104,0.2366,0.99477,0.3472
antony-and-cleopatra,Antony and Cleopatra,main,4,2,4.2,27,21,49,517,3,0.13355,0.0,0.16872,0.98822,0.1116,0.18309,0.37284,0.97429,0.41315
antony-and-cleopatra,Antony and Cleopatra,main,4,3,4.3,28,28,47,261,3,0.1006,0.0,0.23989,0.98286,0.07613,0.01168,0.24824,0.96326,0.29531
antony-and-cleopatra,Antony and Cleopatra,main,4,4,4.4,29,27,53,443,8,0.16391,0.0,0.35753,0.98618,0.19816,0.17042,0.37948,0.92796,0.35143
antony-and-cleopatra,Antony and Cleopatra,main,4,5,4.5,30,13,24,201,3,0.0894,0.0,-0.23387,-0.97591,-0.02058,0.00344,0.28879,0.96924,0.34932
antony-and-cleopatra,Antony and Cleopatra,main,4,6,4.6,31,17,35,393,8,0.07841,0.0,-0.02387,-0.42942,0.05664,0.01822,0.4614,0.9827,0.34669
antony-and-cleopatra,Antony and Cleopatra,main,4,7,4.7,32,16,25,197,9,0.123,0.0,-0.16348,-0.96628,0.02905,0.00368,0.31379,0.9635,0.34221
antony-and-cleopatra,Antony and Cleopatra,main,4,8,4.8,33,13,34,452,7,0.27356,0.4111,0.41304,0.99119,0.18269,0.05049,0.48869,0.89624,0.35413
antony-and-cleopatra,Antony and Cleopatra,main,4,9,4.9,34,23,39,335,5,-0.15501,0.0,-0.22832,-0.97443,-0.02592,0.01524,0.29133,0.96727,0.40268
antony-and-cleopatra,Antony and Cleopatra,main,4,10,4.10,35,5,10,105,2,-0.15093,0.0,0.60309,0.99132,-0.0534,-0.00063,0.23068,0.81913,0.19093
antony-and-cleopatra,Antony and Cleopatra,main,4,11,4.11,36,3,4,52,2,0.12595,0.0,0.48792,0.97513,-0.06587,0.05553,0.34636,0.98931,0.33501
antony-and-cleopatra,Antony and Cleopatra,main,4,12,4.12,37,16,44,555,8,-0.13166,0.0,-0.49691,-0.99254,0.06798,0.01303,0.41892,0.86519,0.39071
antony-and-cleopatra,Antony and Cleopatra,main,4,13,4.13,38,5,11,137,2,-0.30613,-0.5106,-0.62356,-0.98209,0.10213,0.02945,0.41062,0.79572,0.4339
antony-and-cleopatra,Antony and Cleopatra,main,4,14,4.14,39,73,148,1528,13,0.00818,0.0,-0.15433,-0.97528,0.04039,0.00952,0.42062,0.96453,0.43054
antony-and-cleopatra,Antony and Cleopatra,main,4,15,4.15,40,36,107,996,6,0.10098,0.0,-0.10499,-0.93805,0.02497,0.01187,0.44417,0.97792,0.47931
antony-and-cleopatra,Antony and Cleopatra,main,5,1,5.1,41,32,65,703,8,0.03471,0.0,0.10308,0.9613,-0.01347,-0.00832,0.3976,0.96534,0.3543
antony-and-cleopatra,Antony and Cleopatra,main,5,2,5.2,42,170,377,3886,34,0.06637,0.0,0.02885,0.86555,0.05805,0.02227,0.38882,0.98158,0.40954
