play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
as-you-like-it,As You Like It,main,1,1,1.1,1,51,124,1540,8,0.11087,0.0,-0.09318,-0.97759,-0.00096,-0.0029,0.3889,0.98144,0.39255
as-you-like-it,As You Like It,main,1,2,1.2,2,121,226,2435,11,0.13819,0.0,-0.07929,-0.9617,-0.06305,-0.0191,0.40086,0.98025,0.38389
as-you-like-it,As You Like It,main,1,3,1.3,3,52,114,1165,4,0.07152,0.0,-0.20464,-0.97221,-0.13758,-0.14365,0.38403,0.95861,0.3592
as-you-like-it,As You Like It,main,2,1,2.1,4,12,30,612,2,-0.10271,0.0,-0.05922,-0.91965,-0.09564,-0.0404,0.51652,1.0011,0.41124
as-you-like-it,As You Like It,main,2,2,2.2,5,6,15,173,2,-0.01023,0.0,-0.31482,-0.99354,-0.17019,-0.1475,0.33696,0.95477,0.27269
as-you-like-it,As You Like It,main,2,3,2.3,6,12,50,654,2,0.01724,0.0,-0.08026,-0.96822,-0.05112,-0.01835,0.4705,0.99481,0.44102
as-you-like-it,As You Like It,main,2,4,2.4,7,40,66,875,4,0.17647,0.1366,-0.05867,-0.96469,-0.05061,-0.05809,0.43924,0.99511,0.44168
as-you-like-it,As You Like It,main,2,5,2.5,8,20,41,452,2,0.14218,0.0,0.07083,0.89562,-0.02557,-0.00718,0.38877,0.97897,0.3813
as-you-like-it,As You Like It,main,2,6,2.6,9,4,20,192,2,0.11615,0.0,-0.32463,-0.98937,-0.03877,-0.09801,0.52919,0.93981,0.38227
as-you-like-it,As You Like It,main,2,7,2.7,10,43,121,1802,6,0.05554,0.0,-0.06417,-0.97,-0.07974,-0.03167,0.41772,0.98509,0.38216
as-you-like-it,As You Like It,main,3,1,3.1,11,5,14,164,2,-0.09031,0.0,-0.28994,-0.99136,-0.09138,-0.11435,0.34481,0.97651,0.37344
as-you-like-it,As You Like It,main,3,2,3.2,12,153,299,3532,9,0.10513,0.0,-0.20419,-0.97974,-0.02513,-0.01879,0.3963,0.96061,0.35856
as-you-like-it,As You Like It,main,3,3,3.3,13,34,81,945,3,0.17537,0.0,-0.05492,-0.93844,-0.06673,-0.04048,0.37386,0.98795,0.37196
as-you-like-it,As You Like It,main,3,4,3.4,14,28,44,530,3,0.21717,0.09585,-0.08502,-0.95428,-0.0321,-0.08156,0.43305,0.99176,0.38276
as-you-like-it,As You Like It,main,3,5,3.5,15,28,91,1284,4,0.10841,0.0,-0.1304,-0.98283,-0.19658,-0.32881,0.47709,0.978,0.37295
as-you-like-it,As You Like It,main,4,1,4.1,16,88,144,1854,5,0.16245,0.0,-0.20086,-0.98182,-0.05086,-0.02244,0.43461,0.96428,0.39768
as-you-like-it,As You Like It,main,4,2,4.2,17,63,140,1757,12,0.10508,0.0,-0.08456,-0.93745,-0.06197,-0.03177,0.39603,0.97647,0.35442
as-you-like-it,As You Like It,main,5,1,5.1,18,35,62,512,5,0.15374,0.0,0.25598,0.97762,0.07487,0.02126,0.4063,0.94958,0.34364
as-you-like-it,As You Like It,main,5,2,5.2,19,48,86,1099,5,0.21582,0.11515,0.23245,0.987,0.01879,0.00583,0.39619,0.96491,0.36731
as-you-like-it,As You Like It,main,5,3,5.3,20,15,30,355,3,0.30018,0.29105,0.66194,0.99619,0.12519,0.07915,0.4586,0.7544,0.3322
as-you-like-it,As You Like It,main,5,4,5.4,21,61,123,2070,10,0.18458,0.0,0.13985,0.97873,0.08234,0.03212,0.45326,0.97869,0.38743
