play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score,dl2_score
coriolanus,Coriolanus,main,1,1,1,1,stage_direction,,,"Enter a company of mutinous Citizens, with staves, clubs, and other weapons",-0.4404,-0.9835,0.01154
coriolanus,Coriolanus,main,1,1,1,2,speech,FIRST CITIZEN,FIRST CITIZEN,"Before we proceed any further, hear me speak.",0.0,-0.98117,-0.02442
coriolanus,Coriolanus,main,1,1,1,3,speech,ALL,ALL,"Speak, speak.",0.0,0.99196,0.25299
coriolanus,Coriolanus,main,1,1,1,4,speech,FIRST CITIZEN,FIRST CITIZEN,You are all resolved rather to die than to famish?,-0.8519,0.99614,-0.05121
coriolanus,Coriolanus,main,1,1,1,5,speech,ALL,ALL,Resolved. resolved.,0.5859,0.99765,0.27927
coriolanus,Coriolanus,main,1,1,1,6,speech,FIRST CITIZEN,FIRST CITIZEN,"First, you know Caius Marcius is chief enemy to the
people.",0.1779,0.91243,0.44819
coriolanus,Coriolanus,main,1,1,1,7,speech,ALL,ALL,"We know't, we know't.",0.0,0.97368,0.59728
coriolanus,Coriolanus,main,1,1,1,8,speech,FIRST CITIZEN,FIRST CITIZEN,"Let us kill him, and we'll have corn at our own price.
Is't a verdict?",-0.3612,-0.99128,-0.01262
coriolanus,Coriolanus,main,1,1,1,9,speech,ALL,ALL,"No more talking on't; let it be done: away, away!",0.0,0.99713,0.116
coriolanus,Coriolanus,main,1,1,1,10,speech,SECOND CITIZEN,SECOND CITIZEN,"One word, good citizens.",0.4404,0.99532,0.43763
coriolanus,Coriolanus,main,1,1,1,11,speech,FIRST CITIZEN,FIRST CITIZEN,"We are accounted poor citizens, the patricians good.
What authority surfeits on would relieve us: if they
would yield us but the superfluity, while it were
wholesome, we might guess they relieved us humanely;
but they think we are too dear: the leanness that
afflicts us, the object of our misery, is as an
inventory to particularise their abundance; our
sufferance is a gain to them. Let us revenge this with
our pikes, ere we become rakes: for the gods know I
speak this in hunger for bread, not in thirst for
revenge.",-0.9488,-0.98389,-0.87669
coriolanus,Coriolanus,main,1,1,1,12,speech,SECOND CITIZEN,SECOND CITIZEN,Would you proceed especially against Caius Marcius?,-0.5267,-0.98922,-0.05525
coriolanus,Coriolanus,main,1,1,1,13,speech,ALL,ALL,Against him first: he's a very dog to the commonalty.,-0.1027,-0.9989,-0.68868
coriolanus,Coriolanus,main,1,1,1,14,speech,SECOND CITIZEN,SECOND CITIZEN,Consider you what services he has done for his country?,0.0,-0.97763,-0.0206
coriolanus,Coriolanus,main,1,1,1,15,speech,FIRST CITIZEN,FIRST CITIZEN,"Very well; and could be content to give him good
report fort, but that he pays himself with being proud.",0.6858,-0.999,-0.3323
coriolanus,Coriolanus,main,1,1,1,16,speech,SECOND CITIZEN,SECOND CITIZEN,"Nay, but speak not maliciously.",0.3875,-0.98453,-0.38627
coriolanus,Coriolanus,main,1,1,1,17,speech,FIRST CITIZEN,FIRST CITIZEN,"I say unto you, what he hath done famously, he did
it to that end: though soft-conscienced men can be
content to say it was for his country he did it to
please his mother and to be partly proud; which he
is, even till the altitude of his virtue.",0.8626,-0.9977,-0.51286
coriolanus,Coriolanus,main,1,1,1,18,speech,SECOND CITIZEN,SECOND CITIZEN,"What he cannot help in his nature, you account a
vice in him. You must in no way say he is covetous.",0.2411,-0.99794,-0.47544
coriolanus,Coriolanus,main,1,1,1,19,speech,FIRST CITIZEN,FIRST CITIZEN,"If I must not, I need not be barren of accusations;
he hath faults, with surplus, to tire in repetition.",-0.1994,-0.999,-0.52208
coriolanus,Coriolanus,main,1,1,1,20,stage_direction,,,Shouts within,0.0,-0.99635,-0.00369
coriolanus,Coriolanus,main,1,1,1,21,speech,FIRST CITIZEN,FIRST CITIZEN,"What shouts are these? The other side o' the city
is risen: why stay we prating here? to the Capitol!",0.0,-0.99799,-0.35337
coriolanus,Coriolanus,main,1,1,1,22,speech,ALL,ALL,"Come, come.",0.0,0.97426,0.7117
coriolanus,Coriolanus,main,1,1,1,23,speech,FIRST CITIZEN,FIRST CITIZEN,Soft! who comes here?,0.0,-0.99173,0.1026
coriolanus,Coriolanus,main,1,1,1,24,stage_direction,,,Enter MENENIUS AGRIPPA,0.0,0.97923,0.01526
coriolanus,Coriolanus,main,1,1,1,25,speech,SECOND CITIZEN,SECOND CITIZEN,"Worthy Menenius Agrippa; one that hath always loved
the people.",0.6705,0.99661,0.70618
coriolanus,Coriolanus,main,1,1,1,26,speech,FIRST CITIZEN,FIRST CITIZEN,He's one honest enough: would all the rest were so!,0.5562,0.98982,0.33407
coriolanus,Coriolanus,main,1,1,1,27,speech,MENENIUS,MENENIUS,"What work's, my countrymen, in hand? where go you
With bats and clubs? The matter? speak, I pray you.",0.4291,-0.99895,-0.06532
coriolanus,Coriolanus,main,1,1,1,28,speech,FIRST CITIZEN,FIRST CITIZEN,"Our business is not unknown to the senate; they have
had inkling this fortnight what we intend to do,
which now we'll show 'em in deeds. They say poor
suitors have strong breaths: they shall know we
have strong arms too.",0.7876,0.98955,0.44386
coriolanus,Coriolanus,main,1,1,1,29,speech,MENENIUS,MENENIUS,"Why, masters, my good friends, mine honest neighbours,
Will you undo yourselves?",0.6322,-0.9986,-0.3456
coriolanus,Coriolanus,main,1,1,1,30,speech,FIRST CITIZEN,FIRST CITIZEN,"We cannot, sir, we are undone already.",0.0,-0.99885,-0.73853
coriolanus,Coriolanus,main,1,1,1,31,speech,MENENIUS,MENENIUS,"I tell you, friends, most charitable care
Have the patricians of you. For your wants,
Your suffering in this dearth, you may as well
Strike at the heaven with your staves as lift them
Against the Roman state, whose course will on
The way it takes, cracking ten thousand curbs
Of more strong link asunder than can ever
Appear in your impediment. For the dearth,
The gods, not the patricians, make it, and
Your knees to them, not arms, must help. Alack,
You are transported by calamity
Thither where more attends you, and you slander
The helms o' the state, who care for you like fathers,
When you curse them as enemies.",0.5269,-0.98966,-0.46994
coriolanus,Coriolanus,main,1,1,1,32,speech,FIRST CITIZEN,FIRST CITIZEN,"Care for us! True, indeed! They ne'er cared for us
yet: suffer us to famish, and their store-houses
crammed with grain; make edicts for usury, to
support usurers; repeal daily any wholesome act
established against the rich, and provide more
piercing statutes daily, to chain up and restrain
the poor. If the wars eat us not up, they will; and
there's all the love they bear us.",0.6562,-0.99706,0.71541
coriolanus,Coriolanus,main,1,1,1,33,speech,MENENIUS,MENENIUS,"Either you must
Confess yourselves wondrous malicious,
Or be accused of folly. I shall tell you
A pretty tale: it may be you have heard it;
But, since it serves my purpose, I will venture
To stale 't a little more.",0.491,-0.96115,0.18035
coriolanus,Coriolanus,main,1,1,1,34,speech,FIRST CITIZEN,FIRST CITIZEN,"Well, I'll hear it, sir: yet you must not think to
fob off our disgrace with a tale: but, an 't please
you, deliver.",-0.4854,-0.97744,-0.20073
coriolanus,Coriolanus,main,1,1,1,35,speech,MENENIUS,MENENIUS,"There was a time when all the body's members
Rebell'd against the belly, thus accused it:
That only like a gulf it did remain
I' the midst o' the body, idle and unactive,
Still cupboarding the viand, never bearing
Like labour with the rest, where the other instruments
Did see and hear, devise, instruct, walk, feel,
And, mutually participate, did minister
Unto the appetite and affection common
Of the whole body. The belly answer'd—",0.296,-0.98389,-0.03081
coriolanus,Coriolanus,main,1,1,1,36,speech,FIRST CITIZEN,FIRST CITIZEN,"Well, sir, what answer made the belly?",0.3527,-0.9782,-0.08737
coriolanus,Coriolanus,main,1,1,1,37,speech,MENENIUS,MENENIUS,"Sir, I shall tell you. With a kind of smile,
Which ne'er came from the lungs, but even thus—
For, look you, I may make the belly smile
As well as speak—it tauntingly replied
To the discontented members, the mutinous parts
That envied his receipt; even so most fitly
As you malign our senators for that
They are not such as you.",0.8659,0.99116,0.58412
coriolanus,Coriolanus,main,1,1,1,38,speech,FIRST CITIZEN,FIRST CITIZEN,"Your belly's answer? What!
The kingly-crowned head, the vigilant eye,
The counsellor heart, the arm our soldier,
Our steed the leg, the tongue our trumpeter.
With other muniments and petty helps
In this our fabric, if that they—",0.9378,0.99535,0.37867
coriolanus,Coriolanus,main,1,1,1,39,speech,MENENIUS,MENENIUS,"What then?
'Fore me, this fellow speaks! What then? what then?",-0.4696,-0.9989,-0.0471
coriolanus,Coriolanus,main,1,1,1,40,speech,FIRST CITIZEN,FIRST CITIZEN,"Should by the cormorant belly be restrain'd,
Who is the sink o' the body,—",-0.3612,-0.97402,-0.45203
coriolanus,Coriolanus,main,1,1,1,41,speech,MENENIUS,MENENIUS,"Well, what then?",0.2732,-0.98373,-0.03194
