play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score,dl2_score
cymbeline,Cymbeline,main,1,1,1,1,stage_direction,,,Enter two Gentlemen,0.0,0.96949,0.01453
cymbeline,Cymbeline,main,1,1,1,2,speech,FIRST GENTLEMAN,FIRST GENTLEMAN,"You do not meet a man but frowns: our bloods
No more obey the heavens than our courtiers
Still seem as does the king.",0.2023,0.98605,-0.32333
cymbeline,Cymbeline,main,1,1,1,3,speech,SECOND GENTLEMAN,SECOND GENTLEMAN,But what's the matter?,-0.4767,-0.98902,-0.10144
cymbeline,Cymbeline,main,1,1,1,4,speech,FIRST GENTLEMAN,FIRST GENTLEMAN,"His daughter, and the heir of's kingdom, whom
He purposed to his wife's sole son—a widow
That late he married—hath referr'd herself
Unto a poor but worthy gentleman: she's wedded;
Her husband banish'd; she imprison'd: all
Is outward sorrow; though I think the king
Be touch'd at very heart.",-0.9081,-0.97446,-0.90733
cymbeline,Cymbeline,main,1,1,1,5,speech,SECOND GENTLEMAN,SECOND GENTLEMAN,None but the king?,0.0,0.96659,-0.44485
cymbeline,Cymbeline,main,1,1,1,6,speech,FIRST GENTLEMAN,FIRST GENTLEMAN,"He that hath lost her too; so is the queen,
That most desired the match; but not a courtier,
Although they wear their faces to the bent
Of the king's look's, hath a heart that is not
Glad at the thing they scowl at.",0.8519,0.9927,0.36352
cymbeline,Cymbeline,main,1,1,1,7,speech,SECOND GENTLEMAN,SECOND GENTLEMAN,And why so?,0.0,-0.99588,-0.06412
cymbeline,Cymbeline,main,1,1,1,8,speech,FIRST GENTLEMAN,FIRST GENTLEMAN,"He that hath miss'd the princess is a thing
Too bad for bad report: and he that hath her—
I mean, that married her, alack, good man!
And therefore banish'd—is a creature such
As, to seek through the regions of the earth
For one his like, there would be something failing
In him that should compare. I do not think
So fair an outward and such stuff within
Endows a man but he.",0.3117,0.99575,0.27178
cymbeline,Cymbeline,main,1,1,1,9,speech,SECOND GENTLEMAN,SECOND GENTLEMAN,You speak him far.,0.0,0.99678,0.4894
cymbeline,Cymbeline,main,1,1,1,10,speech,FIRST GENTLEMAN,FIRST GENTLEMAN,"I do extend him, sir, within himself,
Crush him together rather than unfold
His measure duly.",0.1779,0.98148,-0.47199
cymbeline,Cymbeline,main,1,1,1,11,speech,SECOND GENTLEMAN,SECOND GENTLEMAN,What's his name and birth?,0.0,0.73228,-0.02529
cymbeline,Cymbeline,main,1,1,1,12,speech,FIRST GENTLEMAN,FIRST GENTLEMAN,"I cannot delve him to the root: his father
Was call'd Sicilius, who did join his honour
Against the Romans with Cassibelan,
But had his titles by Tenantius whom
He served with glory and admired success,
So gain'd the sur-addition Leonatus;
And had, besides this gentleman in question,
Two other sons, who in the wars o' the time
Died with their swords in hand; for which
their father,
Then old and fond of issue, took such sorrow
That he quit being, and his gentle lady,
Big of this gentleman our theme, deceased
As he was born. The king he takes the babe
To his protection, calls him Posthumus Leonatus,
Breeds him and makes him of his bed-chamber,
Puts to him all the learnings that his time
Could make him the receiver of; which he took,
As we do air, fast as 'twas minister'd,
And in's spring became a harvest, lived in court—
Which rare it is to do—most praised, most loved,
A sample to the youngest, to the more mature
A glass that feated them, and to the graver
A child that guided dotards; to his mistress,
For whom he now is banish'd, her own price
Proclaims how she esteem'd him and his virtue;
By her election may be truly read
What kind of man he is.",0.9564,0.99525,0.54046
cymbeline,Cymbeline,main,1,1,1,13,speech,SECOND GENTLEMAN,SECOND GENTLEMAN,"I honour him
Even out of your report. But, pray you, tell me,
Is she sole child to the king?",0.2617,0.96383,0.17821
cymbeline,Cymbeline,main,1,1,1,14,speech,FIRST GENTLEMAN,FIRST GENTLEMAN,"His only child.
He had two sons: if this be worth your hearing,
Mark it: the eldest of them at three years old,
I' the swathing-clothes the other, from their nursery
Were stol'n, and to this hour no guess in knowledge
Which way they went.",-0.4215,-0.97867,-0.76008
cymbeline,Cymbeline,main,1,1,1,15,speech,SECOND GENTLEMAN,SECOND GENTLEMAN,How long is this ago?,0.0,-0.97642,-0.19598
cymbeline,Cymbeline,main,1,1,1,16,speech,FIRST GENTLEMAN,FIRST GENTLEMAN,Some twenty years.,0.0,0.98885,-0.13223
