play_id,play_title,section,act,scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
cymbeline,Cymbeline,main,1,1,1,75,169,1806,13,0.05756,0.0,-0.0128,-0.02529,0.37094,0.44626
cymbeline,Cymbeline,main,1,2,2,23,33,312,2,-0.08455,0.0,-0.08083,-0.125,0.32836,0.40428
cymbeline,Cymbeline,main,1,3,3,17,29,405,3,0.08336,0.0,-0.04198,-0.10288,0.39663,0.3992
cymbeline,Cymbeline,main,1,4,4,57,123,1736,4,0.17704,0.1328,-0.10646,-0.11016,0.40052,0.3254
cymbeline,Cymbeline,main,1,5,5,29,82,859,9,0.00898,0.0,-0.06789,-0.02302,0.36174,0.36586
cymbeline,Cymbeline,main,1,6,6,59,161,1924,4,0.1541,0.0951,0.03152,0.01174,0.46946,0.42846
cymbeline,Cymbeline,main,2,1,7,30,57,578,3,-0.09426,0.0,-0.1108,-0.13778,0.34075,0.36947
cymbeline,Cymbeline,main,2,2,8,12,68,672,4,0.02937,0.0,-0.01025,-0.01181,0.3738,0.37967
cymbeline,Cymbeline,main,2,3,9,68,157,1452,15,0.06074,0.0,-0.0122,-0.01674,0.35924,0.37654
cymbeline,Cymbeline,main,2,4,10,60,141,1531,4,0.14907,0.0,-0.01719,-0.01407,0.40771,0.37819
cymbeline,Cymbeline,main,2,5,11,3,28,314,2,-0.15663,-0.01315,-0.17412,-0.11235,0.4736,0.35039
cymbeline,Cymbeline,main,3,1,12,19,52,766,3,0.06262,0.0,-0.04795,-0.05373,0.4163,0.34519
cymbeline,Cymbeline,main,3,2,13,11,94,1104,3,0.12287,0.0,0.02148,-0.00385,0.3517,0.39024
cymbeline,Cymbeline,main,3,3,14,13,76,1019,4,0.08455,0.0,-0.05065,-0.01071,0.36235,0.40259
cymbeline,Cymbeline,main,3,4,15,37,169,1832,2,-0.06298,0.0,-0.09253,-0.0686,0.40225,0.39827
cymbeline,Cymbeline,main,3,5,16,70,163,1421,13,0.06153,0.0,0.04355,0.0104,0.37693,0.38973
cymbeline,Cymbeline,main,3,6,17,36,101,917,5,0.0713,0.0,-0.01004,-0.02551,0.40297,0.41496
cymbeline,Cymbeline,main,3,7,18,8,11,103,2,-0.0449,0.0,0.06235,0.00508,0.29235,0.29891
cymbeline,Cymbeline,main,4,1,19,3,18,247,2,0.19255,0.24695,-0.12152,-0.23606,0.49253,0.38446
cymbeline,Cymbeline,main,4,2,20,144,418,4121,18,0.00272,0.0,-0.01165,-0.01215,0.38676,0.39788
cymbeline,Cymbeline,main,4,3,21,14,44,416,4,-0.0694,0.0,-0.05567,-0.10275,0.4084,0.39644
cymbeline,Cymbeline,main,4,4,22,15,38,467,2,-0.09695,0.0,-0.10346,-0.05554,0.41523,0.39521
cymbeline,Cymbeline,main,5,1,23,3,24,311,2,-0.1001,-0.0258,0.06262,0.01576,0.48393,0.47314
cymbeline,Cymbeline,main,5,2,24,11,28,258,14,0.03414,0.0,-0.04366,0.00959,0.33911,0.32069
cymbeline,Cymbeline,main,5,3,25,22,73,1004,6,-0.07395,0.0,-0.15004,-0.14657,0.47084,0.36084
cymbeline,Cymbeline,main,5,4,26,44,153,1948,12,0.02798,0.0,-0.08716,-0.05582,0.44292,0.39616
cymbeline,Cymbeline,main,5,5,27,145,409,4416,7,0.05556,0.0,0.00749,0.01285,0.43655,0.43519
