play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score
hamlet,Hamlet,main,1,1,1,1,stage_direction,,,"Two watchmen, BARNARDO and FRANCISCO, enter.",0.0,0.05865
hamlet,Hamlet,main,1,1,1,2,speech,BARNARDO,BARNARDO,Who’s there?,0.0,-0.01965
hamlet,Hamlet,main,1,1,1,3,speech,FRANCISCO,FRANCISCO,"Nay, answer me. Stand and unfold yourself.",-0.296,-0.07854
hamlet,Hamlet,main,1,1,1,4,speech,BARNARDO,BARNARDO,Long live the king!,0.0,0.65485
hamlet,Hamlet,main,1,1,1,5,speech,FRANCISCO,FRANCISCO,Barnardo?,0.0,-0.01463
hamlet,Hamlet,main,1,1,1,6,speech,BARNARDO,BARNARDO,He.,0.4019,0.43734
hamlet,Hamlet,main,1,1,1,7,speech,FRANCISCO,FRANCISCO,You come most carefully upon your hour.,0.0,0.11753
hamlet,Hamlet,main,1,1,1,8,speech,BARNARDO,BARNARDO,"‘Tis now struck twelve. Get thee to bed, Francisco.",-0.25,-0.01332
hamlet,Hamlet,main,1,1,1,9,speech,FRANCISCO,FRANCISCO,"For this relief much thanks. ‘Tis bitter cold,
And I am sick at heart.",-0.2023,-0.85452
hamlet,Hamlet,main,1,1,1,10,speech,BARNARDO,BARNARDO,Have you had quiet guard?,0.0,-0.03204
hamlet,Hamlet,main,1,1,1,11,speech,FRANCISCO,FRANCISCO,Not a mouse stirring.,0.0,-0.40009
hamlet,Hamlet,main,1,1,1,12,speech,BARNARDO,BARNARDO,"Well, good night.
If you do meet Horatio and Marcellus,
The rivals of my watch, bid them make haste.",0.6124,0.30424
hamlet,Hamlet,main,1,1,1,13,speech,FRANCISCO,FRANCISCO,"I think I hear them.—Stand, ho! Who’s there?",-0.3595,-0.04909
hamlet,Hamlet,main,1,1,1,14,stage_direction,,,HORATIO and MARCELLUS enter.,0.0,0.12004
hamlet,Hamlet,main,1,1,1,15,speech,HORATIO,HORATIO,Friends to this ground.,0.4767,0.16131
hamlet,Hamlet,main,1,1,1,16,speech,MARCELLUS,MARCELLUS,And liegemen to the Dane.,0.4767,0.4157
hamlet,Hamlet,main,1,1,1,17,speech,FRANCISCO,FRANCISCO,Give you good night.,0.4404,0.39842
hamlet,Hamlet,main,1,1,1,18,speech,MARCELLUS,MARCELLUS,"O, farewell, honest soldier. Who hath relieved you?",0.7269,0.60585
hamlet,Hamlet,main,1,1,1,19,speech,FRANCISCO,FRANCISCO,Barnardo has my place. Give you good night.,0.4404,0.26949
hamlet,Hamlet,main,1,1,1,20,stage_direction,,,FRANCISCO exits.,0.0,0.00899
hamlet,Hamlet,main,1,1,1,21,speech,MARCELLUS,MARCELLUS,"Holla, Barnardo.",0.0,0.18684
hamlet,Hamlet,main,1,1,1,22,speech,BARNARDO,BARNARDO,"Say what, is Horatio there?",0.0,-0.0439
hamlet,Hamlet,main,1,1,1,23,speech,HORATIO,HORATIO,A piece of him.,0.0,0.03901
hamlet,Hamlet,main,1,1,1,24,speech,BARNARDO,BARNARDO,"Welcome, Horatio.—Welcome, good Marcellus.",0.7184,0.23745
hamlet,Hamlet,main,1,1,1,25,speech,MARCELLUS,MARCELLUS,"What, has this thing appeared again tonight?",0.0,-0.1197
hamlet,Hamlet,main,1,1,1,26,speech,BARNARDO,BARNARDO,I have seen nothing.,0.0,-0.44623
hamlet,Hamlet,main,1,1,1,27,speech,MARCELLUS,MARCELLUS,"Horatio says ’tis but our fantasy
And will not let belief take hold of him
Touching this dreaded sight twice seen of us.
Therefore I have entreated him along
With us to watch the minutes of this night,
That if again this apparition come
He may approve our eyes and speak to it.",-0.5574,-0.83865
hamlet,Hamlet,main,1,1,1,28,speech,HORATIO,HORATIO,"Tush, tush, ’twill not appear.",0.0,-0.50311
hamlet,Hamlet,main,1,1,1,29,speech,BARNARDO,BARNARDO,"Sit down a while
And let us once again assail your ears,
That are so fortified against our story,
What we have two nights seen.",-0.296,-0.44239
hamlet,Hamlet,main,1,1,1,30,speech,HORATIO,HORATIO,"Well, sit we down,
And let us hear Barnardo speak of this.",0.3182,-0.00535
hamlet,Hamlet,main,1,1,1,31,speech,BARNARDO,BARNARDO,"Last night of all,
When yond same star that’s westward from the pole
Had made his course t’ illume that part of heaven
Where now it burns, Marcellus and myself,
The bell then beating one—",0.6808,0.35738
hamlet,Hamlet,main,1,1,1,32,stage_direction,,,The GHOST enters.,-0.4648,0.01627
hamlet,Hamlet,main,1,1,1,33,speech,MARCELLUS,MARCELLUS,"Peace, break thee off. Look where it comes again!",-0.3595,0.56895
hamlet,Hamlet,main,1,1,1,34,speech,BARNARDO,BARNARDO,In the same figure like the king that’s dead.,-0.4215,-0.28183
hamlet,Hamlet,main,1,1,1,35,speech,MARCELLUS,MARCELLUS,"[to HORATIO] Thou art a scholar. Speak to it, Horatio.",0.0,0.51771
hamlet,Hamlet,main,1,1,1,36,speech,BARNARDO,BARNARDO,"Looks it not like the king? Mark it, Horatio.",0.3612,-0.09439
hamlet,Hamlet,main,1,1,1,37,speech,HORATIO,HORATIO,Most like. It harrows me with fear and wonder.,-0.1779,0.74339
hamlet,Hamlet,main,1,1,1,38,speech,BARNARDO,BARNARDO,It would be spoke to.,0.0,0.13947
hamlet,Hamlet,main,1,1,1,39,speech,MARCELLUS,MARCELLUS,"Question it, Horatio.",0.0,0.10229
hamlet,Hamlet,main,1,1,1,40,speech,HORATIO,HORATIO,"What art thou that usurp’st this time of night
Together with that fair and warlike form
In which the majesty of buried Denmark
Did sometimes march? By heaven, I charge thee, speak.",-0.765,-0.23743
hamlet,Hamlet,main,1,1,1,41,speech,MARCELLUS,MARCELLUS,It is offended.,-0.25,0.11323
