play_id,play_title,section,act,scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
hamlet,Hamlet,main,1,1,1,63,128,1342,0,-0.00247,0.0,-0.0165,-0.00581,0.34395,0.3807
hamlet,Hamlet,main,1,2,2,78,178,2219,0,0.07632,0.0,0.03228,-0.01944,0.40996,0.44275
hamlet,Hamlet,main,1,3,3,26,92,1109,0,0.15784,0.0,-0.00783,-0.00516,0.38094,0.37477
hamlet,Hamlet,main,1,4,4,30,67,789,0,-0.10681,0.0,-0.12257,-0.04671,0.2996,0.40051
hamlet,Hamlet,main,1,5,5,62,144,1443,0,0.00158,0.0,0.06327,0.02421,0.41326,0.47011
hamlet,Hamlet,main,2,1,6,38,80,998,0,0.05485,0.0,-0.02589,-0.02554,0.39569,0.40977
hamlet,Hamlet,main,2,2,7,170,384,4954,0,0.09086,0.0,0.0092,-0.00133,0.43888,0.41813
hamlet,Hamlet,main,3,1,8,45,125,1688,0,0.15258,0.0,-0.05219,-0.03172,0.44184,0.43873
hamlet,Hamlet,main,3,2,9,147,325,3508,0,0.08173,0.0,-0.04336,-0.02434,0.42053,0.38601
hamlet,Hamlet,main,3,3,10,10,68,918,0,-0.00683,0.0,-0.1841,-0.25,0.47732,0.39286
hamlet,Hamlet,main,3,4,11,58,152,1960,0,-0.06177,0.0,-0.06196,-0.02531,0.45592,0.41917
hamlet,Hamlet,main,4,1,12,10,33,387,0,-0.10644,0.0,-0.06844,-0.02621,0.4597,0.39411
hamlet,Hamlet,main,4,2,13,17,28,255,0,0.05295,0.0,-0.06535,-0.02606,0.3305,0.38028
hamlet,Hamlet,main,4,3,14,29,61,583,0,0.07018,0.0,0.00858,-0.01663,0.2907,0.37034
hamlet,Hamlet,main,4,4,15,18,36,569,0,0.01651,0.0,-0.09498,-0.01368,0.42108,0.37548
hamlet,Hamlet,main,4,5,16,67,154,1785,0,-0.03299,0.0,-0.02503,-0.01066,0.4505,0.45013
hamlet,Hamlet,main,4,6,17,8,25,293,0,0.02309,0.0,0.12344,0.11557,0.35064,0.34446
hamlet,Hamlet,main,4,7,18,42,121,1698,0,-0.01576,0.0,-0.08965,-0.05193,0.44622,0.37667
hamlet,Hamlet,main,5,1,19,111,250,2455,0,-0.01506,0.0,-0.0268,-0.02485,0.3644,0.33883
hamlet,Hamlet,main,5,2,20,152,363,3631,0,0.00717,0.0,-0.04157,-0.01525,0.39147,0.39361
