play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
hamlet,Hamlet,main,1,1,1.1,1,71,136,1369,8,-0.016,0.0,-0.01218,-0.72103,-0.01578,0.00353,0.34269,0.9808,0.3702
hamlet,Hamlet,main,1,2,1.2,2,85,186,2264,8,0.07487,0.0,0.00277,0.03402,0.03414,-0.01821,0.40174,0.98403,0.43424
hamlet,Hamlet,main,1,3,1.3,3,30,96,1121,4,0.15127,0.0,-0.13861,-0.96601,-0.00711,-0.00516,0.37418,0.97666,0.36832
hamlet,Hamlet,main,1,4,1.4,4,36,73,818,6,-0.12179,0.0,-0.01233,-0.49205,-0.11204,-0.03534,0.29743,0.98,0.38568
hamlet,Hamlet,main,1,5,1.5,5,66,148,1458,4,-0.00475,0.0,-0.13296,-0.95733,0.06102,0.02421,0.41116,0.9672,0.46455
hamlet,Hamlet,main,2,1,2.1,6,42,84,1010,4,0.05223,0.0,-0.21556,-0.98132,-0.02575,-0.02032,0.38621,0.96652,0.40004
hamlet,Hamlet,main,2,2,2.2,7,186,401,5024,17,0.08701,0.0,0.02786,0.918,0.01049,0.00491,0.42985,0.98353,0.40928
hamlet,Hamlet,main,3,1,3.1,8,53,133,1718,8,0.14206,0.0,-0.05602,-0.96839,-0.04848,-0.0273,0.43052,0.9804,0.42686
hamlet,Hamlet,main,3,2,3.2,9,169,349,3614,24,0.0778,0.0,-0.10944,-0.97086,-0.03885,-0.01811,0.40661,0.97721,0.37446
hamlet,Hamlet,main,3,3,3.3,10,17,75,937,7,-0.0062,0.0,-0.19639,-0.95983,-0.16436,-0.188,0.45418,0.96762,0.37916
hamlet,Hamlet,main,3,4,3.4,11,64,158,1984,6,-0.06644,0.0,-0.23835,-0.98154,-0.06037,-0.02034,0.44958,0.94613,0.41314
hamlet,Hamlet,main,4,1,4.1,12,15,38,409,5,-0.09243,0.0,-0.3059,-0.98142,-0.05605,-0.01991,0.42906,0.92553,0.3694
hamlet,Hamlet,main,4,2,4.2,13,20,31,266,3,0.04782,0.0,-0.22756,-0.98156,-0.06612,-0.0151,0.31394,0.97634,0.36359
hamlet,Hamlet,main,4,3,4.3,14,36,68,607,7,0.06295,0.0,-0.08861,-0.96998,0.00071,-0.01258,0.27593,0.99058,0.35463
hamlet,Hamlet,main,4,4,4.4,15,24,42,597,6,0.01415,0.0,-0.05308,-0.97776,-0.08022,-0.00096,0.3891,0.9976,0.35056
hamlet,Hamlet,main,4,5,4.5,16,81,168,1826,14,-0.03263,0.0,-0.09414,-0.96639,-0.02227,-0.00489,0.43225,0.9838,0.43421
hamlet,Hamlet,main,4,6,4.6,17,12,29,305,4,0.0199,0.0,0.30048,0.96169,0.10389,0.0838,0.32473,0.94985,0.32799
hamlet,Hamlet,main,4,7,4.7,18,48,127,1716,6,-0.01501,0.0,-0.06081,-0.96347,-0.08556,-0.04675,0.43548,0.98483,0.3687
hamlet,Hamlet,main,5,1,5.1,19,121,261,2605,11,-0.02287,0.0,-0.23486,-0.9802,-0.02167,-0.02322,0.36337,0.95403,0.3383
hamlet,Hamlet,main,5,2,5.2,20,167,380,3736,17,0.00651,0.0,-0.06607,-0.95464,-0.03997,-0.00893,0.38744,0.98064,0.3855
