play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
henry-iv-part-1,"Henry IV, Part 1",main,1,1,1.1,1,10,48,892,0,-0.08476,0.0,0.04379,0.74565,-0.10846,-0.09098,0.50088,0.9796,0.35437
henry-iv-part-1,"Henry IV, Part 1",main,1,2,1.2,2,63,151,1994,0,0.03921,0.0,-0.20756,-0.98334,-0.02296,-0.01139,0.41525,0.96493,0.37733
henry-iv-part-1,"Henry IV, Part 1",main,1,3,1.3,3,55,168,2721,0,-0.05035,0.0,-0.10021,-0.9571,-0.06332,-0.03842,0.49147,0.97035,0.41181
henry-iv-part-1,"Henry IV, Part 1",main,2,1,2.1,4,32,85,831,0,0.05383,0.0,-0.15815,-0.97166,-0.03247,-0.04359,0.37392,0.97575,0.39414
henry-iv-part-1,"Henry IV, Part 1",main,2,2,2.2,5,46,122,954,0,-0.0679,0.0,-0.24865,-0.9881,0.07148,0.01632,0.36764,0.95907,0.45235
henry-iv-part-1,"Henry IV, Part 1",main,2,3,2.3,6,24,98,1102,0,0.02243,0.0,-0.21665,-0.976,0.00667,-0.01896,0.43681,0.95471,0.41619
henry-iv-part-1,"Henry IV, Part 1",main,2,4,2.4,7,203,463,5103,0,0.00686,0.0,-0.26643,-0.9844,0.00517,-0.01141,0.39119,0.94377,0.36293
henry-iv-part-1,"Henry IV, Part 1",main,3,1,3.1,8,75,174,2342,0,0.01538,0.0,-0.14449,-0.97275,-0.01435,-0.01064,0.40195,0.97693,0.39989
henry-iv-part-1,"Henry IV, Part 1",main,3,2,3.2,9,11,85,1515,0,0.1168,0.0,-0.13234,-0.97143,-0.06174,-0.03078,0.46793,0.9818,0.45232
henry-iv-part-1,"Henry IV, Part 1",main,3,3,3.3,10,76,185,1984,0,0.05614,0.0,-0.40253,-0.99255,-0.07676,-0.05815,0.37554,0.90532,0.418
henry-iv-part-1,"Henry IV, Part 1",main,4,1,4.1,11,34,97,1235,0,0.10994,0.0,0.08763,0.96254,-0.07963,-0.05096,0.41993,0.98188,0.39602
henry-iv-part-1,"Henry IV, Part 1",main,4,2,4.2,12,21,56,821,0,-0.05551,0.0,-0.25698,-0.9903,-0.1596,-0.13069,0.38543,0.95847,0.38414
henry-iv-part-1,"Henry IV, Part 1",main,4,3,4.3,13,28,69,1036,0,0.04202,0.0,-0.18816,-0.98483,-0.07661,-0.076,0.46966,0.97995,0.38897
henry-iv-part-1,"Henry IV, Part 1",main,4,4,4.4,14,9,24,365,0,0.11984,0.22025,0.32798,0.97103,0.021,0.13515,0.4754,0.93569,0.40365
henry-iv-part-1,"Henry IV, Part 1",main,5,1,5.1,15,19,101,1317,0,0.08476,0.0,-0.26196,-0.98343,-0.11956,-0.08064,0.47593,0.95631,0.37849
henry-iv-part-1,"Henry IV, Part 1",main,5,2,5.2,16,22,72,898,0,0.00849,0.0,-0.06058,-0.91645,-0.10951,-0.17846,0.43357,0.98122,0.442
henry-iv-part-1,"Henry IV, Part 1",main,5,3,5.3,17,23,64,617,0,-0.03705,0.0,-0.43247,-0.98081,-0.02899,-0.03984,0.37812,0.89363,0.32696
henry-iv-part-1,"Henry IV, Part 1",main,5,4,5.4,18,41,148,1663,0,0.05052,0.0,-0.08929,-0.96868,-0.02299,-0.07306,0.43874,0.97831,0.43736
henry-iv-part-1,"Henry IV, Part 1",main,5,5,5.5,19,9,22,367,0,-0.05238,-0.2064,0.09122,0.97748,0.00548,-0.00968,0.60321,1.00969,0.37404
