play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score
henry-iv-part-2,"Henry IV, Part 2",prologue,0,1,1,1,stage_direction,,,Enter RUMOR all painted with tongues,0.0,0.02721
henry-iv-part-2,"Henry IV, Part 2",prologue,0,1,1,2,speech,RUMOR,RUMOR,"Open your ears, for which of you will stop The vent of
hearing when loud Rumor speaks? I, from the orient to
the drooping west, Making the wind my post-horse, still
unfold The acts commenced on this ball of earth. Upon my
tongues continual slanders ride, The which in every
language I pronounce, Stuffing the ears of men with
false reports. I speak of peace while covert enmity
Under the smile of safety wounds the world. And who but
Rumor, who but only I, Make fearful musters and prepared
defense, Whiles the big year, swoll'n with some other
grief, Is thought with child by the stern tyrant war,
And no such matter? Rumor is a pipe Blown by surmises,
jealousies, conjectures, And of so easy and so plain a
stop That the blunt monster with uncounted heads, The
still-discordant wav'ring multitude, Can play upon it.
But what need I thus My well-known body to anatomize
Among my household? Why is Rumor here? I run before King
Harry’s victory, Who in a bloody field by Shrewsbury
Hath beaten down young Hotspur and his troops, Quenching
the flame of bold rebellion Even with the rebels' blood.
But what mean I To speak so true at first? My office is
To noise abroad that Harry Monmouth fell Under the
wrath of noble Hotspur’s sword, And that the King before
the Douglas' rage Stooped his anointed head as low as
death. This have I rumored through the peasant towns
Between that royal field of Shrewsbury And this
worm-eaten hold of ragged stone, Where Hotspur’s father,
old Northumberland, Lies crafty-sick. The posts come
tiring on, And not a man of them brings other news Than
they have learnt of me. From Rumor’s tongues They bring
smooth comforts false, worse than true wrongs.",-0.9972,-0.7664
henry-iv-part-2,"Henry IV, Part 2",prologue,0,1,1,3,stage_direction,,,Exit,0.0,-0.01063
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,4,stage_direction,,,Enter LORD BARDOLPH,0.0,0.00983
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,5,speech,LORD BARDOLPH,LORD BARDOLPH,"Who keeps the gate here, ho?",0.0772,-0.11332
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,6,stage_direction,,,Enter the PORTER,0.0,0.01421
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,7,speech,LORD BARDOLPH,LORD BARDOLPH,Where is the Earl?,0.0,0.00869
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,8,speech,PORTER,PORTER,What shall I say you are?,0.0,0.00117
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,9,speech,LORD BARDOLPH,LORD BARDOLPH,"Tell thou the Earl That the Lord Bardolph doth
attend him here.",0.0,0.17203
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,10,speech,PORTER,PORTER,"His lordship is walked forth into the orchard. Please
it your Honor knock but at the gate And he himself will
answer.",0.3818,-0.01783
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,11,stage_direction,,,NORTHUMBERLAND Enter,0.0,0.01584
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,12,speech,LORD BARDOLPH,LORD BARDOLPH,Here comes the Earl.,0.0,0.16816
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,13,stage_direction,,,Exit PORTER,0.0,-0.00245
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,14,speech,NORTHUMBERLAND,NORTHUMBERLAND,"What news, Lord Bardolph? Every minute now Should be
the father of some stratagem. The times are wild.
Contention, like a horse Full of high feeding, madly hath
broke loose And bears down all before him.",-0.872,-0.72673
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,15,speech,LORD BARDOLPH,LORD BARDOLPH,"Noble Earl, I bring you certain news from
Shrewsbury.",0.4588,0.4269
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,16,speech,NORTHUMBERLAND,NORTHUMBERLAND,"Good, an God will!",0.7003,0.40457
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,17,speech,LORD BARDOLPH,LORD BARDOLPH,"As good as heart can wish. The King is almost wounded
to the death, And, in the fortune of my lord your son,
Prince Harry slain outright; and both the Blunts Killed
by the hand of Douglas; young Prince John And
Westmoreland and Stafford fled the field; And Harry
Monmouth’s brawn, the hulk Sir John, Is prisoner to your
son. O, such a day, So fought, so followed, and so
fairly won, Came not till now to dignify the times Since
Caesar’s fortunes.",0.9266,0.8304
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,18,speech,NORTHUMBERLAND,NORTHUMBERLAND,"How is this derived? Saw you the field? Came you
from Shrewsbury?",0.0,-0.05001
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,19,speech,LORD BARDOLPH,LORD BARDOLPH,"I spake with one, my lord, that came from thence, A
gentleman well bred and of good name, That freely
rendered me these news for true.",0.7579,0.4747
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,20,speech,NORTHUMBERLAND,NORTHUMBERLAND,"Here comes my servant Travers, who I sent On Tuesday
last to listen after news.",0.0,0.13237
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,21,stage_direction,,,Enter TRAVERS,0.0,0.01109
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,22,speech,LORD BARDOLPH,LORD BARDOLPH,"My lord, I overrode him on the way; And he is furnished
with no certainties More than he haply may retail from
me.",0.0,-0.5784
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,23,speech,NORTHUMBERLAND,NORTHUMBERLAND,"Now, Travers, what good tidings comes with you?",0.4404,0.2639
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,24,speech,TRAVERS,TRAVERS,"My lord, Sir John Umfrevile turned me back With joyful
tidings and, being better horsed, Outrode me. After him
came spurring hard A gentleman, almost forspent with
speed, That stopp’d by me to breathe his bloodied horse.
He asked the way to Chester, and of him I did demand
what news from Shrewsbury. He told me that rebellion had
bad luck And that young Harry Percy’s spur was cold.
With that he gave his able horse the head And, bending
forward, struck his armèd heels Against the panting
sides of his poor jade Up to the rowel-head, and
starting so He seemed in running to devour the way,
Staying no longer question.",-0.8531,-0.12943
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,25,speech,NORTHUMBERLAND,NORTHUMBERLAND,"Ha? Again: Said he young Harry Percy’s spur was
cold? Of Hotspur, Coldspur? That rebellion Had met ill
luck?",-0.6767,-0.73409
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,26,speech,LORD BARDOLPH,LORD BARDOLPH,"My lord, I’ll tell you what: If my young lord your
son have not the day, Upon mine honor, for a silken
point I’ll give my barony. Never talk of it.",-0.506,-0.61193
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,27,speech,NORTHUMBERLAND,NORTHUMBERLAND,"Why should that gentleman that rode by Travers Give
then such instances of loss?",-0.6956,-0.75052
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,28,speech,LORD BARDOLPH,LORD BARDOLPH,"Who, he? He was some hilding fellow that had stolen
The horse he rode on and, upon my life, Spoke at a
venture. Look, here comes more news.",-0.8555,-0.55527
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,29,stage_direction,,,Enter MORTON,0.0,0.01568
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,30,speech,NORTHUMBERLAND,NORTHUMBERLAND,"Yea, this man’s brow, like to a title leaf, Foretells
the nature of a tragic volume. So looks the strond
whereon the imperious flood Hath left a witness’d
usurpation. — Say, Morton, didst thou come from
Shrewsbury?",-0.3182,-0.74378
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,31,speech,MORTON,MORTON,"I ran from Shrewsbury, my noble lord, Where hateful
death put on his ugliest mask To fright our party.",-0.8225,-0.82032
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,32,speech,NORTHUMBERLAND,NORTHUMBERLAND,"How doth my son and brother? Thou tremblest, and the
whiteness in thy cheek Is apter than thy tongue to tell
thy errand. Even such a man, so faint, so spiritless, So
dull, so dead in look, so woebegone, Drew Priam’s
curtain in the dead of night, And would have told him
half his Troy was burnt; But Priam found the fire ere he
his tongue, And I my Percy’s death ere thou report’st
it. This thou wouldst say, “Your son did thus and thus;
Your brother thus; so fought the noble Douglas”— Stopping
my greedy ear with their bold deeds. But in the end, to
stop my ear indeed, Thou hast a sigh to blow away this
praise, Ending with “Brother, son, and all are dead.”",-0.4981,0.46018
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,33,speech,MORTON,MORTON,"Douglas is living, and your brother yet, But for my
lord your son—",0.0,0.56892
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,34,speech,NORTHUMBERLAND,NORTHUMBERLAND,"Why, he is dead. See what a ready tongue suspicion
hath! He that but fears the thing he would not know
Hath, by instinct, knowledge from others' eyes That what
he feared is chancèd . Yet speak, Morton. Tell thou an
earl his divination lies, And I will take it as a sweet
disgrace And make thee rich for doing me such wrong.",-0.8794,-0.60333
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,35,speech,MORTON,MORTON,"You are too great to be by me gainsaid, Your spirit is
too true, your fears too certain.",-0.0772,0.50819
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,36,speech,NORTHUMBERLAND,NORTHUMBERLAND,"Yet, for all this, say not that Percy’s dead. I see a
strange confession in thine eye. Thou shak’st thy head
and hold’st it fear or sin To speak a truth. If he be
slain, say so. The tongue offends not that reports his
death; And he doth sin that doth belie the dead, Not he
which says the dead is not alive. Yet the first bringer
of unwelcome news Hath but a losing office, and his
tongue Sounds ever after as a sullen bell Remembered
tolling a departing friend.",-0.9959,-0.8978
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,37,speech,LORD BARDOLPH,LORD BARDOLPH,"I cannot think, my lord, your son is dead.",-0.6728,-0.80879
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,38,speech,MORTON,MORTON,"I am sorry I should force you to believe That which I
would to God I had not seen, But these mine eyes saw him
in bloody state, Rend'ring faint quittance, wearied and
outbreathed, To Harry Monmouth; whose swift wrath beat
down The never-daunted Percy to the earth, From whence
with life he never more sprung up. In few, his death,
whose spirit lent a fire Even to the dullest peasant in
his camp, Being bruited once, took fire and heat away
From the best tempered courage in his troops; For from
his metal was his party steeled, Which, once in him
abated, all the rest Turned on themselves, like dull and
heavy lead. And as the thing that’s heavy in itself
Upon enforcement flies with greatest speed, So did our
men, heavy in Hotspur’s loss, Lend to this weight such
lightness with their fear That arrows fled not swifter
toward their aim Than did our soldiers, aiming at their
safety, Fly from the field. Then was the noble Worcester
Too soon ta'en prisoner; and that furious Scot, The
bloody Douglas, whose well-laboring sword Had three
times slain th'appearance of the King, Gan vail his
stomach and did grace the shame Of those that turned
their backs and in his flight, Stumbling in fear, was
took. The sum of all Is that the King hath won and hath
sent out A speedy power to encounter you, my lord, Under
the conduct of young Lancaster And Westmoreland. This
is the news at full.",-0.9549,0.57732
