play_id,play_title,section,act,scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
henry-iv-part-2,"Henry IV, Part 2",prologue,0,1,1,3,20,377,2,-0.22286,0.0,-0.10949,-0.02056,0.4845,0.36009
henry-iv-part-2,"Henry IV, Part 2",main,1,1,2,42,150,2133,7,-0.11452,0.0,-0.13509,-0.08899,0.45613,0.40592
henry-iv-part-2,"Henry IV, Part 2",main,1,2,3,77,204,2561,5,0.02009,0.0,-0.11485,-0.09669,0.38967,0.37461
henry-iv-part-2,"Henry IV, Part 2",main,1,3,4,22,63,1108,2,0.03298,0.0,-0.16391,-0.11883,0.46607,0.31498
henry-iv-part-2,"Henry IV, Part 2",main,2,1,5,76,163,1932,6,0.03063,0.0,-0.00696,-0.01189,0.37766,0.38915
henry-iv-part-2,"Henry IV, Part 2",main,2,2,6,73,135,1750,6,0.05559,0.0,-0.0213,-0.0125,0.36318,0.40408
henry-iv-part-2,"Henry IV, Part 2",main,2,3,7,10,47,664,2,0.17026,0.1027,-0.06254,-0.07336,0.51841,0.41748
henry-iv-part-2,"Henry IV, Part 2",main,2,4,8,168,370,3564,19,0.028,0.0,-0.01567,-0.01415,0.40755,0.39487
henry-iv-part-2,"Henry IV, Part 2",main,3,1,9,18,57,996,4,0.02223,0.0,-0.06406,-0.01929,0.45052,0.40996
henry-iv-part-2,"Henry IV, Part 2",main,3,2,10,137,320,3026,9,0.11085,0.0,0.06506,0.01992,0.36786,0.3811
henry-iv-part-2,"Henry IV, Part 2",main,4,1,11,90,226,3258,14,0.07035,0.0,-0.06924,-0.01532,0.47146,0.38989
henry-iv-part-2,"Henry IV, Part 2",main,4,2,12,42,109,1415,11,0.12327,0.0,0.06653,0.03372,0.39227,0.35643
henry-iv-part-2,"Henry IV, Part 2",main,4,3,13,94,267,3599,15,0.00656,0.0,-0.0644,-0.02916,0.43703,0.40841
henry-iv-part-2,"Henry IV, Part 2",main,5,1,14,33,66,843,6,0.26482,0.1525,-0.00125,-0.00226,0.32389,0.35488
henry-iv-part-2,"Henry IV, Part 2",main,5,2,15,32,91,1393,3,0.11195,0.0,-0.0654,-0.04796,0.4882,0.42233
henry-iv-part-2,"Henry IV, Part 2",main,5,3,16,70,132,1216,8,0.16722,0.0,0.15964,0.15485,0.39591,0.33736
henry-iv-part-2,"Henry IV, Part 2",main,5,4,17,16,30,283,2,-0.07871,0.0,0.08258,0.05143,0.36139,0.42029
henry-iv-part-2,"Henry IV, Part 2",main,5,5,18,51,95,1025,10,0.12858,0.0,0.02868,0.04383,0.38088,0.4191
henry-iv-part-2,"Henry IV, Part 2",epilogue,6,1,19,3,27,458,2,0.06887,0.0926,-0.1452,-0.19976,0.44206,0.41057
