play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score,dl2_score
henry-v,Henry V,main,1,,1,1,stage_direction,,,Enter CHORUS,0.0,0.98303,0.0275
henry-v,Henry V,main,1,,1,2,speech,CHORUS,CHORUS,"Oh, for a muse of fire that would ascend
The brightest heaven of invention!
A kingdom for a stage, princes to act,
And monarchs to behold the swelling scene!
Then should the warlike Harry, like himself,
Assume the port of Mars, and at his heels,
Leashed in like hounds, should famine, sword, and fire
Crouch for employment. But pardon, gentles all,
The flat unraisèd spirits that hath dared
On this unworthy scaffold to bring forth
So great an object. Can this cockpit hold
The vasty fields of France? Or may we cram
Within this wooden O the very casques
That did affright the air at Agincourt?
O pardon, since a crookèd figure may
Attest in little place a million,
And let us, ciphers to this great account,
On your imaginary forces work.
Suppose within the girdle of these walls
Are now confined two mighty monarchies
Whose high uprearèd and abutting fronts
The perilous narrow ocean parts asunder.
Piece out our imperfections with your thoughts.
Into a thousand parts divide one man,
And make imaginary puissance.
Think, when we talk of horses, that you see them
Printing their proud hoofs i' th' receiving earth,
For ’tis your thoughts that now must deck our kings,
Carry them here and there, jumping o'er times,
Turning th' accomplishment of many years
Into an hour-glass; for the which supply,
Admit me chorus to this history;
Who, prologue-like, your humble patience pray
Gently to hear, kindly to judge our play.",0.9467,-0.98546,0.00959
henry-v,Henry V,main,1,,1,3,stage_direction,,,Exit,0.0,-0.99484,0.01617
henry-v,Henry V,main,1,1,2,4,stage_direction,,,Enter the Archbishop of CANTERBURY and the Bishop of ELY,0.0,0.98552,0.0537
henry-v,Henry V,main,1,1,2,5,speech,CANTERBURY,CANTERBURY,"My lord, I’ll tell you that self bill is urged
Which in th' eleventh year of the last king’s reign
Was like, and had indeed against us passed
But that the scambling and unquiet time
Did push it out of farther question.",-0.7003,-0.99389,-0.3918
henry-v,Henry V,main,1,1,2,6,speech,ELY,ELY,"But how, my lord, shall we resist it now?",0.0,0.98857,-0.01757
henry-v,Henry V,main,1,1,2,7,speech,CANTERBURY,CANTERBURY,"It must be thought on. If it pass against us,
We lose the better half of our possession,
For all the temporal lands which men devout
By testament have given to the Church
Would they strip from us, being valued thus:
“As much as would maintain, to the King’s honor,
Full fifteen earls and fifteen hundred knights,
Six thousand and two hundred good esquires;
And, to relief of lazars and weak age
Of indigent faint souls past corporal toil,
A hundred almshouses right well supplied;
And to the coffers of the King besides,
A thousand pounds by th' year.” Thus runs the bill.",0.296,-0.98908,-0.20252
henry-v,Henry V,main,1,1,2,8,speech,ELY,ELY,This would drink deep.,0.0,-0.99893,-0.14906
henry-v,Henry V,main,1,1,2,9,speech,CANTERBURY,CANTERBURY,'Twould drink the cup and all.,0.2732,-0.99897,-0.15611
henry-v,Henry V,main,1,1,2,10,speech,ELY,ELY,But what prevention?,-0.296,-0.99115,-0.00732
