play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
henry-v,Henry V,main,1,,1.Prologue,1,3,18,289,2,0.17943,0.2957,-0.14156,-0.97572,0.13196,0.06455,0.51332,0.98415,0.34767
henry-v,Henry V,main,1,1,1.1,2,24,44,761,2,0.09194,0.0,0.09008,0.9824,-0.08404,-0.05152,0.43738,0.99815,0.33737
henry-v,Henry V,main,1,2,1.2,3,39,114,2475,7,0.19249,0.2732,0.18785,0.97583,-0.03176,0.00012,0.44455,0.95956,0.40534
henry-v,Henry V,main,2,,2.Prologue,4,3,18,346,2,0.23393,0.318,0.21912,0.97805,0.00027,0.00483,0.49234,0.987,0.34155
henry-v,Henry V,main,2,1,2.1,5,50,105,1065,6,0.01122,0.0,0.01648,0.654,0.03547,0.05594,0.38723,0.98357,0.37704
henry-v,Henry V,main,2,2,2.2,6,35,96,1514,5,0.01011,0.0,-0.04585,-0.7657,0.01265,-0.01627,0.47456,0.9823,0.43365
henry-v,Henry V,main,2,3,2.3,7,52,117,1689,10,-0.02151,0.0,-0.02102,-0.96216,-0.04453,0.00214,0.44138,0.98633,0.38762
henry-v,Henry V,main,3,,3.Prologue,8,5,18,267,3,0.00767,0.0,0.52647,0.98977,-0.03165,0.00419,0.33812,0.83914,0.27055
henry-v,Henry V,main,3,1,3.1,9,4,18,306,4,-0.04072,0.0,-0.14641,-0.97287,-0.01775,0.04675,0.40759,0.97588,0.40961
henry-v,Henry V,main,3,2,3.2,10,42,94,1190,8,0.02667,0.0,-0.1279,-0.98096,-0.0435,-0.01269,0.42141,0.98281,0.41498
henry-v,Henry V,main,3,3,3.3,11,5,26,491,3,-0.12704,0.0,-0.07691,-0.95829,-0.1299,-0.01287,0.5304,1.00005,0.41384
henry-v,Henry V,main,3,4,3.4,12,37,59,490,2,0.1538,0.0,-0.4547,-0.98417,0.04612,0.0015,0.30289,0.87128,0.28181
henry-v,Henry V,main,3,5,3.5,13,14,30,575,2,-0.01607,0.0,-0.1419,-0.96635,-0.04359,0.00081,0.53274,0.97887,0.3857
henry-v,Henry V,main,3,6,3.6,14,48,106,1433,9,0.04106,0.0,0.18828,0.98005,0.05559,0.01789,0.47984,0.97282,0.4092
henry-v,Henry V,main,3,7,3.7,15,56,135,1531,4,0.08168,0.0,-0.06776,-0.95876,-0.05484,-0.03209,0.3906,0.98622,0.42843
henry-v,Henry V,main,4,,4.Prologue,16,3,15,416,2,-0.21399,-0.25,0.05783,0.88476,-0.13633,-0.01138,0.49176,1.01407,0.42076
henry-v,Henry V,main,4,1,4.1,17,96,197,2536,13,0.01697,0.0,-0.01265,-0.68027,-0.03974,-0.00431,0.43451,0.97937,0.37575
henry-v,Henry V,main,4,2,4.2,18,19,58,681,5,-0.11542,0.0,-0.00887,-0.0782,0.01849,-0.00681,0.36187,0.98657,0.41403
henry-v,Henry V,main,4,3,4.3,19,32,83,1147,9,0.09839,0.0,0.19054,0.97102,-0.03368,-0.00163,0.40312,0.96632,0.40306
henry-v,Henry V,main,4,4,4.4,20,35,57,568,5,0.12062,0.0,-0.213,-0.97718,0.07921,0.04391,0.36257,0.95938,0.36547
henry-v,Henry V,main,4,5,4.5,21,9,31,266,2,-0.29185,-0.4215,-0.3664,-0.98982,-0.06921,-0.13698,0.36245,0.92193,0.52054
henry-v,Henry V,main,4,6,4.6,22,9,23,320,4,0.08659,0.0,-0.03509,-0.91475,-0.00892,0.02219,0.47012,1.00585,0.34393
henry-v,Henry V,main,4,7,4.7,23,60,112,1498,8,0.04244,0.0,0.05741,0.91154,0.06632,0.01736,0.42898,0.97662,0.37166
henry-v,Henry V,main,4,8,4.8,24,45,89,1077,6,0.00178,0.0,0.07116,0.96079,0.00789,0.01307,0.41328,0.988,0.39616
henry-v,Henry V,main,5,,5.Prologue,25,3,19,350,2,0.2136,0.0,0.26009,0.98303,-0.06199,0.01617,0.32142,0.98177,0.28753
henry-v,Henry V,main,5,1,5.1,26,32,69,737,5,-0.05396,0.0,-0.30565,-0.98866,-0.00491,0.01202,0.39995,0.94475,0.35221
henry-v,Henry V,main,5,2,5.2,27,91,200,3250,10,0.29064,0.3612,0.13031,0.97555,0.03056,0.01422,0.42694,0.97289,0.42719
