play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score,dl2_score
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,1,stage_direction,,,"Dead March. Enter the Funeral of KING HENRY the Fifth, attended on by Dukes of BEDFORD, Regent of France; GLOUCESTER, Protector; and EXETER, Earl of WARWICK, the BISHOP OF WINCHESTER, Heralds, & c",-0.7579,0.98845,0.01486
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,2,speech,BEDFORD,BEDFORD,"Hung be the heavens with black, yield day to night!
Comets, importing change of times and states,
Brandish your crystal tresses in the sky,
And with them scourge the bad revolting stars
That have consented unto Henry's death!
King Henry the Fifth, too famous to live long!
England ne'er lost a king of so much worth.",-0.7288,0.98925,0.6884
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,3,speech,GLOUCESTER,GLOUCESTER,"England ne'er had a king until his time.
Virtue he had, deserving to command:
His brandish'd sword did blind men with his beams:
His arms spread wider than a dragon's wings;
His sparking eyes, replete with wrathful fire,
More dazzled and drove back his enemies
Than mid-day sun fierce bent against their faces.
What should I say? his deeds exceed all speech:
He ne'er lift up his hand but conquered.",0.1372,0.99533,0.61256
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,4,speech,EXETER,EXETER,"We mourn in black: why mourn we not in blood?
Henry is dead and never shall revive:
Upon a wooden coffin we attend,
And death's dishonourable victory
We with our stately presence glorify,
Like captives bound to a triumphant car.
What! shall we curse the planets of mishap
That plotted thus our glory's overthrow?
Or shall we think the subtle-witted French
Conjurers and sorcerers, that afraid of him
By magic verses have contrived his end?",-0.8808,-0.98782,-0.85519
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,5,speech,WINCHESTER,WINCHESTER,"He was a king bless'd of the King of kings.
Unto the French the dreadful judgement-day
So dreadful will not be as was his sight.
The battles of the Lord of hosts he fought:
The church's prayers made him so prosperous.",-0.0557,0.99369,-0.39998
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,6,speech,GLOUCESTER,GLOUCESTER,"The church! where is it? Had not churchmen pray'd,
His thread of life had not so soon decay'd:
None do you like but an effeminate prince,
Whom, like a school-boy, you may over-awe.",-0.7142,-0.99544,-0.80827
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,7,speech,WINCHESTER,WINCHESTER,"Gloucester, whate'er we like, thou art protector
And lookest to command the prince and realm.
Thy wife is proud; she holdeth thee in awe,
More than God or religious churchmen may.",0.7893,0.99565,0.48619
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,8,speech,GLOUCESTER,GLOUCESTER,"Name not religion, for thou lovest the flesh,
And ne'er throughout the year to church thou go'st
Except it be to pray against thy foes.",0.5106,-0.9961,-0.54726
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,9,speech,BEDFORD,BEDFORD,"Cease, cease these jars and rest your minds in peace:
Let's to the altar: heralds, wait on us:
Instead of gold, we'll offer up our arms:
Since arms avail not now that Henry's dead.
Posterity, await for wretched years,
When at their mothers' moist eyes babes shall suck,
Our isle be made a nourish of salt tears,
And none but women left to wail the dead.
Henry the Fifth, thy ghost I invocate:
Prosper this realm, keep it from civil broils,
Combat with adverse planets in the heavens!
A far more glorious star thy soul will make
Than Julius Caesar or bright—",-0.9829,0.98179,-0.18179
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,10,stage_direction,,,Enter a Messenger,0.0,-0.94668,0.00822
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,11,speech,MESSENGER,MESSENGER,"My honourable lords, health to you all!
Sad tidings bring I to you out of France,
Of loss, of slaughter and discomfiture:
Guienne, Champagne, Rheims, Orleans,
Paris, Guysors, Poictiers, are all quite lost.",-0.75,-0.98804,-0.04715
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,12,speech,BEDFORD,BEDFORD,"What say'st thou, man, before dead Henry's corse?
Speak softly, or the loss of those great towns
Will make him burst his lead and rise from death.",-0.7998,-0.99805,-0.38423
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,13,speech,GLOUCESTER,GLOUCESTER,"Is Paris lost? is Rouen yielded up?
If Henry were recall'd to life again,
These news would cause him once more yield the ghost.",-0.7622,-0.98912,-0.14761
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,14,speech,EXETER,EXETER,How were they lost? What treachery was used?,-0.6767,-0.99614,-0.03094
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,15,speech,MESSENGER,MESSENGER,"No treachery; but want of men and money.
Amongst the soldiers this is muttered,
That here you maintain several factions,
And whilst a field should be dispatch'd and fought,
You are disputing of your generals:
One would have lingering wars with little cost;
Another would fly swift, but wanteth wings;
A third thinks, without expense at all,
By guileful fair words peace may be obtain'd.
Awake, awake, English nobility!
Let not sloth dim your horrors new-begot:
Cropp'd are the flower-de-luces in your arms;
Of England's coat one half is cut away.",-0.9392,-0.97998,-0.60311
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,16,speech,EXETER,EXETER,"Were our tears wanting to this funeral,
These tidings would call forth their flowing tides.",-0.1333,0.99275,-0.45368
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,17,speech,BEDFORD,BEDFORD,"Me they concern; Regent I am of France.
Give me my steeled coat. I'll fight for France.
Away with these disgraceful wailing robes!
Wounds will I lend the French instead of eyes,
To weep their intermissive miseries.",-0.8448,0.98702,-0.68074
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,18,stage_direction,,,Enter to them another Messenger,0.0,0.9605,0.00545
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,19,speech,MESSENGER,MESSENGER,"Lords, view these letters full of bad mischance.
France is revolted from the English quite,
Except some petty towns of no import:
The Dauphin Charles is crowned king of Rheims;
The Bastard of Orleans with him is join'd;
Reignier, Duke of Anjou, doth take his part;
The Duke of Alencon flieth to his side.",-0.8276,0.98791,-0.33181
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,20,speech,EXETER,EXETER,"The Dauphin crowned king! All fly to him!
O, whither shall we fly from this reproach?",-0.5437,-0.99307,0.828
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,21,speech,GLOUCESTER,GLOUCESTER,"We will not fly, but to our enemies' throats.
Bedford, if thou be slack, I'll fight it out.",-0.8074,-0.98013,-0.39624
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,22,speech,BEDFORD,BEDFORD,"Gloucester, why doubt'st thou of my forwardness?
An army have I muster'd in my thoughts,
Wherewith already France is overrun.",-0.3818,-0.94309,0.08409
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,23,stage_direction,,,Enter another Messenger,0.0,0.9605,0.00545
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,24,speech,MESSENGER,MESSENGER,"My gracious lords, to add to your laments,
Wherewith you now bedew King Henry's hearse,
I must inform you of a dismal fight
Betwixt the stout Lord Talbot and the French.",-0.9099,-0.99302,-0.78095
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,25,speech,WINCHESTER,WINCHESTER,What! Wherein Talbot overcame? Is't so?,-0.7041,-0.99868,-0.23439
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,26,speech,MESSENGER,MESSENGER,"O, no; wherein Lord Talbot was o'erthrown:
The circumstance I'll tell you more at large.
The tenth of August last this dreadful lord,
Retiring from the siege of Orleans,
Having full scarce six thousand in his troop.
By three and twenty thousand of the French
Was round encompassed and set upon.
No leisure had he to enrank his men;
He wanted pikes to set before his archers;
Instead whereof sharp stakes pluck'd out of hedges
They pitched in the ground confusedly,
To keep the horsemen off from breaking in.
More than three hours the fight continued;
Where valiant Talbot above human thought
Enacted wonders with his sword and lance:
Hundreds he sent to hell, and none durst stand him;
Here, there, and every where, enraged he flew:
The French exclaim'd, the devil was in arms;
All the whole army stood agazed on him:
His soldiers spying his undaunted spirit
A Talbot! A Talbot! Cried out amain
And rush'd into the bowels of the battle.
Here had the conquest fully been seal'd up,
If Sir John Fastolfe had not play'd the coward:
He, being in the vaward, placed behind
With purpose to relieve and follow them,
Cowardly fled, not having struck one stroke.
Hence grew the general wreck and massacre;
Enclosed were they with their enemies:
A base Walloon, to win the Dauphin's grace,
Thrust Talbot with a spear into the back,
Whom all France with their chief assembled strength
Durst not presume to look once in the face.",-0.9889,-0.98105,-0.57318
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,27,speech,BEDFORD,BEDFORD,"Is Talbot slain? Then I will slay myself,
For living idly here in pomp and ease,
Whilst such a worthy leader, wanting aid,
Unto his dastard foemen is betray'd.",-0.9628,-0.98431,-0.79517
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,28,speech,MESSENGER,MESSENGER,"O no, he lives; but is took prisoner,
And Lord Scales with him and Lord Hungerford:
Most of the rest slaughter'd or took likewise.",-0.9568,-0.98801,-0.12226
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,29,speech,BEDFORD,BEDFORD,"His ransom there is none but I shall pay:
I'll hale the Dauphin headlong from his throne:
His crown shall be the ransom of my friend;
Four of their lords I'll change for one of ours.
Farewell, my masters; to my task will I;
Bonfires in France forthwith I am to make,
To keep our great Saint George's feast withal:
Ten thousand soldiers with me I will take,
Whose bloody deeds shall make all Europe quake.",-0.3459,0.96162,0.27265
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,30,speech,MESSENGER,MESSENGER,"So you had need; for Orleans is besieged;
The English army is grown weak and faint:
The Earl of Salisbury craveth supply,
And hardly keeps his men from mutiny,
Since they, so few, watch such a multitude.",0.2235,-0.98552,-0.30553
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,31,speech,EXETER,EXETER,"Remember, lords, your oaths to Henry sworn,
Either to quell the Dauphin utterly,
Or bring him in obedience to your yoke.",-0.1531,-0.99227,-0.76099
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,32,speech,BEDFORD,BEDFORD,"I do remember it; and here take my leave,
To go about my preparation.",0.0,0.99576,-0.0603
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,33,stage_direction,,,Exit,0.0,-0.99515,-0.0087
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,34,speech,GLOUCESTER,GLOUCESTER,"I'll to the Tower with all the haste I can,
To view the artillery and munition;
And then I will proclaim young Henry king.",-0.4404,0.98874,0.04393
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,35,stage_direction,,,Exit,0.0,-0.99532,0.0091
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,36,speech,EXETER,EXETER,"To Eltham will I, where the young king is,
Being ordain'd his special governor,
And for his safety there I'll best devise.",0.4215,0.98742,0.42588
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,37,stage_direction,,,Exit,0.0,-0.97283,0.00301
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,38,speech,WINCHESTER,WINCHESTER,"Each hath his place and function to attend:
I am left out; for me nothing remains.
But long I will not be Jack out of office:
The king from Eltham I intend to steal
And sit at chiefest stern of public weal.",-0.8055,0.25919,-0.01154
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1,39,stage_direction,,,Exeunt,0.0,-0.99071,0.00491
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,40,stage_direction,,,"Sound a flourish. Enter CHARLES, ALENCON, and REIGNIER, marching with drum and Soldiers",0.0,0.99374,0.03477
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,41,speech,CHARLES,CHARLES,"Mars his true moving, even as in the heavens
So in the earth, to this day is not known:
Late did he shine upon the English side;
Now we are victors; upon us he smiles.
What towns of any moment but we have?
At pleasure here we lie near Orleans;
Otherwhiles the famish'd English, like pale ghosts,
Faintly besiege us one hour in a month.",0.93,0.99578,-0.35162
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,42,speech,ALENCON,ALENCON,"They want their porridge and their fat bull-beeves:
Either they must be dieted like mules
And have their provender tied to their mouths
Or piteous they will look, like drowned mice.",-0.6486,-0.99791,-0.57703
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,43,speech,REIGNIER,REIGNIER,"Let's raise the siege: why live we idly here?
Talbot is taken, whom we wont to fear:
Remaineth none but mad-brain'd Salisbury;
And he may well in fretting spend his gall,
Nor men nor money hath he to make war.",-0.9781,-0.9577,-0.31441
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,44,speech,CHARLES,CHARLES,"Sound, sound alarum! we will rush on them.
Now for the honour of the forlorn French!
Him I forgive my death that killeth me
When he sees me go back one foot or fly.",-0.8475,0.99333,0.66079
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,45,stage_direction,,,Exeunt,0.0,-0.99521,0.02623
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,46,stage_direction,,,"Here alarum; they are beaten back by the English with great loss. Re-enter CHARLES, ALENCON, and REIGNIER",-0.4767,-0.79437,-0.60651
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,47,speech,CHARLES,CHARLES,"Who ever saw the like? What men have I!
Dogs! cowards! dastards! I would ne'er have fled,
But that they left me 'midst my enemies.",0.2462,-0.99874,-0.07858
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,48,speech,REIGNIER,REIGNIER,"Salisbury is a desperate homicide;
He fighteth as one weary of his life.
The other lords, like lions wanting food,
Do rush upon us as their hungry prey.",-0.8519,-0.99827,-0.76518
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,49,speech,ALENCON,ALENCON,"Froissart, a countryman of ours, records,
England all Olivers and Rowlands bred,
During the time Edward the Third did reign.
More truly now may this be verified;
For none but Samsons and Goliases
It sendeth forth to skirmish. One to ten!
Lean, raw-boned rascals! who would e'er suppose
They had such courage and audacity?",0.2695,-0.01923,0.81131
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,50,speech,CHARLES,CHARLES,"Let's leave this town; for they are hare-brain'd
slaves,
And hunger will enforce them to be more eager:
Of old I know them; rather with their teeth
The walls they'll tear down than forsake the siege.",-0.8788,0.98369,0.15055
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,51,speech,REIGNIER,REIGNIER,"I think, by some odd gimmors or device
Their arms are set like clocks, stiff to strike on;
Else ne'er could they hold out so as they do.
By my consent, we'll even let them alone.",0.0772,0.9965,-0.37432
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,52,speech,ALENCON,ALENCON,Be it so.,0.0,0.99759,0.11009
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,53,stage_direction,,,Enter the BASTARD OF ORLEANS,-0.6408,-0.98209,0.01256
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,54,speech,BASTARD OF ORLEANS,BASTARD OF ORLEANS,Where's the Prince Dauphin? I have news for him.,0.0,0.91162,-0.03872
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,55,speech,CHARLES,CHARLES,"Bastard of Orleans, thrice welcome to us.",-0.1243,0.99576,0.54158
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,56,speech,BASTARD OF ORLEANS,BASTARD OF ORLEANS,"Methinks your looks are sad, your cheer appall'd:
Hath the late overthrow wrought this offence?
Be not dismay'd, for succor is at hand:
A holy maid hither with me I bring,
Which by a vision sent to her from heaven
Ordained is to raise this tedious siege
And drive the English forth the bounds of France.
The spirit of deep prophecy she hath,
Exceeding the nine sibyls of old Rome:
What's past and what's to come she can descry.
Speak, shall I call her in? Believe my words,
For they are certain and unfallible.",0.7109,0.98943,0.81078
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,57,speech,CHARLES,CHARLES,"Go, call her in.",0.0,0.99351,0.33389
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,58,stage_direction,,,Exit BASTARD OF ORLEANS,-0.6408,-0.97318,-0.01699
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,59,speech,CHARLES,CHARLES,"But first, to try her skill,
Reignier, stand thou as Dauphin in my place:
Question her proudly; let thy looks be stern:
By this means shall we sound what skill she hath.",0.8126,0.99144,0.48808
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,60,stage_direction,,,"Re-enter the BASTARD OF ORLEANS, with JOAN LA PUCELLE",-0.6408,0.988,0.02772
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,61,speech,REIGNIER,REIGNIER,"Fair maid, is't thou wilt do these wondrous feats?",0.4939,0.9902,0.62905
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,62,speech,JOAN LA PUCELLE,JOAN LA PUCELLE,"Reignier, is't thou that thinkest to beguile me?
Where is the Dauphin? Come, come from behind;
I know thee well, though never seen before.
Be not amazed, there's nothing hid from me:
In private will I talk with thee apart.
Stand back, you lords, and give us leave awhile.",-0.5119,-0.86598,0.72859
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,63,speech,REIGNIER,REIGNIER,She takes upon her bravely at first dash.,0.4767,0.9977,0.39403
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,64,speech,JOAN LA PUCELLE,JOAN LA PUCELLE,"Dauphin, I am by birth a shepherd's daughter,
My wit untrain'd in any kind of art.
Heaven and our Lady gracious hath it pleased
To shine on my contemptible estate:
Lo, whilst I waited on my tender lambs,
And to sun's parching heat display'd my cheeks,
God's mother deigned to appear to me
And in a vision full of majesty
Will'd me to leave my base vocation
And free my country from calamity:
Her aid she promised and assured success:
In complete glory she reveal'd herself;
And, whereas I was black and swart before,
With those clear rays which she infused on me
That beauty am I bless'd with which you see.
Ask me what question thou canst possible,
And I will answer unpremeditated:
My courage try by combat, if thou darest,
And thou shalt find that I exceed my sex.
Resolve on this, thou shalt be fortunate,
If thou receive me for thy warlike mate.",0.9912,0.99292,0.23178
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,65,speech,CHARLES,CHARLES,"Thou hast astonish'd me with thy high terms:
Only this proof I'll of thy valour make,
In single combat thou shalt buckle with me,
And if thou vanquishest, thy words are true;
Otherwise I renounce all confidence.",0.9428,0.98975,0.78288
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,66,speech,JOAN LA PUCELLE,JOAN LA PUCELLE,"I am prepared: here is my keen-edged sword,
Deck'd with five flower-de-luces on each side;
The which at Touraine, in Saint Katharine's
churchyard,
Out of a great deal of old iron I chose forth.",0.3612,0.99686,0.46923
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,67,speech,CHARLES,CHARLES,"Then come, o' God's name; I fear no woman.",0.0,0.99289,0.40813
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,68,speech,JOAN LA PUCELLE,JOAN LA PUCELLE,"And while I live, I'll ne'er fly from a man.",0.3818,0.98938,-0.31801
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,69,stage_direction,,,"Here they fight, and JOAN LA PUCELLE overcomes",0.2732,0.99609,0.36759
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,70,speech,CHARLES,CHARLES,"Stay, stay thy hands! thou art an Amazon
And fightest with the sword of Deborah.",-0.68,-0.9948,0.6782
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,71,speech,JOAN LA PUCELLE,JOAN LA PUCELLE,"Christ's mother helps me, else I were too weak.",-0.6319,0.9284,-0.44131
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,72,speech,CHARLES,CHARLES,"Whoe'er helps thee, 'tis thou that must help me:
Impatiently I burn with thy desire;
My heart and hands thou hast at once subdued.
Excellent Pucelle, if thy name be so,
Let me thy servant and not sovereign be:
'Tis the French Dauphin sueth to thee thus.",0.836,0.99629,0.81801
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,73,speech,JOAN LA PUCELLE,JOAN LA PUCELLE,"I must not yield to any rites of love,
For my profession's sacred from above:
When I have chased all thy foes from hence,
Then will I think upon a recompense.",0.6908,0.99029,-0.45025
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,74,speech,CHARLES,CHARLES,Meantime look gracious on thy prostrate thrall.,0.4019,-0.94,-0.3909
henry-vi-part-1,"Henry VI, Part 1",main,1,2,2,75,speech,REIGNIER,REIGNIER,"My lord, methinks, is very long in talk.",0.0,-0.99889,-0.50969
