play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score
henry-vi-part-2,"Henry VI, Part 2",main,1,1,1,1,stage_direction,,,"Flourish of trumpets: then hautboys. Enter KING HENRY VI, GLOUCESTER, SALISBURY, WARWICK, and CARDINAL, on the one side; QUEEN MARGARET, SUFFOLK, YORK, SOMERSET, and BUCKINGHAM, on the other",0.0,0.0135
henry-vi-part-2,"Henry VI, Part 2",main,1,1,1,2,speech,SUFFOLK,SUFFOLK,"As by your high imperial majesty
I had in charge at my depart for France,
As procurator to your excellence,
To marry Princess Margaret for your grace,
So, in the famous ancient city, Tours,
In presence of the Kings of France and Sicil,
The Dukes of Orleans, Calaber, Bretagne and Alencon,
Seven earls, twelve barons and twenty reverend bishops,
I have perform'd my task and was espoused:
And humbly now upon my bended knee,
In sight of England and her lordly peers,
Deliver up my title in the queen
To your most gracious hands, that are the substance
Of that great shadow I did represent;
The happiest gift that ever marquess gave,
The fairest queen that ever king received.",0.9422,0.72277
henry-vi-part-2,"Henry VI, Part 2",main,1,1,1,3,speech,KING HENRY VI,KING HENRY VI,"Suffolk, arise. Welcome, Queen Margaret:
I can express no kinder sign of love
Than this kind kiss. O Lord, that lends me life,
Lend me a heart replete with thankfulness!
For thou hast given me in this beauteous face
A world of earthly blessings to my soul,
If sympathy of love unite our thoughts.",0.9909,0.876
henry-vi-part-2,"Henry VI, Part 2",main,1,1,1,4,speech,QUEEN MARGARET,QUEEN MARGARET,"Great King of England and my gracious lord,
The mutual conference that my mind hath had,
By day, by night, waking and in my dreams,
In courtly company or at my beads,
With you, mine alder-liefest sovereign,
Makes me the bolder to salute my king
With ruder terms, such as my wit affords
And over-joy of heart doth minister.",0.9753,0.77549
henry-vi-part-2,"Henry VI, Part 2",main,1,1,1,5,speech,KING HENRY VI,KING HENRY VI,"Her sight did ravish; but her grace in speech,
Her words y-clad with wisdom's majesty,
Makes me from wondering fall to weeping joys;
Such is the fulness of my heart's content.
Lords, with one cheerful voice welcome my love.",0.9913,0.7517
henry-vi-part-2,"Henry VI, Part 2",main,1,1,1,6,speech,ALL,ALL,"[Kneeling] Long live Queen Margaret, England's
happiness!",0.5983,0.72667
henry-vi-part-2,"Henry VI, Part 2",main,1,1,1,7,speech,QUEEN MARGARET,QUEEN MARGARET,We thank you all.,0.3612,0.50055
henry-vi-part-2,"Henry VI, Part 2",main,1,1,1,8,stage_direction,,,Flourish,0.0,0.01778
henry-vi-part-2,"Henry VI, Part 2",main,1,1,1,9,speech,SUFFOLK,SUFFOLK,"My lord protector, so it please your grace,
Here are the articles of contracted peace
Between our sovereign and the French king Charles,
For eighteen months concluded by consent.",0.7906,0.1087
henry-vi-part-2,"Henry VI, Part 2",main,1,1,1,10,speech,GLOUCESTER,GLOUCESTER,"[Reads] 'Imprimis, it is agreed between the French
king Charles, and William de la Pole, Marquess of
Suffolk, ambassador for Henry King of England, that
the said Henry shall espouse the Lady Margaret,
daughter unto Reignier King of Naples, Sicilia and
Jerusalem, and crown her Queen of England ere the
thirtieth of May next ensuing. Item, that the duchy
of Anjou and the county of Maine shall be released
and delivered to the king her father'—",0.2732,0.00997
henry-vi-part-2,"Henry VI, Part 2",main,1,1,1,11,speech,KING HENRY VI,KING HENRY VI,"Uncle, how now!",0.0,-0.04416
henry-vi-part-2,"Henry VI, Part 2",main,1,1,1,12,speech,GLOUCESTER,GLOUCESTER,"Pardon me, gracious lord;
Some sudden qualm hath struck me at the heart
And dimm'd mine eyes, that I can read no further.",0.2263,-0.50069
henry-vi-part-2,"Henry VI, Part 2",main,1,1,1,13,speech,KING HENRY VI,KING HENRY VI,"Uncle of Winchester, I pray, read on.",0.3182,-0.01984
henry-vi-part-2,"Henry VI, Part 2",main,1,1,1,14,speech,CARDINAL,CARDINAL,"[Reads] 'Item, It is further agreed between them,
that the duchies of Anjou and Maine shall be
released and delivered over to the king her father,
and she sent over of the King of England's own
proper cost and charges, without having any dowry.'",-0.0258,-0.04273
henry-vi-part-2,"Henry VI, Part 2",main,1,1,1,15,speech,KING HENRY VI,KING HENRY VI,"They please us well. Lord marquess, kneel down:
We here create thee the first duke of Suffolk,
And gird thee with the sword. Cousin of York,
We here discharge your grace from being regent
I' the parts of France, till term of eighteen months
Be full expired. Thanks, uncle Winchester,
Gloucester, York, Buckingham, Somerset,
Salisbury, and Warwick;
We thank you all for the great favour done,
In entertainment to my princely queen.
Come, let us in, and with all speed provide
To see her coronation be perform'd.",0.891,0.42024
henry-vi-part-2,"Henry VI, Part 2",main,1,1,1,16,stage_direction,,,"Exeunt KING HENRY VI, QUEEN MARGARET, and SUFFOLK",0.0,0.08647
