play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
henry-viii,Henry VIII,main,1,,1.Prologue,1,1,14,274,0,0.29285,0.59715,0.00208,0.00187,-0.23248,-0.37407,0.57619,1.02627,0.38077
henry-viii,Henry VIII,main,1,1,1.1,2,57,160,1981,0,0.10039,0.0,-0.17016,-0.97651,-0.05577,-0.01067,0.40069,0.97499,0.3802
henry-viii,Henry VIII,main,1,2,1.2,3,44,145,1875,0,0.01366,0.0,-0.14267,-0.98027,-0.08229,-0.05506,0.40096,0.97693,0.38901
henry-viii,Henry VIII,main,1,3,1.3,4,25,56,619,0,0.13821,0.0,0.157,0.97696,0.00271,-0.0005,0.4267,0.97675,0.3522
henry-viii,Henry VIII,main,1,4,1.4,5,52,127,1127,0,0.26698,0.3182,0.47394,0.99038,0.12711,0.11383,0.35854,0.87057,0.34801
henry-viii,Henry VIII,main,2,1,2.1,6,43,127,1476,0,0.02033,0.0,-0.08697,-0.94623,-0.09192,-0.11005,0.48182,0.96739,0.42482
henry-viii,Henry VIII,main,2,2,2.2,7,50,127,1300,0,0.16061,0.0,0.03014,0.857,0.01704,0.01684,0.41271,0.9846,0.43688
henry-viii,Henry VIII,main,2,3,2.3,8,31,85,963,0,0.11806,0.0,-0.02139,-0.64629,-0.03468,-0.07019,0.44518,0.98489,0.46025
henry-viii,Henry VIII,main,2,4,2.4,9,33,157,2113,0,0.05809,0.0,0.03527,0.96188,-0.03066,-0.00182,0.39499,0.9877,0.38589
henry-viii,Henry VIII,main,3,1,3.1,10,37,135,1821,0,0.10892,0.0772,-0.21959,-0.98591,-0.10275,-0.14341,0.49777,0.95979,0.44968
henry-viii,Henry VIII,main,3,2,3.2,11,115,329,3909,0,0.07494,0.0,-0.03002,-0.90623,-0.00547,-0.01137,0.43506,0.98574,0.44298
henry-viii,Henry VIII,main,4,1,4.1,12,47,128,1212,0,0.10609,0.0,0.40216,0.98412,0.04645,0.01559,0.27961,0.90384,0.31392
henry-viii,Henry VIII,main,4,2,4.2,13,41,142,1806,0,0.15551,0.0,0.04619,0.94543,-0.01434,0.00829,0.41364,0.983,0.40452
henry-viii,Henry VIII,main,5,1,5.1,14,53,150,1424,0,0.09872,0.0,-0.04672,-0.95309,0.01233,0.01382,0.4072,0.98623,0.40373
henry-viii,Henry VIII,main,5,2,5.2,15,14,36,298,0,0.03324,0.0,-0.55712,-0.98713,-0.04123,-0.01673,0.32249,0.82149,0.34226
henry-viii,Henry VIII,main,5,3,5.3,16,53,136,1592,0,0.07746,0.0,0.00083,0.19041,-0.02044,-0.00591,0.4764,0.99062,0.42042
henry-viii,Henry VIII,main,5,4,5.4,17,20,80,794,0,-0.01184,0.0,-0.32531,-0.99226,-0.08711,-0.05215,0.31592,0.93735,0.35261
henry-viii,Henry VIII,main,5,5,5.5,18,12,47,658,0,0.44319,0.5719,0.82924,0.99508,0.40882,0.49821,0.42272,0.54269,0.36643
henry-viii,Henry VIII,main,5,,5.Prologue,19,1,8,121,0,0.12654,0.3732,-0.4985,-0.99622,-0.35039,-0.38305,0.63531,0.92194,0.24944
