play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
henry-viii,Henry VIII,main,1,,1.Prologue,1,1,14,274,0,0.29285,0.59715,0.00208,0.00187,-0.23248,-0.37407,0.57619,1.02627,0.38077
henry-viii,Henry VIII,main,1,1,1.1,2,62,166,2045,6,0.09676,0.0,-0.1875,-0.97651,-0.05382,-0.00983,0.39379,0.97128,0.37361
henry-viii,Henry VIII,main,1,2,1.2,3,47,152,1910,7,0.01303,0.0,-0.12963,-0.97684,-0.07578,-0.04708,0.39156,0.97842,0.38261
henry-viii,Henry VIII,main,1,3,1.3,4,28,59,628,3,0.13118,0.0,0.16573,0.97906,0.00532,0.00386,0.41664,0.9752,0.34499
henry-viii,Henry VIII,main,1,4,1.4,5,61,141,1215,14,0.24609,0.2023,0.46849,0.9898,0.11588,0.08439,0.34774,0.87282,0.33962
henry-viii,Henry VIII,main,2,1,2.1,6,47,134,1533,7,0.01469,0.0,-0.10463,-0.95942,-0.08706,-0.09207,0.47216,0.96676,0.41432
henry-viii,Henry VIII,main,2,2,2.2,7,58,137,1357,10,0.15182,0.0,0.0276,0.857,0.01695,0.01994,0.39983,0.98489,0.42085
henry-viii,Henry VIII,main,2,3,2.3,8,35,89,975,4,0.11276,0.0,-0.02127,-0.64629,-0.03413,-0.03789,0.43564,0.98438,0.4499
henry-viii,Henry VIII,main,2,4,2.4,9,37,161,2162,4,0.05632,0.0,0.02755,0.939,-0.03167,-0.00244,0.3902,0.98364,0.38161
henry-viii,Henry VIII,main,3,1,3.1,10,42,140,1845,5,0.10503,0.0129,-0.22339,-0.98528,-0.09752,-0.11319,0.48915,0.9558,0.44293
henry-viii,Henry VIII,main,3,2,3.2,11,125,340,3987,11,0.07432,0.0,-0.02613,-0.89688,-0.00281,-0.00656,0.4298,0.986,0.43775
henry-viii,Henry VIII,main,4,1,4.1,12,53,136,1244,8,0.10168,0.0,0.39327,0.98412,0.04462,0.0148,0.27252,0.9072,0.30652
henry-viii,Henry VIII,main,4,2,4.2,13,46,149,1842,7,0.14884,0.0,0.05334,0.95029,-0.00967,0.01161,0.40966,0.98061,0.39658
henry-viii,Henry VIII,main,5,1,5.1,14,65,163,1487,13,0.09085,0.0,-0.06098,-0.95415,0.01154,0.0055,0.39144,0.98523,0.38762
henry-viii,Henry VIII,main,5,2,5.2,15,20,42,322,6,0.0285,0.0,-0.5203,-0.98519,-0.03715,-0.00196,0.29819,0.83955,0.31711
henry-viii,Henry VIII,main,5,3,5.3,16,58,145,1667,9,0.06687,0.0,-0.01887,-0.83676,-0.02296,0.00374,0.46437,0.98941,0.40805
henry-viii,Henry VIII,main,5,4,5.4,17,24,85,811,5,-0.01114,0.0,-0.2947,-0.98987,-0.0846,-0.04035,0.30639,0.94713,0.34459
henry-viii,Henry VIII,main,5,5,5.5,18,16,57,755,10,0.38443,0.4574,0.78727,0.99436,0.34477,0.44636,0.41437,0.60068,0.362
henry-viii,Henry VIII,main,5,,5.Prologue,19,1,8,121,0,0.12654,0.3732,-0.4985,-0.99622,-0.35039,-0.38305,0.63531,0.92194,0.24944
