play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score,dl2_score
julius-caesar,Julius Caesar,main,1,1,1,1,stage_direction,,,"FLAVIUS and MURELLUS enter on one side of the stage, as do a CARPENTER, a COBBLER, and some other commoners from the other end of the stage.",0.0,-0.93013,0.00462
julius-caesar,Julius Caesar,main,1,1,1,2,speech,FLAVIUS,FLAVIUS,"Hence! Home, you idle creatures get you home!
Is this a holiday? What, know you not,
Being mechanical, you ought not walk
Upon a laboring day without the sign
Of your profession? —Speak, what trade art thou?",0.3235,-0.9985,0.02788
julius-caesar,Julius Caesar,main,1,1,1,3,speech,CARPENTER,CARPENTER,"Why, sir, a carpenter.",0.0,0.90258,0.03981
julius-caesar,Julius Caesar,main,1,1,1,4,speech,MURELLUS,MURELLUS,"Where is thy leather apron and thy rule?
What dost thou with thy best apparel on?
—You, sir, what trade are you?",0.0,-0.99749,-0.01113
julius-caesar,Julius Caesar,main,1,1,1,5,speech,COBBLER,COBBLER,"Truly, sir, in respect of a fine workman, I am but, as
you would say, a cobbler.",0.2732,-0.99679,-0.21607
julius-caesar,Julius Caesar,main,1,1,1,6,speech,MURELLUS,MURELLUS,But what trade art thou? Answer me directly.,0.0,0.99728,0.1108
julius-caesar,Julius Caesar,main,1,1,1,7,speech,COBBLER,COBBLER,"A trade, sir, that I hope I may use with a safe
conscience, which is, indeed, sir, a mender of bad
soles.",0.5106,0.99529,-0.02067
julius-caesar,Julius Caesar,main,1,1,1,8,speech,MURELLUS,MURELLUS,"What trade, thou knave? Thou naughty knave, what trade?",-0.7319,-0.99877,-0.56017
julius-caesar,Julius Caesar,main,1,1,1,9,speech,COBBLER,COBBLER,"Nay, I beseech you, sir, be not out with me. Yet, if
you be out, sir, I can mend you.",-0.6705,0.9888,0.26184
julius-caesar,Julius Caesar,main,1,1,1,10,speech,MURELLUS,MURELLUS,"What mean’st thou by that? “Mend” me, thou saucy
fellow?",-0.5204,-0.99887,-0.36216
julius-caesar,Julius Caesar,main,1,1,1,11,speech,COBBLER,COBBLER,"Why, sir, cobble you.",0.2732,-0.99837,0.46624
julius-caesar,Julius Caesar,main,1,1,1,12,speech,FLAVIUS,FLAVIUS,"Thou art a cobbler, art thou?",0.0,-0.98995,-0.14981
julius-caesar,Julius Caesar,main,1,1,1,13,speech,COBBLER,COBBLER,"Truly, sir, all that I live by is with the awl. I
meddle with no tradesman’s matters nor women’s matters,
but withal I am indeed, sir, a surgeon to old shoes.
When they are in great danger, I recover them. As proper
men as ever trod upon neat’s leather have gone upon my
handiwork.",0.3597,0.99268,-0.52549
julius-caesar,Julius Caesar,main,1,1,1,14,speech,FLAVIUS,FLAVIUS,"But wherefore art not in thy shop today?
Why dost thou lead these men about the streets?",0.0,-0.99893,-0.03178
julius-caesar,Julius Caesar,main,1,1,1,15,speech,COBBLER,COBBLER,"Truly, sir, to wear out their shoes to get myself into
more work. But indeed, sir, we make holiday to see
Caesar and to rejoice in his triumph.",0.8945,0.99481,-0.56264
julius-caesar,Julius Caesar,main,1,1,1,16,speech,MURELLUS,MURELLUS,"Wherefore rejoice? What conquest brings he home?
What tributaries follow him to Rome
To grace in captive bonds his chariot wheels?
You blocks, you stones, you worse than senseless
things,
O you hard hearts, you cruèl men of Rome,
Knew you not Pompey? Many a time and oft
Have you climbed up to walls and battlements,
To towers and windows, yea, to chimney tops,
Your infants in your arms, and there have sat
The livelong day with patient expectation
To see great Pompey pass the streets of Rome.
And when you saw his chariot but appear,
Have you not made an universal shout
That Tiber trembled underneath her banks
To hear the replication of your sounds
Made in her concave shores?
And do you now put on your best attire?
And do you now cull out a holiday?
And do you now strew flowers in his way
That comes in triumph over Pompey’s blood?
Be gone!
Run to your houses, fall upon your knees,
Pray to the gods to intermit the plague
That needs must light on this ingratitude.",0.8817,-0.99751,-0.85597
julius-caesar,Julius Caesar,main,1,1,1,17,speech,FLAVIUS,FLAVIUS,"Go, go, good countrymen, and for this fault,
Assemble all the poor men of your sort,
Draw them to Tiber banks, and weep your tears
Into the channel till the lowest stream
Do kiss the most exalted shores of all.",-0.6731,-0.80582,0.0268
julius-caesar,Julius Caesar,main,1,1,1,18,stage_direction,,,"The CARPENTER, COBBLER, and all of the commoners exit.",0.0,-0.98296,0.0432
julius-caesar,Julius Caesar,main,1,1,1,19,speech,FLAVIUS,FLAVIUS,"See whether their basest metal be not moved.
They vanish tongue-tied in their guiltiness.
Go you down that way towards the Capitol.
This way will I. Disrobe the images
If you do find them decked with ceremonies.",-0.1069,-0.98787,-0.66624
julius-caesar,Julius Caesar,main,1,1,1,20,speech,MURELLUS,MURELLUS,"May we do so?
You know it is the feast of Lupercal.",0.0,0.99714,0.00253
julius-caesar,Julius Caesar,main,1,1,1,21,speech,FLAVIUS,FLAVIUS,"It is no matter. Let no images
Be hung with Caesar’s trophies. I’ll about
And drive away the vulgar from the streets.
So do you too, where you perceive them thick.
These growing feathers plucked from Caesar’s wing
Will make him fly an ordinary pitch,
Who else would soar above the view of men
And keep us all in servile fearfulness.",0.7003,-0.98635,-0.3095
julius-caesar,Julius Caesar,main,1,1,1,22,stage_direction,,,They exit in different directions.,0.0,-0.99538,0.00199
julius-caesar,Julius Caesar,main,1,2,2,23,stage_direction,,,"A trumpet sounds. CAESAR enters, along with ANTONY who is dressed for a traditional foot race, as well as CALPHURNIA, PORTIA, DECIUS, CICERO, BRUTUS, CASSIUS, and CASCA, followed by great crowd of commoners, including a SOOTHSAYER. MURELLUS and FLAVIUS follow after.",0.6249,0.99324,0.03552
julius-caesar,Julius Caesar,main,1,2,2,24,speech,CAESAR,CAESAR,Calphurnia!,0.0,0.99305,0.69827
julius-caesar,Julius Caesar,main,1,2,2,25,stage_direction,,,"Peace, ho! Caesar speaks.",0.0,-0.80075,0.12311
julius-caesar,Julius Caesar,main,1,2,2,26,speech,CAESAR,CAESAR,Calphurnia!,0.0,0.99305,0.69827
julius-caesar,Julius Caesar,main,1,2,2,27,speech,CALPHURNIA,CALPHURNIA,"Here, my lord.",0.0,0.98992,0.75147
julius-caesar,Julius Caesar,main,1,2,2,28,speech,CAESAR,CAESAR,"Stand you directly in Antonius' way
When he doth run his course. —Antonius!",0.0,0.99588,0.30659
julius-caesar,Julius Caesar,main,1,2,2,29,speech,ANTONY,ANTONY,"Caesar, my lord.",0.4019,0.97706,-0.00838
