play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
julius-caesar,Julius Caesar,main,1,1,1.1,1,19,55,641,0,0.02305,0.0,-0.24534,-0.98139,-0.03354,-0.03227,0.38809,0.94303,0.34976
julius-caesar,Julius Caesar,main,1,2,1.2,2,87,224,2716,0,0.06775,0.0,-0.13367,-0.97453,-0.09053,-0.06211,0.37893,0.97672,0.36699
julius-caesar,Julius Caesar,main,1,3,1.3,3,38,111,1416,0,-0.04494,0.0,0.05731,0.86942,-0.09242,-0.02506,0.39193,0.98318,0.37544
julius-caesar,Julius Caesar,main,2,1,2.1,4,88,257,3071,0,0.03971,0.0,-0.02905,-0.81811,-0.06496,-0.05592,0.38073,0.98015,0.37862
julius-caesar,Julius Caesar,main,2,2,2.2,5,37,97,1132,0,0.03867,0.0,-0.04455,-0.93334,-0.03293,-0.02631,0.43712,0.98643,0.35324
julius-caesar,Julius Caesar,main,2,3,2.3,6,1,16,136,0,0.11514,0.0,-0.25314,-0.98031,-0.09127,-0.01904,0.35113,0.98156,0.38124
julius-caesar,Julius Caesar,main,2,4,2.4,7,19,43,423,0,0.12522,0.0,-0.18639,-0.96708,0.00661,-0.01066,0.33458,0.96251,0.36018
julius-caesar,Julius Caesar,main,3,1,3.1,8,91,222,2703,0,0.01593,0.0,0.10186,0.9556,-0.02527,-0.0046,0.43219,0.97211,0.37949
julius-caesar,Julius Caesar,main,3,2,3.2,9,93,263,2379,0,0.01674,0.0,0.03311,0.89496,0.03829,0.03243,0.38889,0.98391,0.39907
julius-caesar,Julius Caesar,main,3,3,3.3,10,25,42,267,0,0.03545,0.0,0.30403,0.96627,0.02912,-0.00163,0.28831,0.92609,0.3656
julius-caesar,Julius Caesar,main,4,1,4.1,11,14,35,473,0,-0.03493,0.0,-0.01404,-0.54079,-0.08258,-0.00277,0.37559,0.98743,0.32956
julius-caesar,Julius Caesar,main,4,2,4.2,12,23,45,423,0,0.07214,0.0,-0.10815,-0.9787,0.00767,0.00118,0.345,0.98922,0.32979
julius-caesar,Julius Caesar,main,4,3,4.3,13,156,312,2732,0,-0.01067,0.0,-0.20412,-0.98025,-0.06903,-0.05291,0.38727,0.96144,0.39815
julius-caesar,Julius Caesar,main,5,1,5.1,14,43,104,1101,0,-0.01925,0.0,-0.06331,-0.86126,0.01622,-0.00715,0.35773,0.97712,0.34982
julius-caesar,Julius Caesar,main,5,2,5.2,15,2,6,44,0,-0.22932,-0.11315,0.00725,0.02112,0.05775,-0.04041,0.291,1.08364,0.38111
julius-caesar,Julius Caesar,main,5,3,5.3,16,37,105,1015,0,-0.05984,0.0,-0.18538,-0.97184,0.08418,0.06015,0.35764,0.97011,0.41881
julius-caesar,Julius Caesar,main,5,4,5.4,17,12,39,290,0,-0.02884,0.0,0.23042,0.98367,0.14516,0.1432,0.44322,0.97148,0.37287
julius-caesar,Julius Caesar,main,5,5,5.5,18,39,80,750,0,0.04249,0.0,0.03858,0.84476,0.13459,0.15377,0.40394,0.9781,0.39018
