play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score,dl2_score
king-john,King John,main,1,1,1,1,stage_direction,,,"Enter KING JOHN, QUEEN ELINOR, PEMBROKE, ESSEX, SALISBURY, and others, with CHATILLON",0.0,0.99512,0.10483
king-john,King John,main,1,1,1,2,speech,KING JOHN,KING JOHN,"Now, say, Chatillon, what would France with us?",0.0772,-0.99416,0.01505
king-john,King John,main,1,1,1,3,speech,CHATILLON,CHATILLON,"Thus, after greeting, speaks the King of France
In my behavior to the majesty,
The borrow'd majesty, of England here.",0.3818,0.97176,0.34955
king-john,King John,main,1,1,1,4,speech,QUEEN ELINOR,QUEEN ELINOR,A strange beginning: 'borrow'd majesty!',-0.2714,-0.99529,-0.08743
king-john,King John,main,1,1,1,5,speech,KING JOHN,KING JOHN,"Silence, good mother; hear the embassy.",0.3818,-0.83644,-0.57715
king-john,King John,main,1,1,1,6,speech,CHATILLON,CHATILLON,"Philip of France, in right and true behalf
Of thy deceased brother Geffrey's son,
Arthur Plantagenet, lays most lawful claim
To this fair island and the territories,
To Ireland, Poictiers, Anjou, Touraine, Maine,
Desiring thee to lay aside the sword
Which sways usurpingly these several titles,
And put these same into young Arthur's hand,
Thy nephew and right royal sovereign.",-0.0194,0.98793,0.11795
king-john,King John,main,1,1,1,7,speech,KING JOHN,KING JOHN,What follows if we disallow of this?,-0.296,-0.99801,-0.17968
king-john,King John,main,1,1,1,8,speech,CHATILLON,CHATILLON,"The proud control of fierce and bloody war,
To enforce these rights so forcibly withheld.",-0.875,0.97691,0.15217
king-john,King John,main,1,1,1,9,speech,KING JOHN,KING JOHN,"Here have we war for war and blood for blood,
Controlment for controlment: so answer France.",-0.8316,0.98307,0.08022
king-john,King John,main,1,1,1,10,speech,CHATILLON,CHATILLON,"Then take my king's defiance from my mouth,
The farthest limit of my embassy.",-0.128,-0.99076,0.53399
king-john,King John,main,1,1,1,11,speech,KING JOHN,KING JOHN,"Bear mine to him, and so depart in peace:
Be thou as lightning in the eyes of France;
For ere thou canst report I will be there,
The thunder of my cannon shall be heard:
So hence! Be thou the trumpet of our wrath
And sullen presage of your own decay.
An honourable conduct let him have:
Pembroke, look to 't. Farewell, Chatillon.",-0.3629,0.98932,0.17842
king-john,King John,main,1,1,1,12,stage_direction,,,Exeunt CHATILLON and PEMBROKE,0.0,-0.99333,0.03403
king-john,King John,main,1,1,1,13,speech,QUEEN ELINOR,QUEEN ELINOR,"What now, my son! have I not ever said
How that ambitious Constance would not cease
Till she had kindled France and all the world,
Upon the right and party of her son?
This might have been prevented and made whole
With very easy arguments of love,
Which now the manage of two kingdoms must
With fearful bloody issue arbitrate.",-0.858,-0.99836,-0.72482
king-john,King John,main,1,1,1,14,speech,KING JOHN,KING JOHN,Our strong possession and our right for us.,0.5106,0.9971,0.05332
king-john,King John,main,1,1,1,15,speech,QUEEN ELINOR,QUEEN ELINOR,"Your strong possession much more than your right,
Or else it must go wrong with you and me:
So much my conscience whispers in your ear,
Which none but heaven and you and I shall hear.",0.7003,0.93129,0.5598
king-john,King John,main,1,1,1,16,stage_direction,,,Enter a Sheriff,0.0,-0.90991,0.00938
king-john,King John,main,1,1,1,17,speech,ESSEX,ESSEX,"My liege, here is the strangest controversy
Come from country to be judged by you,
That e'er I heard: shall I produce the men?",0.0,-0.9556,0.54442
king-john,King John,main,1,1,1,18,speech,KING JOHN,KING JOHN,"Let them approach.
Our abbeys and our priories shall pay
This expedition's charge.",-0.1027,0.9955,0.3591
king-john,King John,main,1,1,1,19,stage_direction,,,Enter ROBERT and the BASTARD,-0.6408,-0.97241,0.06294
king-john,King John,main,1,1,1,20,speech,KING JOHN,KING JOHN,What men are you?,0.0,-0.99295,-0.02491
