play_id,play_title,section,act,scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
king-john,King John,main,1,1,1,64,188,2387,0,0.11347,0.0,0.01645,-0.00844,0.40842,0.41317
king-john,King John,main,2,1,2,116,356,4796,0,0.02606,0.0,0.06259,0.01715,0.48532,0.39632
king-john,King John,main,3,1,3,74,227,2881,0,-0.02398,0.0,-0.05595,-0.06279,0.50127,0.46273
king-john,King John,main,3,2,4,3,10,71,0,0.04903,0.0,0.08595,0.14591,0.49299,0.51053
king-john,King John,main,3,3,5,21,56,585,0,0.15426,0.0,0.09586,0.17338,0.40934,0.43225
king-john,King John,main,3,4,6,35,114,1479,0,0.04036,0.0,-0.03616,-0.0482,0.48481,0.47292
king-john,King John,main,4,1,7,43,118,1168,0,0.04714,0.0,-0.05381,-0.05087,0.41321,0.4306
king-john,King John,main,4,2,8,55,154,2101,0,-0.08979,0.0,-0.1429,-0.12951,0.47277,0.42524
king-john,King John,main,4,3,9,52,116,1323,0,-0.16757,0.0,-0.10697,-0.06878,0.45486,0.46251
king-john,King John,main,5,1,10,14,46,601,0,-0.04985,0.0,-0.06496,-0.04464,0.53297,0.44817
king-john,King John,main,5,2,11,20,83,1391,0,0.08896,0.0,0.00612,-0.00725,0.48313,0.41415
king-john,King John,main,5,3,12,7,16,133,0,-0.05947,0.0,-0.10567,0.01315,0.3529,0.43368
king-john,King John,main,5,4,13,12,32,471,0,0.07671,0.0,-0.05392,-0.11781,0.53516,0.47017
king-john,King John,main,5,5,14,7,15,173,0,-0.03016,0.0,-0.12549,-0.28937,0.5054,0.48523
king-john,King John,main,5,6,15,20,42,353,0,-0.00787,0.0,-0.08888,-0.02424,0.36123,0.3877
king-john,King John,main,5,7,16,26,65,952,0,-0.06707,0.0,-0.09985,-0.11692,0.50293,0.4352
