play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
king-lear,King Lear,main,1,1,1.1,1,97,220,2969,12,0.13924,0.0,0.01047,0.23115,0.01376,-0.00361,0.42154,0.97255,0.43628
king-lear,King Lear,main,1,2,1.2,2,57,150,1710,7,-0.04375,0.0,-0.16773,-0.97944,-0.07017,-0.02889,0.43371,0.96208,0.38899
king-lear,King Lear,main,1,3,1.3,3,9,29,275,2,-0.10485,0.0,-0.17434,-0.98757,-0.07877,-0.0042,0.29839,0.99306,0.34454
king-lear,King Lear,main,1,4,1.4,4,143,293,3058,24,-0.02162,0.0,-0.33282,-0.98654,-0.06298,-0.03223,0.37221,0.92778,0.36991
king-lear,King Lear,main,1,5,1.5,5,35,50,389,5,0.03686,0.0,-0.32703,-0.98072,-0.07863,-0.09381,0.32585,0.92383,0.38922
king-lear,King Lear,main,2,1,2.1,6,54,127,1252,10,0.00874,0.0,-0.25449,-0.98086,0.00148,-0.00986,0.38987,0.95535,0.40047
king-lear,King Lear,main,2,2,2.2,7,69,145,1585,4,-0.05598,0.0,-0.41104,-0.99031,-0.01214,-0.01055,0.43683,0.89446,0.42814
king-lear,King Lear,main,2,3,2.3,8,3,12,167,2,-0.36922,-0.2997,-0.82412,-0.99331,-0.27133,-0.19324,0.43945,0.56583,0.32358
king-lear,King Lear,main,2,4,2.4,9,110,277,2938,13,-0.01465,0.0,-0.37428,-0.98909,-0.09148,-0.06352,0.39237,0.9122,0.39739
king-lear,King Lear,main,3,1,3.1,10,13,36,497,3,0.02246,0.0,-0.04134,-0.66255,-0.10614,-0.02918,0.40852,0.98625,0.30635
king-lear,King Lear,main,3,2,3.2,11,18,65,857,5,-0.11543,0.0,-0.23753,-0.97858,-0.07198,-0.00758,0.40443,0.9437,0.46231
king-lear,King Lear,main,3,3,3.3,12,7,23,250,3,-0.07312,0.0,-0.3921,-0.9949,-0.07846,-0.0417,0.34965,0.92955,0.35268
king-lear,King Lear,main,3,4,3.4,13,64,185,1771,6,-0.10409,0.0,-0.17396,-0.97607,-0.0229,0.00835,0.42814,0.96749,0.43834
king-lear,King Lear,main,3,5,3.5,14,11,14,230,2,-0.01069,0.0129,0.00135,-0.00678,0.05281,0.02936,0.50595,1.0215,0.33741
king-lear,King Lear,main,3,6,3.6,15,41,102,1016,5,-0.04545,0.0,-0.09488,-0.95763,-0.00492,-0.00051,0.44516,0.97826,0.39675
king-lear,King Lear,main,3,7,3.7,16,69,126,1098,14,-0.06566,0.0,-0.38187,-0.98974,-0.06611,-0.0173,0.32409,0.90533,0.41526
king-lear,King Lear,main,4,1,4.1,17,35,76,816,4,0.00317,0.0,-0.27136,-0.9757,-0.06092,-0.05723,0.39085,0.92765,0.43533
king-lear,King Lear,main,4,2,4.2,18,39,90,954,8,-0.09028,0.0,-0.30905,-0.98357,-0.09171,-0.03944,0.45585,0.94008,0.41488
king-lear,King Lear,main,4,3,4.3,19,23,44,504,2,0.02433,0.0,-0.06187,-0.93311,-0.0852,-0.02683,0.36957,0.98466,0.34517
king-lear,King Lear,main,4,4,4.4,20,10,22,271,4,0.04112,0.0,0.0874,0.8697,0.08082,0.14711,0.3876,0.9821,0.38025
king-lear,King Lear,main,4,5,4.5,21,21,44,364,2,0.06202,0.0,-0.08917,-0.96616,-0.03331,-0.00657,0.31851,0.9954,0.3394
king-lear,King Lear,main,4,6,4.6,22,104,303,2629,16,-0.04047,0.0,-0.20375,-0.97233,-0.01313,-0.00073,0.41195,0.95586,0.40037
king-lear,King Lear,main,4,7,4.7,23,48,102,908,5,0.00272,0.0,-0.13502,-0.97401,-0.0989,-0.05514,0.38058,0.96948,0.39311
king-lear,King Lear,main,5,1,5.1,24,41,73,717,9,0.04239,0.0,-0.00457,-0.09777,-0.04453,-0.01248,0.35669,0.9814,0.35505
king-lear,King Lear,main,5,2,5.2,25,12,25,159,8,0.07823,0.0,0.02714,0.7296,0.08581,0.01028,0.31744,0.96415,0.27247
king-lear,King Lear,main,5,3,5.3,26,144,329,3242,25,0.00203,0.0,-0.12408,-0.97457,-0.00404,0.00199,0.38682,0.97517,0.40874
