play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score
macbeth,Macbeth,main,1,1,1,1,stage_direction,,,Thunder and lightning. Three WITCHES enter.,0.0,0.55044
macbeth,Macbeth,main,1,1,1,2,speech,FIRST WITCH,FIRST WITCH,"When shall we three meet again?
In thunder, lightning, or in rain?",0.0,-0.00904
macbeth,Macbeth,main,1,1,1,3,speech,SECOND WITCH,SECOND WITCH,"When the hurly-burly’s done,
When the battle’s lost and won.",0.34,-0.02716
macbeth,Macbeth,main,1,1,1,4,speech,THIRD WITCH,THIRD WITCH,That will be ere the set of sun.,0.0,0.00322
macbeth,Macbeth,main,1,1,1,5,speech,FIRST WITCH,FIRST WITCH,Where the place?,0.0,-0.03098
macbeth,Macbeth,main,1,1,1,6,speech,SECOND WITCH,SECOND WITCH,Upon the heath.,0.0,-0.00712
macbeth,Macbeth,main,1,1,1,7,speech,THIRD WITCH,THIRD WITCH,There to meet with Macbeth.,0.0,0.02783
macbeth,Macbeth,main,1,1,1,8,speech,FIRST WITCH,FIRST WITCH,"I come, Graymalkin!",0.0,0.62378
macbeth,Macbeth,main,1,1,1,9,speech,SECOND WITCH,SECOND WITCH,Paddock calls.,0.0,0.10585
macbeth,Macbeth,main,1,1,1,10,speech,THIRD WITCH,THIRD WITCH,Anon.,0.0,0.22123
macbeth,Macbeth,main,1,1,1,11,speech,ALL,ALL,"Fair is foul, and foul is fair
Hover through the fog and filthy air.",0.5574,-0.19817
macbeth,Macbeth,main,1,1,1,12,stage_direction,,,They exit.,0.0,-0.13698
macbeth,Macbeth,main,1,2,2,13,stage_direction,,,"A trumpet and the sounds of fighting offstage. KING DUNCAN enters with his sons MALCOLM and DONALBAIN, along with the Duke of LENNOX and a number of attendants. They meet a wounded CAPTAIN.",-0.296,0.00182
macbeth,Macbeth,main,1,2,2,14,speech,DUNCAN,DUNCAN,"What bloody man is that? He can report,
As seemeth by his plight, of the revolt
The newest state.",-0.4404,-0.20057
