play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
macbeth,Macbeth,main,1,1,1.1,1,12,15,108,3,0.05983,0.0,0.20155,0.97836,0.08591,-0.00355,0.16314,0.99685,0.22918
macbeth,Macbeth,main,1,2,1.2,2,23,45,582,6,0.01473,0.0,0.10782,0.9601,0.04125,0.03474,0.45725,0.98687,0.36154
macbeth,Macbeth,main,1,3,1.3,3,57,121,1502,7,0.08982,0.0,0.0166,0.7103,0.04971,-0.00626,0.39551,0.98115,0.38111
macbeth,Macbeth,main,1,4,1.4,4,16,42,606,6,0.20581,0.064,0.23886,0.99106,0.12254,0.0579,0.43359,0.97458,0.46002
macbeth,Macbeth,main,1,5,1.5,5,19,47,695,5,0.04257,0.0,0.04886,0.8102,0.04721,0.01004,0.4745,0.9831,0.43879
macbeth,Macbeth,main,1,6,1.6,6,10,26,349,5,0.40462,0.42755,0.5738,0.9939,0.13703,0.13065,0.37113,0.78733,0.39548
macbeth,Macbeth,main,1,7,1.7,7,17,55,842,6,-0.00016,0.0,-0.12508,-0.93881,-0.14253,-0.11429,0.45951,0.97298,0.35662
macbeth,Macbeth,main,2,1,2.1,8,24,57,644,5,0.11307,0.0,0.05074,0.96123,-0.06564,0.00489,0.32456,0.99465,0.3253
macbeth,Macbeth,main,2,2,2.2,9,38,89,816,5,-0.11734,0.0,-0.39351,-0.9857,-0.11795,-0.05592,0.30615,0.90589,0.3906
macbeth,Macbeth,main,2,3,2.3,10,75,181,1564,14,-0.0874,0.0,-0.27619,-0.98594,-0.11877,-0.06804,0.35811,0.94093,0.35176
macbeth,Macbeth,main,2,4,2.4,11,25,41,396,3,-0.02892,0.0,-0.26159,-0.98605,-0.04535,-0.04916,0.38619,0.96493,0.37515
macbeth,Macbeth,main,3,1,3.1,12,47,108,1334,10,-0.01459,0.0,0.18576,0.97566,0.02881,0.0105,0.36706,0.96109,0.38437
macbeth,Macbeth,main,3,2,3.2,13,19,46,504,4,0.02081,0.0,0.03247,0.75627,-0.03553,-0.02727,0.47759,0.98755,0.41314
macbeth,Macbeth,main,3,3,3.3,14,23,38,238,3,-0.0264,0.0,-0.12221,-0.95006,-0.01141,0.01913,0.33728,0.96505,0.32618
macbeth,Macbeth,main,3,4,3.4,15,61,164,1584,7,-0.02351,0.0,-0.08785,-0.91711,-0.05112,-0.02142,0.45028,0.97806,0.37419
macbeth,Macbeth,main,3,5,3.5,16,8,27,278,5,-0.01821,0.0,-0.18521,-0.98143,-0.07978,0.006,0.39864,0.98828,0.40324
macbeth,Macbeth,main,3,6,3.6,17,8,30,458,2,-0.14129,0.0,-0.2974,-0.98745,-0.14284,-0.11931,0.45228,0.9389,0.37554
macbeth,Macbeth,main,4,1,4.1,18,66,163,1404,19,-0.00401,0.0,0.10067,0.90094,0.03602,0.01131,0.3455,0.97716,0.3307
macbeth,Macbeth,main,4,2,4.2,19,47,86,792,5,-0.04562,0.0,-0.54586,-0.99088,-0.07186,-0.03981,0.43365,0.82475,0.40961
macbeth,Macbeth,main,4,3,4.3,20,70,194,2221,5,0.02914,0.0,0.036,0.89375,-0.10375,-0.05575,0.47996,0.97971,0.41844
macbeth,Macbeth,main,5,1,5.1,21,37,85,674,4,-0.00465,0.0,-0.20267,-0.98625,-0.04466,-0.03125,0.30613,0.97152,0.36931
macbeth,Macbeth,main,5,2,5.2,22,12,27,316,2,-0.09754,0.0,0.13499,0.97679,-0.06011,0.01281,0.43098,0.97913,0.30351
macbeth,Macbeth,main,5,3,5.3,23,27,61,590,5,-0.02125,0.0,-0.3624,-0.98037,0.02347,-0.00285,0.37833,0.90986,0.37147
macbeth,Macbeth,main,5,4,5.4,24,12,18,227,2,0.02367,0.0,0.10981,0.96903,-0.16756,-0.15452,0.3279,1.01095,0.28736
macbeth,Macbeth,main,5,5,5.5,25,19,40,519,5,-0.2329,-0.0258,-0.56196,-0.98622,-0.10521,-0.04034,0.38202,0.80076,0.42425
macbeth,Macbeth,main,5,6,5.6,26,5,8,95,2,-0.03506,0.0,0.49132,0.98296,0.15797,0.11926,0.36582,0.91645,0.26661
macbeth,Macbeth,main,5,7,5.7,27,21,41,301,13,-0.14151,0.0,-0.27806,-0.97854,-0.07848,-0.01194,0.36297,0.94934,0.34596
macbeth,Macbeth,main,5,8,5.8,28,30,72,786,13,-0.10825,0.0,-0.10997,-0.97718,-0.00769,0.00241,0.41095,0.98974,0.4137
