play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score,dl2_score
measure-for-measure,Measure for Measure,main,1,1,1,1,stage_direction,,,"Enter DUKE VINCENTIO, ESCALUS, Lords and Attendants",0.0,0.97798,0.55266
measure-for-measure,Measure for Measure,main,1,1,1,2,speech,DUKE VINCENTIO,DUKE VINCENTIO,Escalus.,0.0,0.99261,-0.03133
measure-for-measure,Measure for Measure,main,1,1,1,3,speech,ESCALUS,ESCALUS,My lord.,0.0,0.97625,0.65809
measure-for-measure,Measure for Measure,main,1,1,1,4,speech,DUKE VINCENTIO,DUKE VINCENTIO,"Of government the properties to unfold,
Would seem in me to affect speech and discourse;
Since I am put to know that your own science
Exceeds, in that, the lists of all advice
My strength can give you: then no more remains,
But that to your sufficiency as your Worth is able,
And let them work. The nature of our people,
Our city's institutions, and the terms
For common justice, you're as pregnant in
As art and practise hath enriched any
That we remember. There is our commission,
From which we would not have you warp. Call hither,
I say, bid come before us Angelo.",0.5882,0.99712,0.22304
measure-for-measure,Measure for Measure,main,1,1,1,5,stage_direction,,,Exit an attendant,0.0,-0.99491,-0.06399
measure-for-measure,Measure for Measure,main,1,1,1,6,speech,DUKE VINCENTIO,DUKE VINCENTIO,"What figure of us think you he will bear?
For you must know, we have with special soul
Elected him our absence to supply,
Lent him our terror, dress'd him with our love,
And given his deputation all the organs
Of our own power: what think you of it?",0.782,0.99123,0.66657
measure-for-measure,Measure for Measure,main,1,1,1,7,speech,ESCALUS,ESCALUS,"If any in Vienna be of worth
To undergo such ample grace and honour,
It is Lord Angelo.",0.836,0.99716,0.6659
measure-for-measure,Measure for Measure,main,1,1,1,8,speech,DUKE VINCENTIO,DUKE VINCENTIO,Look where he comes.,0.0,-0.98089,0.32426
measure-for-measure,Measure for Measure,main,1,1,1,9,stage_direction,,,Enter ANGELO,0.0,0.98362,0.0228
measure-for-measure,Measure for Measure,main,1,1,1,10,speech,ANGELO,ANGELO,"Always obedient to your grace's will,
I come to know your pleasure.",0.4767,0.99452,-0.47798
measure-for-measure,Measure for Measure,main,1,1,1,11,speech,DUKE VINCENTIO,DUKE VINCENTIO,"Angelo,
There is a kind of character in thy life,
That to the observer doth thy history
Fully unfold. Thyself and thy belongings
Are not thine own so proper as to waste
Thyself upon thy virtues, they on thee.
Heaven doth with us as we with torches do,
Not light them for themselves; for if our virtues
Did not go forth of us, 'twere all alike
As if we had them not. Spirits are not finely touch'd
But to fine issues, nor Nature never lends
The smallest scruple of her excellence
But, like a thrifty goddess, she determines
Herself the glory of a creditor,
Both thanks and use. But I do bend my speech
To one that can my part in him advertise;
Hold therefore, Angelo: —
In our remove be thou at full ourself;
Mortality and mercy in Vienna
Live in thy tongue and heart: old Escalus,
Though first in question, is thy secondary.
Take thy commission.",0.9645,0.99624,0.77737
measure-for-measure,Measure for Measure,main,1,1,1,12,speech,ANGELO,ANGELO,"Now, good my lord,
Let there be some more test made of my metal,
Before so noble and so great a figure
Be stamp'd upon it.",0.8765,-0.92909,-0.33421
measure-for-measure,Measure for Measure,main,1,1,1,13,speech,DUKE VINCENTIO,DUKE VINCENTIO,"No more evasion:
We have with a leaven'd and prepared choice
Proceeded to you; therefore take your honours.
Our haste from hence is of so quick condition
That it prefers itself and leaves unquestion'd
Matters of needful value. We shall write to you,
As time and our concernings shall importune,
How it goes with us, and do look to know
What doth befall you here. So, fare you well;
To the hopeful execution do I leave you
Of your commissions.",0.552,0.99456,0.62773
measure-for-measure,Measure for Measure,main,1,1,1,14,speech,ANGELO,ANGELO,"Yet give leave, my lord,
That we may bring you something on the way.",0.0,0.98847,-0.21583
measure-for-measure,Measure for Measure,main,1,1,1,15,speech,DUKE VINCENTIO,DUKE VINCENTIO,"My haste may not admit it;
Nor need you, on mine honour, have to do
With any scruple; your scope is as mine own
So to enforce or qualify the laws
As to your soul seems good. Give me your hand:
I'll privily away. I love the people,
But do not like to stage me to their eyes:
Though it do well, I do not relish well
Their loud applause and Aves vehement;
Nor do I think the man of safe discretion
That does affect it. Once more, fare you well.",0.9351,-0.97507,-0.15795
measure-for-measure,Measure for Measure,main,1,1,1,16,speech,ANGELO,ANGELO,The heavens give safety to your purposes!,0.7088,0.99684,0.75838
measure-for-measure,Measure for Measure,main,1,1,1,17,speech,ESCALUS,ESCALUS,Lead forth and bring you back in happiness!,0.6114,0.99765,0.62779
measure-for-measure,Measure for Measure,main,1,1,1,18,speech,DUKE,DUKE,I thank you. Fare you well.,0.3612,0.99635,0.5789
measure-for-measure,Measure for Measure,main,1,1,1,19,stage_direction,,,Exit,0.0,-0.99615,0.01202
measure-for-measure,Measure for Measure,main,1,1,1,20,speech,ESCALUS,ESCALUS,"I shall desire you, sir, to give me leave
To have free speech with you; and it concerns me
To look into the bottom of my place:
A power I have, but of what strength and nature
I am not yet instructed.",-0.0882,0.99653,-0.11471
measure-for-measure,Measure for Measure,main,1,1,1,21,speech,ANGELO,ANGELO,"'Tis so with me. Let us withdraw together,
And we may soon our satisfaction have
Touching that point.",0.6808,0.99633,0.23276
measure-for-measure,Measure for Measure,main,1,1,1,22,speech,ESCALUS,ESCALUS,I'll wait upon your honour.,0.4939,0.98535,0.49598
measure-for-measure,Measure for Measure,main,1,1,1,23,stage_direction,,,Exeunt,0.0,-0.99354,-0.27456
measure-for-measure,Measure for Measure,main,1,2,2,24,stage_direction,,,Enter LUCIO and two Gentlemen,0.0,0.97248,0.03015
measure-for-measure,Measure for Measure,main,1,2,2,25,speech,LUCIO,LUCIO,"If the duke with the other dukes come not to
composition with the King of Hungary, why then all
the dukes fall upon the king.",-0.1531,-0.9746,-0.05089
measure-for-measure,Measure for Measure,main,1,2,2,26,speech,FIRST GENTLEMAN,FIRST GENTLEMAN,"Heaven grant us its peace, but not the King of
Hungary's!",-0.1697,-0.9755,0.20236
