play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
measure-for-measure,Measure for Measure,main,1,1,1.1,1,23,54,683,5,0.24573,0.2021,0.42141,0.98716,0.06199,0.0237,0.29072,0.88877,0.33939
measure-for-measure,Measure for Measure,main,1,2,1.2,2,90,155,1384,8,0.03738,0.0,-0.18927,-0.97851,-0.08577,-0.05932,0.34859,0.96737,0.33112
measure-for-measure,Measure for Measure,main,1,3,1.3,3,9,27,452,2,0.11029,0.0772,-0.11513,-0.9511,-0.12817,-0.12785,0.47561,0.99382,0.45283
measure-for-measure,Measure for Measure,main,1,4,1.4,4,37,76,728,4,0.15234,0.0,-0.04924,-0.97147,0.00536,-0.02154,0.31751,0.99212,0.36924
measure-for-measure,Measure for Measure,main,2,1,2.1,5,126,260,2208,8,0.07894,0.0,-0.27234,-0.9782,-0.00945,-0.00322,0.35247,0.93761,0.35699
measure-for-measure,Measure for Measure,main,2,2,2.2,6,82,188,1725,8,0.03111,0.0,-0.10489,-0.96576,-0.04573,-0.05593,0.41431,0.9781,0.408
measure-for-measure,Measure for Measure,main,2,3,2.3,7,26,39,389,4,-0.04074,0.0,0.15237,0.88097,-0.02022,-0.0184,0.43164,0.9671,0.44643
measure-for-measure,Measure for Measure,main,2,4,2.4,8,57,132,1570,6,0.01118,0.0,-0.2467,-0.97929,-0.0548,-0.01165,0.44762,0.95114,0.41926
measure-for-measure,Measure for Measure,main,3,1,3.1,9,83,216,2238,9,0.04804,0.0,-0.1253,-0.96395,-0.04522,-0.01853,0.46024,0.97705,0.43313
measure-for-measure,Measure for Measure,main,3,2,3.2,10,98,247,2344,9,0.04876,0.0,-0.28978,-0.98284,-0.06336,-0.04995,0.40808,0.93768,0.36123
measure-for-measure,Measure for Measure,main,4,1,4.1,11,36,67,606,9,0.11276,0.0,0.15746,0.97739,0.01655,0.00958,0.29008,0.98049,0.37268
measure-for-measure,Measure for Measure,main,4,2,4.2,12,88,180,1758,13,0.02144,0.0,-0.20011,-0.97215,-0.0768,-0.03497,0.35087,0.95854,0.34216
measure-for-measure,Measure for Measure,main,4,3,4.3,13,77,174,1432,14,0.01892,0.0,-0.10025,-0.96726,0.01864,0.01091,0.31625,0.97432,0.34394
measure-for-measure,Measure for Measure,main,4,4,4.4,14,12,28,277,3,-0.10075,0.0,-0.36053,-0.9927,-0.17463,-0.22532,0.38772,0.93552,0.32234
measure-for-measure,Measure for Measure,main,4,5,4.5,15,7,15,130,4,0.07976,0.0,0.46225,0.98847,0.0854,0.03671,0.23812,0.90335,0.21741
measure-for-measure,Measure for Measure,main,4,6,4.6,16,9,17,138,3,0.0558,0.0,0.03515,0.65867,-0.06259,-0.03623,0.30328,0.99908,0.36963
measure-for-measure,Measure for Measure,main,5,1,5.1,17,188,429,4526,15,0.00542,0.0,-0.21293,-0.98209,-0.01117,-0.01602,0.39944,0.96064,0.44501
