play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score,dl2_score
othello,Othello,main,1,1,1,1,stage_direction,,,Enter RODERIGO and IAGO,0.0,0.98752,0.16265
othello,Othello,main,1,1,1,2,speech,RODERIGO,RODERIGO,"Tush! Never tell me. I take it much unkindly
That thou, Iago, who hast had my purse
As if the strings were thine, shouldst know of this.",-0.4015,-0.99885,-0.63285
othello,Othello,main,1,1,1,3,speech,IAGO,IAGO,"'Sblood, but you’ll not hear me!
If ever I did dream of such a matter, abhor me.",-0.6114,-0.99872,-0.7882
othello,Othello,main,1,1,1,4,speech,RODERIGO,RODERIGO,"Thou told’st me
Thou didst hold him in thy hate.",-0.6369,-0.99885,-0.65004
othello,Othello,main,1,1,1,5,speech,IAGO,IAGO,"Despise me
If I do not. Three great ones of the city
(In personal suit to make me his lieutenant)
Off-capped to him, and by the faith of man
I know my price, I am worth no worse a place.
But he (as loving his own pride and purposes)
Evades them with a bombast circumstance
Horribly stuffed with epithets of war,
And in conclusion
Nonsuits my mediators. For “Certes,” says he,
“I have already chose my officer.”
And what was he?
Forsooth, a great arithmetician,
One Michael Cassio, a Florentine
A fellow almost damned in a fair wife
That never set a squadron in the field,
Nor the division of a battle knows
More than a spinster—unless the bookish theoric,
Wherein the toged consuls can propose
As masterly as he. Mere prattle without practice
Is all his soldiership. But he, sir, had th' election
And I, of whom his eyes had seen the proof
At Rhodes, at Cyprus, and on other grounds
Christian and heathen, must be belee’d and calmed
By debitor and creditor. This counter-caster
He (in good time) must his lieutenant be
And I, bless the mark, his Moorship’s ancient.",0.5522,-0.9967,-0.71736
othello,Othello,main,1,1,1,6,speech,RODERIGO,RODERIGO,"By heaven, I rather would have been his hangman.",0.2732,-0.99883,-0.61552
othello,Othello,main,1,1,1,7,speech,IAGO,IAGO,"Why, there’s no remedy. 'Tis the curse of service.
Preferment goes by letter and affection,
And not by old gradation, where each second
Stood heir to th' first. Now sir, be judge yourself,
Whether I in any just term am affined
To love the Moor.",0.7506,-0.98892,-0.46068
othello,Othello,main,1,1,1,8,speech,RODERIGO,RODERIGO,I would not follow him then.,0.0,-0.99895,-0.46922
othello,Othello,main,1,1,1,9,speech,IAGO,IAGO,"O sir, content you.
I follow him to serve my turn upon him.
We cannot all be masters, nor all masters
Cannot be truly followed. You shall mark
Many a duteous and knee-crooking knave
That (doting on his own obsequious bondage)
Wears out his time much like his master’s ass
For naught but provender, and when he’s old, cashiered.
Whip me such honest knaves. Others there are
Who, trimmed in forms and visages of duty,
Keep yet their hearts attending on themselves
And, throwing but shows of service on their lords,
Do well thrive by them. And when they have lined their
coats,
Do themselves homage. These fellows have some soul,
And such a one do I profess myself. For, sir,
It is as sure as you are Roderigo,
Were I the Moor, I would not be Iago.
In following him, I follow but myself.
Heaven is my judge, not I for love and duty,
But seeming so, for my peculiar end.
For when my outward action doth demonstrate
The native act and figure of my heart
In compliment extern, ’tis not long after
But I will wear my heart upon my sleeve
For daws to peck at. I am not what I am.",0.9905,-0.98747,-0.43282
othello,Othello,main,1,1,1,10,speech,RODERIGO,RODERIGO,"What a full fortune does the Thick-lips owe
If he can carry’t thus!",0.4588,-0.99273,-0.47342
