play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
othello,Othello,main,1,1,1.1,1,45,153,1711,0,-0.00092,0.0,-0.36661,-0.99019,-0.00466,-0.01849,0.38346,0.91208,0.42647
othello,Othello,main,1,2,1.2,2,33,80,901,0,0.03419,0.0,-0.14453,-0.9637,-0.01051,-0.01776,0.3939,0.98031,0.36287
othello,Othello,main,1,3,1.3,3,89,268,3291,0,0.04892,0.0,-0.04508,-0.95244,-0.04946,-0.02786,0.42236,0.98416,0.40432
othello,Othello,main,2,1,2.1,4,92,234,2538,0,0.13558,0.0,0.08462,0.9687,-0.04112,-0.02216,0.43684,0.97683,0.38999
othello,Othello,main,2,2,2.2,5,1,6,87,0,0.6281,0.7833,0.99533,0.9973,0.15513,0.098,0.3439,0.00344,0.3893
othello,Othello,main,2,3,2.3,6,104,303,3152,0,0.04402,0.0,-0.10083,-0.96804,-0.00383,-0.01193,0.42445,0.97761,0.40563
othello,Othello,main,3,1,3.1,7,26,49,441,0,0.14086,0.0,0.17923,0.97432,0.02226,0.00547,0.34814,0.98241,0.3085
othello,Othello,main,3,2,3.2,8,4,6,62,0,0.24865,0.1366,0.99189,0.99132,0.25424,0.15941,0.30176,0.0037,0.287
othello,Othello,main,3,3,3.3,9,166,405,4346,0,0.06009,0.0,-0.20276,-0.97578,-0.08569,-0.09037,0.41518,0.95765,0.40888
othello,Othello,main,3,4,3.4,10,92,180,1690,0,0.04766,0.0,-0.23545,-0.97509,-0.02167,-0.02079,0.39009,0.95341,0.38533
othello,Othello,main,4,1,4.1,11,152,302,2590,0,0.04222,0.0,-0.14405,-0.97486,-0.00601,-0.02701,0.38019,0.96982,0.40604
othello,Othello,main,4,2,4.2,12,107,216,2133,0,0.032,0.0,-0.29067,-0.9865,-0.03508,-0.04351,0.40171,0.93818,0.40787
othello,Othello,main,4,3,4.3,13,42,96,954,0,0.0712,0.0,0.03836,0.90531,0.00472,-0.01447,0.40613,0.98863,0.37485
othello,Othello,main,5,1,5.1,14,77,189,1281,0,-0.08959,0.0,-0.33283,-0.98155,0.03008,0.01077,0.40341,0.92199,0.41058
othello,Othello,main,5,2,5.2,15,179,422,3411,0,-0.09172,0.0,-0.32174,-0.9826,-0.03258,-0.02141,0.41804,0.92818,0.46707
