play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
pericles,Pericles,main,1,,1.Prologue,1,3,17,321,2,0.02648,0.0,0.28665,0.98712,0.0363,0.04334,0.59311,0.96919,0.37451
pericles,Pericles,main,1,1,1.1,2,36,95,1384,10,-0.0299,0.0,-0.11086,-0.95062,-0.00827,0.01655,0.52087,0.98209,0.45415
pericles,Pericles,main,1,2,1.2,3,22,73,997,3,-0.00522,0.0,-0.20412,-0.97657,-0.0934,-0.04518,0.49806,0.96763,0.36465
pericles,Pericles,main,1,3,1.3,4,13,27,341,3,0.019,0.0,-0.14535,-0.9705,-0.11999,-0.07712,0.35076,0.97181,0.31966
pericles,Pericles,main,1,4,1.4,5,27,69,860,5,-0.02707,0.0,0.00026,-0.17396,-0.09159,-0.12198,0.46368,0.98324,0.38212
pericles,Pericles,main,2,,2.Prologue,6,5,21,323,6,0.01408,0.0,-0.32227,-0.97914,-0.08563,-0.01459,0.4305,0.95174,0.31458
pericles,Pericles,main,2,1,2.1,7,59,120,1312,5,0.16154,0.0,-0.03631,-0.65419,0.06008,0.01261,0.36278,0.97081,0.40715
pericles,Pericles,main,2,2,2.2,8,28,44,500,4,0.18296,0.0,0.1384,0.95944,0.00344,0.02259,0.35363,0.97046,0.33735
pericles,Pericles,main,2,3,2.3,9,45,82,972,5,0.26397,0.0772,0.42075,0.9934,0.08356,0.06719,0.37838,0.88979,0.36078
pericles,Pericles,main,2,4,2.4,10,20,40,446,3,0.02581,0.0,0.14975,0.96209,-0.06253,-0.02803,0.39381,0.98242,0.40671
pericles,Pericles,main,2,5,2.5,11,43,88,943,6,0.15149,0.0,0.20036,0.98142,-0.00551,0.01098,0.36775,0.97559,0.44935
pericles,Pericles,main,3,,3.Prologue,12,2,15,256,1,0.00716,0.0,-0.06555,-0.9769,-0.14614,-0.10687,0.39428,1.01894,0.2454
pericles,Pericles,main,3,1,3.1,13,29,66,620,5,0.04421,0.0,-0.08296,-0.93819,0.06747,0.03236,0.31801,0.98851,0.41653
pericles,Pericles,main,3,2,3.2,14,47,91,850,9,0.11838,0.0,0.17757,0.97882,0.13417,0.08453,0.35685,0.96902,0.37765
pericles,Pericles,main,3,3,3.3,15,12,29,331,2,0.16857,0.0382,0.47587,0.98591,0.02471,0.06244,0.4843,0.85915,0.44615
pericles,Pericles,main,3,4,3.4,16,6,13,111,2,0.07344,0.0,0.2526,0.98933,0.10117,0.00163,0.27053,0.97781,0.33387
pericles,Pericles,main,4,,4.Prologue,17,3,19,296,2,-0.04636,0.0,0.05175,0.97223,-0.1336,-0.09897,0.5489,1.01744,0.37483
pericles,Pericles,main,4,1,4.1,18,41,94,848,8,-0.01778,0.0,0.09718,0.95771,-0.01507,-0.00466,0.38895,0.98347,0.39148
pericles,Pericles,main,4,2,4.2,19,72,122,1139,7,0.06173,0.0,-0.09426,-0.94665,-0.01174,-0.01239,0.33067,0.98565,0.35545
pericles,Pericles,main,4,3,4.3,20,15,37,420,2,-0.22361,-0.1531,-0.4043,-0.99136,-0.11136,-0.10027,0.39571,0.91876,0.46522
pericles,Pericles,main,4,4,4.4,21,5,30,435,6,-0.16276,0.0,-0.09225,-0.94566,-0.09014,-0.01074,0.36496,0.98003,0.34057
pericles,Pericles,main,4,5,4.5,22,7,12,77,2,0.11177,0.0,-0.49857,-0.98448,-0.17827,-0.13926,0.22747,0.88612,0.24715
pericles,Pericles,main,4,6,4.6,23,90,160,1467,10,0.04775,0.0,-0.18485,-0.97843,0.00978,-0.009,0.37985,0.96336,0.38142
pericles,Pericles,main,5,,5.Prologue,24,6,20,323,4,0.15054,0.0,0.31712,0.94917,-0.0094,0.02319,0.50759,0.89562,0.40945
pericles,Pericles,main,5,1,5.1,25,105,221,2113,14,0.07088,0.0,0.12335,0.9591,0.0825,0.03926,0.36658,0.97041,0.38885
pericles,Pericles,main,5,2,5.2,26,3,9,130,2,0.17232,0.0,0.54759,0.98891,0.10858,0.03697,0.26334,0.87534,0.24066
pericles,Pericles,main,5,3,5.3,27,33,71,698,4,0.12618,0.0,0.25159,0.99019,0.21959,0.32045,0.34165,0.94687,0.40332
