play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score,dl2_score
richard-ii,Richard II,main,1,1,1,1,stage_direction,,,"Enter KING RICHARD II, JOHN OF GAUNT, with other Nobles and Attendants",0.0,0.98767,0.15536
richard-ii,Richard II,main,1,1,1,2,speech,KING RICHARD II,KING RICHARD II,"Old John of Gaunt, time-honour'd Lancaster,
Hast thou, according to thy oath and band,
Brought hither Henry Hereford thy bold son,
Here to make good the boisterous late appeal,
Which then our leisure would not let us hear,
Against the Duke of Norfolk, Thomas Mowbray?",0.3182,-0.9801,0.08091
richard-ii,Richard II,main,1,1,1,3,speech,JOHN OF GAUNT,JOHN OF GAUNT,"I have, my liege.",0.0,0.98432,-0.31817
richard-ii,Richard II,main,1,1,1,4,speech,KING RICHARD II,KING RICHARD II,"Tell me, moreover, hast thou sounded him,
If he appeal the duke on ancient malice;
Or worthily, as a good subject should,
On some known ground of treachery in him?",-0.1779,-0.99334,-0.43571
richard-ii,Richard II,main,1,1,1,5,speech,JOHN OF GAUNT,JOHN OF GAUNT,"As near as I could sift him on that argument,
On some apparent danger seen in him
Aim'd at your highness, no inveterate malice.",-0.7003,-0.96476,-0.58979
richard-ii,Richard II,main,1,1,1,6,speech,KING RICHARD II,KING RICHARD II,"Then call them to our presence; face to face,
And frowning brow to brow, ourselves will hear
The accuser and the accused freely speak :
High-stomach'd are they both, and full of ire,
In rage deaf as the sea, hasty as fire.",-0.8126,0.99258,0.06702
richard-ii,Richard II,main,1,1,1,7,stage_direction,,,Enter HENRY BOLINGBROKE and THOMAS MOWBRAY,0.0,0.97234,0.26598
richard-ii,Richard II,main,1,1,1,8,speech,HENRY BOLINGBROKE,HENRY BOLINGBROKE,"Many years of happy days befal
My gracious sovereign, my most loving liege!",0.9133,0.99743,0.88318
richard-ii,Richard II,main,1,1,1,9,speech,THOMAS MOWBRAY,THOMAS MOWBRAY,"Each day still better other's happiness ;
Until the heavens, envying earth's good hap,
Add an immortal title to your crown!",0.5719,0.99495,0.64946
richard-ii,Richard II,main,1,1,1,10,speech,KING RICHARD II,KING RICHARD II,"We thank you both: yet one but flatters us,
As well appeareth by the cause you come;
Namely to appeal each other of high treason.
Cousin of Hereford, what dost thou object
Against the Duke of Norfolk, Thomas Mowbray?",-0.3818,-0.99294,-0.71831
richard-ii,Richard II,main,1,1,1,11,speech,HENRY BOLINGBROKE,HENRY BOLINGBROKE,"First, heaven be the record to my speech!
In the devotion of a subject's love,
Tendering the precious safety of my prince,
And free from other misbegotten hate,
Come I appellant to this princely presence.
Now, Thomas Mowbray, do I turn to thee,
And mark my greeting well; for what I speak
My body shall make good upon this earth,
Or my divine soul answer it in heaven.
Thou art a traitor and a miscreant,
Too good to be so and too bad to live,
Since the more fair and crystal is the sky,
The uglier seem the clouds that in it fly.
Once more, the more to aggravate the note,
With a foul traitor's name stuff I thy throat;
And wish, so please my sovereign, ere I move,
What my tongue speaks my right drawn sword may prove.",0.9483,0.9723,0.63584
richard-ii,Richard II,main,1,1,1,12,speech,THOMAS MOWBRAY,THOMAS MOWBRAY,"Let not my cold words here accuse my zeal:
'Tis not the trial of a woman's war,
The bitter clamour of two eager tongues,
Can arbitrate this cause betwixt us twain;
The blood is hot that must be cool'd for this:
Yet can I not of such tame patience boast
As to be hush'd and nought at all to say:
First, the fair reverence of your highness curbs me
From giving reins and spurs to my free speech;
Which else would post until it had return'd
These terms of treason doubled down his throat.
Setting aside his high blood's royalty,
And let him be no kinsman to my liege,
I do defy him, and I spit at him;
Call him a slanderous coward and a villain:
Which to maintain I would allow him odds,
And meet him, were I tied to run afoot
Even to the frozen ridges of the Alps,
Or any other ground inhabitable,
Where ever Englishman durst set his foot.
Mean time let this defend my loyalty,
By all my hopes, most falsely doth he lie.",-0.9474,-0.9893,-0.43509
richard-ii,Richard II,main,1,1,1,13,speech,HENRY BOLINGBROKE,HENRY BOLINGBROKE,"Pale trembling coward, there I throw my gage,
Disclaiming here the kindred of the king,
And lay aside my high blood's royalty,
Which fear, not reverence, makes thee to except.
If guilty dread have left thee so much strength
As to take up mine honour's pawn, then stoop:
By that and all the rites of knighthood else,
Will I make good against thee, arm to arm,
What I have spoke, or thou canst worse devise.",-0.974,-0.99363,-0.0892
richard-ii,Richard II,main,1,1,1,14,speech,THOMAS MOWBRAY,THOMAS MOWBRAY,"I take it up; and by that sword I swear
Which gently laid my knighthood on my shoulder,
I'll answer thee in any fair degree,
Or chivalrous design of knightly trial:
And when I mount, alive may I not light,
If I be traitor or unjustly fight!",-0.1511,0.99349,0.64378
richard-ii,Richard II,main,1,1,1,15,speech,KING RICHARD II,KING RICHARD II,"What doth our cousin lay to Mowbray's charge?
It must be great that can inherit us
So much as of a thought of ill in him.",-0.8977,-0.97766,-0.68614
richard-ii,Richard II,main,1,1,1,16,speech,HENRY BOLINGBROKE,HENRY BOLINGBROKE,"Look, what I speak, my life shall prove it true;
That Mowbray hath received eight thousand nobles
In name of lendings for your highness' soldiers,
The which he hath detain'd for lewd employments,
Like a false traitor and injurious villain.
Besides I say and will in battle prove,
Or here or elsewhere to the furthest verge
That ever was survey'd by English eye,
That all the treasons for these eighteen years
Complotted and contrived in this land
Fetch from false Mowbray their first head and spring.
Further I say and further will maintain
Upon his bad life to make all this good,
That he did plot the Duke of Gloucester's death,
Suggest his soon-believing adversaries,
And consequently, like a traitor coward,
Sluiced out his innocent soul through streams of blood:
Which blood, like sacrificing Abel's, cries,
Even from the tongueless caverns of the earth,
To me for justice and rough chastisement;
And, by the glorious worth of my descent,
This arm shall do it, or this life be spent.",-0.9136,0.93189,-0.25498
richard-ii,Richard II,main,1,1,1,17,speech,KING RICHARD II,KING RICHARD II,"How high a pitch his resolution soars!
Thomas of Norfolk, what say'st thou to this?",0.4574,0.99665,0.66924
richard-ii,Richard II,main,1,1,1,18,speech,THOMAS MOWBRAY,THOMAS MOWBRAY,"O, let my sovereign turn away his face
And bid his ears a little while be deaf,
Till I have told this slander of his blood,
How God and good men hate so foul a liar.",-0.4854,-0.99648,-0.80283
richard-ii,Richard II,main,1,1,1,19,speech,KING RICHARD II,KING RICHARD II,"Mowbray, impartial are our eyes and ears:
Were he my brother, nay, my kingdom's heir,
As he is but my father's brother's son,
Now, by my sceptre's awe, I make a vow,
Such neighbour nearness to our sacred blood
Should nothing privilege him, nor partialize
The unstooping firmness of my upright soul:
He is our subject, Mowbray; so art thou:
Free speech and fearless I to thee allow.",0.8818,0.99592,0.60393
richard-ii,Richard II,main,1,1,1,20,speech,THOMAS MOWBRAY,THOMAS MOWBRAY,"Then, Bolingbroke, as low as to thy heart,
Through the false passage of thy throat, thou liest.
Three parts of that receipt I had for Calais
Disbursed I duly to his highness' soldiers;
The other part reserved I by consent,
For that my sovereign liege was in my debt
Upon remainder of a dear account,
Since last I went to France to fetch his queen:
Now swallow down that lie. For Gloucester's death,
I slew him not; but to my own disgrace
Neglected my sworn duty in that case.
For you, my noble Lord of Lancaster,
The honourable father to my foe
Once did I lay an ambush for your life,
A trespass that doth vex my grieved soul
But ere I last received the sacrament
I did confess it, and exactly begg'd
Your grace's pardon, and I hope I had it.
This is my fault: as for the rest appeall'd,
It issues from the rancour of a villain,
A recreant and most degenerate traitor
Which in myself I boldly will defend;
And interchangeably hurl down my gage
Upon this overweening traitor's foot,
To prove myself a loyal gentleman
Even in the best blood chamber'd in his bosom.
In haste whereof, most heartily I pray
Your highness to assign our trial day.",0.9213,0.96989,0.56663
richard-ii,Richard II,main,1,1,1,21,speech,KING RICHARD II,KING RICHARD II,"Wrath-kindled gentlemen, be ruled by me;
Let's purge this choler without letting blood:
This we prescribe, though no physician;
Deep malice makes too deep incision;
Forget, forgive; conclude and be agreed;
Our doctors say this is no month to bleed.
Good uncle, let this end where it begun;
We'll calm the Duke of Norfolk, you your son.",-0.8776,0.9937,-0.30796
richard-ii,Richard II,main,1,1,1,22,speech,JOHN OF GAUNT,JOHN OF GAUNT,"To be a make-peace shall become my age:
Throw down, my son, the Duke of Norfolk's gage.",0.4588,0.99131,0.4094
richard-ii,Richard II,main,1,1,1,23,speech,KING RICHARD II,KING RICHARD II,"And, Norfolk, throw down his.",0.0,-0.99726,-0.21999
richard-ii,Richard II,main,1,1,1,24,speech,JOHN OF GAUNT,JOHN OF GAUNT,"When, Harry, when?
Obedience bids I should not bid again.",0.0,-0.98235,-0.34148
richard-ii,Richard II,main,1,1,1,25,speech,KING RICHARD II,KING RICHARD II,"Norfolk, throw down, we bid; there is no boot.",0.015,-0.98934,-0.0761
richard-ii,Richard II,main,1,1,1,26,speech,THOMAS MOWBRAY,THOMAS MOWBRAY,"Myself I throw, dread sovereign, at thy foot.
My life thou shalt command, but not my shame:
The one my duty owes; but my fair name,
Despite of death that lives upon my grave,
To dark dishonour's use thou shalt not have.
I am disgraced, impeach'd and baffled here,
Pierced to the soul with slander's venom'd spear,
The which no balm can cure but his heart-blood
Which breathed this poison.",-0.9781,-0.996,-0.81885
richard-ii,Richard II,main,1,1,1,27,speech,KING RICHARD II,KING RICHARD II,"Rage must be withstood:
Give me his gage: lions make leopards tame.",-0.5574,-0.95238,0.2489
richard-ii,Richard II,main,1,1,1,28,speech,THOMAS MOWBRAY,THOMAS MOWBRAY,"Yea, but not change his spots: take but my shame.
And I resign my gage. My dear dear lord,
The purest treasure mortal times afford
Is spotless reputation: that away,
Men are but gilded loam or painted clay.
A jewel in a ten-times-barr'd-up chest
Is a bold spirit in a loyal breast.
Mine honour is my life; both grow in one:
Take honour from me, and my life is done:
Then, dear my liege, mine honour let me try;
In that I live and for that will I die.",0.9936,0.98095,0.69783
richard-ii,Richard II,main,1,1,1,29,speech,KING RICHARD II,KING RICHARD II,"Cousin, throw up your gage; do you begin.",0.0,-0.99831,-0.56278
richard-ii,Richard II,main,1,1,1,30,speech,HENRY BOLINGBROKE,HENRY BOLINGBROKE,"O, God defend my soul from such deep sin!
Shall I seem crest-fall'n in my father's sight?
Or with pale beggar-fear impeach my height
Before this out-dared dastard? Ere my tongue
Shall wound my honour with such feeble wrong,
Or sound so base a parle, my teeth shall tear
The slavish motive of recanting fear,
And spit it bleeding in his high disgrace,
Where shame doth harbour, even in Mowbray's face.",-0.9224,-0.99887,-0.39382
richard-ii,Richard II,main,1,1,1,31,stage_direction,,,Exit JOHN OF GAUNT,0.0,-0.9928,0.0068
richard-ii,Richard II,main,1,1,1,32,speech,KING RICHARD II,KING RICHARD II,"We were not born to sue, but to command;
Which since we cannot do to make you friends,
Be ready, as your lives shall answer it,
At Coventry, upon Saint Lambert's day:
There shall your swords and lances arbitrate
The swelling difference of your settled hate:
Since we can not atone you, we shall see
Justice design the victor's chivalry.
Lord marshal, command our officers at arms
Be ready to direct these home alarms.",-0.7985,-0.97389,-0.32023
richard-ii,Richard II,main,1,1,1,33,stage_direction,,,Exeunt,0.0,-0.98674,0.07284
richard-ii,Richard II,main,1,2,2,34,stage_direction,,,Enter JOHN OF GAUNT with DUCHESS,0.0,0.75826,0.01458
richard-ii,Richard II,main,1,2,2,35,speech,JOHN OF GAUNT,JOHN OF GAUNT,"Alas, the part I had in Woodstock's blood
Doth more solicit me than your exclaims,
To stir against the butchers of his life!
But since correction lieth in those hands
Which made the fault that we cannot correct,
Put we our quarrel to the will of heaven;
Who, when they see the hours ripe on earth,
Will rain hot vengeance on offenders' heads.",-0.8374,-0.78208,0.83026
richard-ii,Richard II,main,1,2,2,36,speech,DUCHESS,DUCHESS,"Finds brotherhood in thee no sharper spur?
Hath love in thy old blood no living fire?
Edward's seven sons, whereof thyself art one,
Were as seven vials of his sacred blood,
Or seven fair branches springing from one root:
Some of those seven are dried by nature's course,
Some of those branches by the Destinies cut;
But Thomas, my dear lord, my life, my Gloucester,
One vial full of Edward's sacred blood,
One flourishing branch of his most royal root,
Is crack'd, and all the precious liquor spilt,
Is hack'd down, and his summer leaves all faded,
By envy's hand and murder's bloody axe.
Ah, Gaunt, his blood was thine! that bed, that womb,
That metal, that self-mould, that fashion'd thee
Made him a man ; and though thou livest and breathest,
Yet art thou slain in him: thou dost consent
In some large measure to thy father's death,
In that thou seest thy wretched brother die,
Who was the model of thy father's life.
Call it not patience, Gaunt; it is despair:
In suffering thus thy brother to be slaughter'd,
Thou showest the naked pathway to thy life,
Teaching stern murder how to butcher thee:
That which in mean men we intitle patience
Is pale cold cowardice in noble breasts.
What shall I say? to safeguard thine own life,
The best way is to venge my Gloucester's death.",-0.9886,-0.98539,-0.8705
richard-ii,Richard II,main,1,2,2,37,speech,JOHN OF GAUNT,JOHN OF GAUNT,"God's is the quarrel; for God's substitute,
His deputy anointed in His sight,
Hath caused his death: the which if wrongfully,
Let heaven revenge; for I may never lift
An angry arm against His minister.",-0.7905,0.95389,-0.88849
richard-ii,Richard II,main,1,2,2,38,speech,DUCHESS,DUCHESS,"Where then, alas, may I complain myself?",0.4019,-0.98638,-0.05119
