play_id,play_title,section,act,scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
richard-ii,Richard II,main,1,1,1,29,75,1584,0,-0.04149,0.0,-0.0413,-0.0665,0.54146,0.48134
richard-ii,Richard II,main,1,2,2,8,34,590,0,-0.22985,-0.06375,-0.07236,-0.05523,0.49773,0.52414
richard-ii,Richard II,main,1,3,3,64,137,2451,0,0.07202,0.0,-0.03246,-0.02684,0.51667,0.47041
richard-ii,Richard II,main,1,4,4,15,30,474,0,0.06743,0.0,-0.11034,-0.05585,0.4153,0.33497
richard-ii,Richard II,main,2,1,5,57,117,2372,0,-0.04376,0.0,-0.13635,-0.13635,0.48467,0.45462
richard-ii,Richard II,main,2,2,6,38,70,1183,0,-0.04373,0.0,-0.15345,-0.15484,0.48304,0.44418
richard-ii,Richard II,main,2,3,7,40,75,1322,0,0.12742,0.0,-0.0064,-0.01885,0.44942,0.44398
richard-ii,Richard II,main,2,4,8,4,10,190,0,-0.14541,-0.17,-0.22552,-0.25092,0.6508,0.5035
richard-ii,Richard II,main,3,1,9,7,18,342,0,-0.08351,0.0,0.03212,0.20184,0.57711,0.44951
richard-ii,Richard II,main,3,2,10,30,98,1693,0,-0.08216,0.0,-0.08815,-0.0838,0.52921,0.49185
richard-ii,Richard II,main,3,3,11,36,86,1595,0,0.1443,0.0,0.0409,0.00987,0.4698,0.41292
richard-ii,Richard II,main,3,4,12,26,50,827,0,-0.07186,0.0,-0.16107,-0.22999,0.40586,0.37963
richard-ii,Richard II,main,4,1,13,74,151,2534,0,-0.0137,0.0,-0.00174,-0.0096,0.47489,0.42525
richard-ii,Richard II,main,5,1,14,19,45,777,0,-0.0178,0.0,0.03758,-0.00292,0.53452,0.39492
richard-ii,Richard II,main,5,2,15,44,86,932,0,0.03571,0.0,0.05225,-0.00725,0.35556,0.39218
richard-ii,Richard II,main,5,3,16,49,86,1176,0,0.13649,0.0258,-0.0474,-0.04914,0.43341,0.44156
richard-ii,Richard II,main,5,4,17,5,6,95,0,0.06123,0.0,-0.05773,-0.23213,0.39657,0.366
richard-ii,Richard II,main,5,5,18,20,63,1000,0,-0.04777,0.0,0.00236,-0.02491,0.51758,0.43573
richard-ii,Richard II,main,5,6,19,12,21,388,0,-0.15265,0.0,0.02567,0.02184,0.58457,0.49612
