play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
richard-iii,Richard III,main,1,1,1.1,1,34,108,1371,0,0.041,0.0,-0.17103,-0.97124,-0.08748,-0.06495,0.43451,0.96279,0.38328
richard-iii,Richard III,main,1,2,1.2,2,90,204,2814,0,-0.07223,0.0,-0.34934,-0.98302,-0.12513,-0.09186,0.53114,0.92066,0.44858
richard-iii,Richard III,main,1,3,1.3,3,109,247,3317,0,-0.06649,0.0,-0.25921,-0.97909,-0.06635,-0.03825,0.49011,0.95117,0.44544
richard-iii,Richard III,main,1,4,1.4,4,98,199,2291,0,-0.0762,0.0,-0.32235,-0.98544,-0.11003,-0.07278,0.44905,0.92106,0.41888
richard-iii,Richard III,main,2,1,2.1,5,34,85,1249,0,0.09825,0.0,0.14957,0.97798,-0.06139,-0.07578,0.53061,0.98205,0.47775
richard-iii,Richard III,main,2,2,2.2,6,42,107,1398,0,-0.02155,0.0,-0.08208,-0.96448,-0.12753,-0.09671,0.52554,0.98738,0.46006
richard-iii,Richard III,main,2,3,2.3,7,22,43,448,0,0.10739,0.0,-0.02739,0.03046,-0.09398,-0.10196,0.43201,0.96296,0.33705
richard-iii,Richard III,main,2,4,2.4,8,35,63,646,0,0.05653,0.0,-0.06808,-0.94561,-0.09459,-0.05424,0.40594,0.98504,0.41116
richard-iii,Richard III,main,3,1,3.1,9,85,148,1767,0,0.13863,0.0,0.06991,0.95453,-0.0277,-0.03652,0.44309,0.98302,0.41677
richard-iii,Richard III,main,3,2,3.2,10,47,99,1075,0,0.09837,0.0,0.18736,0.97004,0.06199,0.02132,0.38916,0.96533,0.40812
richard-iii,Richard III,main,3,3,3.3,11,9,19,196,0,-0.11231,0.0,-0.3664,-0.9841,0.0689,0.11521,0.54259,0.94356,0.49481
richard-iii,Richard III,main,3,4,3.4,12,31,72,941,0,0.12041,0.0,0.06201,0.96925,-0.01395,-0.0032,0.47749,0.98893,0.40206
richard-iii,Richard III,main,3,5,3.5,13,27,61,840,0,0.02133,0.0,-0.04389,-0.93008,0.03459,0.00237,0.45012,0.99248,0.4212
richard-iii,Richard III,main,3,6,3.6,14,1,10,131,0,0.10898,0.35,-0.59726,-0.9952,-0.19842,-0.20556,0.60115,0.83798,0.46902
richard-iii,Richard III,main,3,7,3.7,15,49,137,2017,0,0.1603,0.0,0.03804,0.95074,-0.02975,-0.00966,0.4814,0.98373,0.43971
richard-iii,Richard III,main,4,1,4.1,16,30,81,934,0,-0.00191,0.0,-0.18267,-0.97439,-0.04516,-0.04671,0.48537,0.97824,0.41632
richard-iii,Richard III,main,4,2,4.2,17,61,118,1062,0,0.02857,0.0,0.04686,0.82234,0.03844,0.02073,0.40005,0.9752,0.35077
richard-iii,Richard III,main,4,3,4.3,18,15,40,446,0,0.00583,0.0,0.02536,0.0508,0.07931,0.07794,0.49455,0.95758,0.41485
richard-iii,Richard III,main,4,4,4.4,19,185,386,4828,0,-0.03351,0.0,-0.15067,-0.97397,-0.08259,-0.0605,0.46762,0.96922,0.41359
richard-iii,Richard III,main,4,5,4.5,20,5,14,161,0,0.19071,0.0,0.14927,0.97756,0.04149,0.04782,0.32078,1.00833,0.36245
richard-iii,Richard III,main,5,1,5.1,21,5,16,244,0,-0.26023,-0.41695,-0.37345,-0.97643,-0.25206,-0.15378,0.48592,0.93638,0.37517
richard-iii,Richard III,main,5,2,5.2,22,5,13,209,0,0.22102,0.4404,0.53489,0.99265,-0.09274,-0.01283,0.51434,0.86912,0.43238
richard-iii,Richard III,main,5,3,5.3,23,84,286,3022,0,0.02188,0.0,0.09815,0.96411,0.08917,0.04186,0.44049,0.97833,0.4486
richard-iii,Richard III,main,5,4,5.4,24,4,12,126,0,-0.13484,0.0,-0.3194,-0.97591,0.27207,0.54187,0.53184,0.94961,0.48827
richard-iii,Richard III,main,5,5,5.5,25,7,29,337,0,0.13011,0.0,0.04354,0.98278,0.05406,-0.00841,0.5226,1.00213,0.45076
