play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
romeo-and-juliet,Romeo and Juliet,prologue,0,1,Prologue,1,3,8,123,2,-0.17044,-0.1806,0.0415,0.15805,-0.1563,0.00824,0.51829,1.02278,0.2963
romeo-and-juliet,Romeo and Juliet,main,1,1,1.1,2,108,225,2282,14,-0.01217,0.0,-0.25476,-0.98507,-0.05437,-0.01795,0.41278,0.94751,0.39007
romeo-and-juliet,Romeo and Juliet,main,1,2,1.2,3,34,81,899,5,0.18739,0.0,0.16038,0.97741,0.05034,0.0205,0.3981,0.98025,0.34903
romeo-and-juliet,Romeo and Juliet,main,1,3,1.3,4,33,97,973,4,0.1275,0.0,0.31542,0.98204,-0.01614,-0.0051,0.33106,0.93148,0.35273
romeo-and-juliet,Romeo and Juliet,main,1,4,1.4,5,32,87,1073,3,0.11121,0.0,-0.31481,-0.98455,-0.10229,-0.044,0.34307,0.9358,0.3296
romeo-and-juliet,Romeo and Juliet,main,1,5,1.5,6,67,158,1449,14,0.0957,0.0,-0.10319,-0.92075,0.03866,0.0121,0.38293,0.97326,0.37681
romeo-and-juliet,Romeo and Juliet,main,2,,2.Prologue,7,3,9,167,2,0.48603,0.7391,0.11233,0.97545,-0.06528,-0.0323,0.40991,1.04095,0.259
romeo-and-juliet,Romeo and Juliet,main,2,1,2.1,8,13,43,420,4,0.14786,0.0,0.20753,0.97916,0.09929,0.01233,0.38784,0.9763,0.43985
romeo-and-juliet,Romeo and Juliet,main,2,2,2.2,9,64,175,1889,6,0.18853,0.0,0.02342,0.80757,0.01543,-0.0105,0.44366,0.98112,0.40519
romeo-and-juliet,Romeo and Juliet,main,2,3,2.3,10,23,71,800,8,0.09146,0.0,0.10557,0.96816,-0.03561,-0.00559,0.45257,0.98327,0.40957
romeo-and-juliet,Romeo and Juliet,main,2,4,2.4,11,97,177,1873,5,0.133,0.0,-0.01983,-0.95934,0.03521,0.00921,0.34726,0.99144,0.38927
romeo-and-juliet,Romeo and Juliet,main,2,5,2.5,12,23,88,773,4,0.11704,0.0,-0.16468,-0.97661,-0.00107,-0.01501,0.31803,0.97621,0.33994
romeo-and-juliet,Romeo and Juliet,main,2,6,2.6,13,11,31,369,2,0.1627,0.0,0.35066,0.9932,0.05075,0.029,0.38751,0.9426,0.3691
romeo-and-juliet,Romeo and Juliet,main,3,1,3.1,14,76,200,1842,17,-0.10649,0.0,-0.23022,-0.98096,-0.03213,-0.00448,0.39755,0.95427,0.39269
romeo-and-juliet,Romeo and Juliet,main,3,2,3.2,15,27,134,1362,3,-0.15638,-0.05035,-0.253,-0.98383,-0.08574,-0.05842,0.48276,0.95234,0.48603
romeo-and-juliet,Romeo and Juliet,main,3,3,3.3,16,49,155,1629,9,-0.03332,0.0,-0.26098,-0.98395,-0.06899,-0.03136,0.44256,0.94758,0.42198
romeo-and-juliet,Romeo and Juliet,main,3,4,3.4,17,10,39,334,2,0.15531,0.0,0.17145,0.98858,-0.03725,0.01701,0.29922,0.98509,0.38729
romeo-and-juliet,Romeo and Juliet,main,3,5,3.5,18,79,246,2283,12,0.01865,0.0,-0.29605,-0.98642,-0.03132,-0.01774,0.41825,0.94389,0.40996
romeo-and-juliet,Romeo and Juliet,main,4,1,4.1,19,37,84,1124,4,0.03125,0.0,-0.02606,-0.86556,-0.09479,-0.04152,0.47648,0.99186,0.38546
romeo-and-juliet,Romeo and Juliet,main,4,2,4.2,20,28,62,502,7,0.11468,0.0,0.25845,0.98172,0.02834,0.012,0.30682,0.94546,0.33854
romeo-and-juliet,Romeo and Juliet,main,4,3,4.3,21,9,48,583,4,-0.08355,0.0,-0.18723,-0.98281,-0.08392,-0.05209,0.45278,0.96723,0.40666
romeo-and-juliet,Romeo and Juliet,main,4,4,4.4,22,24,53,300,9,0.03985,0.0,0.26387,0.96756,0.07325,0.01823,0.24443,0.93551,0.37072
romeo-and-juliet,Romeo and Juliet,main,4,5,4.5,23,57,175,1226,9,-0.08966,0.0,-0.24851,-0.9843,-0.03836,-0.01271,0.42644,0.9513,0.4848
romeo-and-juliet,Romeo and Juliet,main,5,1,5.1,24,24,78,799,6,-0.06956,0.0,-0.17151,-0.977,-0.02717,0.00632,0.41695,0.96492,0.40919
romeo-and-juliet,Romeo and Juliet,main,5,2,5.2,25,12,29,262,4,-0.10784,0.0,-0.27141,-0.98098,-0.10593,-0.01584,0.35302,0.94439,0.40087
romeo-and-juliet,Romeo and Juliet,main,5,3,5.3,26,88,304,3026,20,-0.15804,0.0,-0.1803,-0.97783,-0.0696,-0.01686,0.40132,0.96085,0.42079
