summary_level,include_stage_directions,play_id,play_title,section,act,scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
play,false,a-midsummer-nights-dream,A Midsummer Night's Dream,,,,,512,1611,19503,0,0.11507,0.0,-0.01379,-0.01181,0.4292,0.4072
act,false,a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,,,91,252,3130,0,0.2489,0.2023,0.07087,0.03414,0.39775,0.39152
act,false,a-midsummer-nights-dream,A Midsummer Night's Dream,main,2,,,67,307,3929,0,0.08582,0.0,-0.081,-0.03373,0.42785,0.3955
act,false,a-midsummer-nights-dream,A Midsummer Night's Dream,main,3,,,180,541,6305,0,0.04043,0.0,-0.02763,-0.02088,0.43197,0.41916
act,false,a-midsummer-nights-dream,A Midsummer Night's Dream,main,4,,,69,202,2482,0,0.16594,0.0,0.03583,0.00447,0.37815,0.36671
act,false,a-midsummer-nights-dream,A Midsummer Night's Dream,main,5,,,105,309,3657,0,0.13242,0.0,-0.02425,-0.01113,0.45209,0.42212
scene,false,a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,1,1,51,161,2235,0,0.28307,0.34,0.06721,0.05734,0.42629,0.43445
scene,false,a-midsummer-nights-dream,A Midsummer Night's Dream,main,1,2,2,40,91,895,0,0.18843,0.1139,0.07733,0.02294,0.33522,0.30312
scene,false,a-midsummer-nights-dream,A Midsummer Night's Dream,main,2,1,3,40,167,2537,0,0.05095,0.0,-0.09644,-0.03373,0.41316,0.35674
scene,false,a-midsummer-nights-dream,A Midsummer Night's Dream,main,2,2,4,27,140,1392,0,0.1274,0.0,-0.06257,-0.0303,0.44264,0.43788
scene,false,a-midsummer-nights-dream,A Midsummer Night's Dream,main,3,1,5,67,161,1774,0,0.10766,0.0,0.05981,0.01251,0.37742,0.39446
scene,false,a-midsummer-nights-dream,A Midsummer Night's Dream,main,3,2,6,113,380,4531,0,0.01194,0.0,-0.06467,-0.06728,0.45055,0.42428
scene,false,a-midsummer-nights-dream,A Midsummer Night's Dream,main,4,1,7,55,161,2066,0,0.15545,0.0,0.05316,0.01967,0.38716,0.36401
scene,false,a-midsummer-nights-dream,A Midsummer Night's Dream,main,4,2,8,14,41,416,0,0.20714,0.0,-0.03221,-0.03246,0.34174,0.37386
scene,false,a-midsummer-nights-dream,A Midsummer Night's Dream,main,5,1,9,105,309,3657,0,0.13242,0.0,-0.02425,-0.01113,0.45209,0.42212
play,false,all-s-well-that-ends-well,All's Well That Ends Well,,,,,958,2162,25542,0,0.10995,0.0,-0.01578,-0.01444,0.40876,0.40685
act,false,all-s-well-that-ends-well,All's Well That Ends Well,main,1,,,145,384,4988,0,0.17845,0.0,-0.00496,-0.03894,0.44791,0.44002
act,false,all-s-well-that-ends-well,All's Well That Ends Well,main,2,,,270,571,6518,0,0.13612,0.0,0.05266,0.01556,0.4034,0.40068
act,false,all-s-well-that-ends-well,All's Well That Ends Well,main,3,,,158,357,4148,0,0.05219,0.0,-0.07076,-0.0404,0.42865,0.40537
act,false,all-s-well-that-ends-well,All's Well That Ends Well,main,4,,,230,497,5956,0,0.0689,0.0,-0.05787,-0.02633,0.38819,0.37265
act,false,all-s-well-that-ends-well,All's Well That Ends Well,main,5,,,155,353,3932,0,0.10933,0.0,-0.02339,-0.00723,0.36577,0.41272
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,1,1,1,63,163,2059,0,0.13583,0.0,-0.03521,-0.08868,0.46764,0.44177
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,1,2,2,18,51,703,0,0.19856,0.2023,-0.0148,-0.04169,0.41585,0.41061
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,1,3,3,64,170,2226,0,0.21328,0.12655,0.027,-0.01736,0.43679,0.44709
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,2,1,4,63,144,1907,0,0.20023,0.0506,0.08184,0.10448,0.43142,0.40807
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,2,2,5,29,47,673,0,0.13702,0.0,0.02742,-0.00253,0.34281,0.3533
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,2,3,6,110,253,2650,0,0.11017,0.0,0.05541,0.01232,0.42149,0.40544
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,2,4,7,25,48,504,0,0.19491,0.0,0.0553,-0.00399,0.3376,0.39951
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,2,5,8,43,79,784,0,0.06613,0.0,0.00408,-0.01577,0.34519,0.40334
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,3,1,9,7,15,205,0,0.08363,0.3612,-0.05034,-0.14365,0.55761,0.45396
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,3,2,10,43,101,1135,0,-0.0282,0.0,-0.11008,-0.02801,0.40389,0.42018
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,3,3,11,4,7,100,0,0.32089,0.3774,0.28917,0.27911,0.55377,0.46623
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,3,4,12,5,31,404,0,0.04402,0.0,-0.13161,-0.22093,0.45687,0.37254
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,3,5,13,51,99,852,0,0.10222,0.0,0.00585,-0.00168,0.38216,0.3973
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,3,6,14,39,77,1032,0,0.03805,0.0,-0.13843,-0.17813,0.4561,0.38601
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,3,7,15,9,27,420,0,0.132,0.0,-0.04634,-0.01023,0.43471,0.37024
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,4,1,16,43,80,772,0,-0.03242,0.0,-0.05451,-0.03723,0.31882,0.36683
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,4,2,17,20,59,701,0,0.17774,0.0,-0.08158,-0.02859,0.44402,0.47364
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,4,3,18,124,260,3210,0,0.05432,0.0,-0.06005,-0.02184,0.37389,0.34769
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,4,4,19,5,23,343,0,0.19145,0.1779,-0.06738,-0.1411,0.48533,0.41319
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,4,5,20,38,75,930,0,0.10434,0.0,-0.03234,-0.02597,0.40059,0.36914
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,5,1,21,17,27,310,0,0.22774,0.0,0.03672,0.09638,0.34811,0.3665
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,5,2,22,19,52,486,0,0.07058,0.0,0.03326,0.04363,0.31,0.44323
scene,false,all-s-well-that-ends-well,All's Well That Ends Well,main,5,3,23,119,274,3136,0,0.10502,0.0,-0.04007,-0.01101,0.37592,0.41096
play,false,antony-and-cleopatra,Antony and Cleopatra,,,,,1227,2651,29782,0,0.07169,0.0,0.02073,0.00164,0.41189,0.40246
act,false,antony-and-cleopatra,Antony and Cleopatra,main,1,,,203,428,5056,0,0.05652,0.0,-0.01474,-0.00974,0.43004,0.39196
act,false,antony-and-cleopatra,Antony and Cleopatra,main,2,,,331,639,7095,0,0.13445,0.0,0.00917,0.00299,0.37681,0.37594
act,false,antony-and-cleopatra,Antony and Cleopatra,main,3,,,301,621,7261,0,0.037,0.0,-0.0062,-0.01209,0.41259,0.39618
act,false,antony-and-cleopatra,Antony and Cleopatra,main,4,,,228,563,5957,0,0.05046,0.0,0.06698,0.05906,0.43337,0.42787
act,false,antony-and-cleopatra,Antony and Cleopatra,main,5,,,164,400,4413,0,0.0714,0.0,0.05384,0.02827,0.40463,0.42045
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,1,1,1,19,53,623,0,0.12943,0.0,-0.02368,-0.00923,0.45313,0.31986
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,1,2,2,98,162,1763,0,0.02078,0.0,-0.02263,-0.01646,0.42551,0.38922
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,1,3,3,41,100,1123,0,0.04422,0.0,-0.03065,-0.021,0.43875,0.42743
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,1,4,4,14,46,820,0,-0.0636,0.0,-0.12975,-0.16975,0.40776,0.35586
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,1,5,5,31,67,727,0,0.18609,0.0,0.11409,0.01347,0.39521,0.39591
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,2,1,6,14,38,514,0,0.24611,0.2846,-0.06879,-0.06389,0.43063,0.37944
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,2,2,7,89,181,2307,0,0.16809,0.0,-0.03984,-0.01166,0.40899,0.3896
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,2,3,8,15,35,394,0,0.31795,0.3612,0.0107,0.07418,0.32258,0.36012
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,2,4,9,7,10,79,0,0.22968,0.15445,-0.05171,-0.11259,0.26556,0.32579
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,2,5,10,59,123,1225,0,0.05827,0.0,0.00951,0.0019,0.40819,0.41642
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,2,6,11,69,112,1235,0,0.13006,0.0,0.03688,0.02225,0.34895,0.33848
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,2,7,12,78,140,1341,0,0.07841,0.0,0.07521,0.02472,0.29981,0.34851
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,3,1,13,7,20,373,0,0.14967,0.0,0.00578,0.00981,0.44707,0.38418
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,3,2,14,39,66,655,0,0.11696,0.0,0.05035,0.01911,0.48223,0.41231
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,3,3,15,39,65,465,0,0.06121,0.0,-0.02516,-0.01241,0.30874,0.36948
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,3,4,16,5,24,394,0,0.0811,0.14325,-0.15662,-0.24836,0.48763,0.44112
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,3,5,17,12,20,194,0,-0.1937,-0.00955,0.02087,-0.00323,0.44089,0.38002
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,3,6,18,28,62,850,0,0.07833,0.0,-0.09195,-0.07215,0.43654,0.42445
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,3,7,19,40,66,768,0,-0.05605,0.0,-0.01386,-0.01188,0.3929,0.3384
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,3,8,20,3,8,60,0,-0.12244,0.0,-0.00946,-0.10606,0.2041,0.42803
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,3,9,21,1,2,30,0,-0.1909,-0.1909,0.02802,0.02802,0.26997,0.01237
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,3,10,22,15,27,347,0,-0.13207,0.0,-0.14451,-0.12546,0.4096,0.39541
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,3,11,23,29,74,706,0,0.0229,0.0,0.07692,0.00253,0.40398,0.45136
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,3,12,24,13,31,381,0,0.04618,0.0,0.07053,0.02314,0.32365,0.31822
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,3,13,25,70,156,2038,0,0.06958,0.0,0.0022,-0.01268,0.41082,0.38801
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,4,1,26,3,12,178,0,-0.32223,-0.3567,-0.05109,0.06795,0.22044,0.38867
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,4,2,27,18,46,494,0,0.14226,0.063,0.11767,0.20402,0.38342,0.42597
