play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
the-merchant-of-venice,The Merchant of Venice,main,1,1,1.1,1,32,97,1587,0,0.14738,0.1531,-0.25358,-0.98449,-0.07,-0.08337,0.47128,0.95039,0.36905
the-merchant-of-venice,The Merchant of Venice,main,1,2,1.2,2,30,75,1209,0,0.11391,0.0721,-0.15279,-0.97757,-0.12345,-0.06763,0.43118,0.97618,0.36342
the-merchant-of-venice,The Merchant of Venice,main,1,3,1.3,3,47,116,1505,0,0.13928,0.0,-0.22266,-0.96827,-0.04927,-0.01079,0.40805,0.94512,0.31839
the-merchant-of-venice,The Merchant of Venice,main,2,1,2.1,4,7,24,394,0,0.28589,0.41225,0.26691,0.98036,-0.04354,-0.01683,0.42314,0.95581,0.41747
the-merchant-of-venice,The Merchant of Venice,main,2,2,2.2,5,61,153,1712,0,0.1174,0.0,-0.05464,-0.90409,0.04201,0.07259,0.34783,0.97389,0.3956
the-merchant-of-venice,The Merchant of Venice,main,2,3,2.3,6,4,19,172,0,0.02222,0.0,-0.25558,-0.96384,0.02106,0.01445,0.41716,0.97646,0.42205
the-merchant-of-venice,The Merchant of Venice,main,2,4,2.4,7,19,31,302,0,0.22153,0.0,0.23665,0.98042,0.05812,0.07973,0.34462,0.96465,0.33086
the-merchant-of-venice,The Merchant of Venice,main,2,5,2.5,8,15,46,502,0,0.03193,0.0,-0.23824,-0.98063,-0.06153,-0.09461,0.27442,0.95859,0.37581
the-merchant-of-venice,The Merchant of Venice,main,2,6,2.6,9,23,62,557,0,0.19274,0.0,0.28514,0.99221,0.04805,-0.01447,0.4008,0.94093,0.38608
the-merchant-of-venice,The Merchant of Venice,main,2,7,2.7,10,7,58,737,0,0.12331,0.0,0.03514,0.9706,-0.02207,-0.00835,0.39129,0.99689,0.33753
the-merchant-of-venice,The Merchant of Venice,main,2,8,2.8,11,11,35,430,0,0.17399,0.0,0.08233,0.96851,-0.02731,-0.07418,0.39182,0.9999,0.43438
the-merchant-of-venice,The Merchant of Venice,main,2,9,2.9,12,17,69,836,0,0.09108,0.0,-0.15491,-0.97218,0.02983,-0.0143,0.37188,0.96452,0.35498
the-merchant-of-venice,The Merchant of Venice,main,3,1,3.1,13,40,111,1151,0,-0.02848,0.0,-0.30131,-0.98555,-0.10486,-0.0693,0.40948,0.93693,0.39065
the-merchant-of-venice,The Merchant of Venice,main,3,2,3.2,14,50,196,2874,0,0.22282,0.11535,0.04659,0.92434,-0.03478,-0.02337,0.46067,0.98181,0.43046
the-merchant-of-venice,The Merchant of Venice,main,3,3,3.3,15,9,35,336,0,-0.01203,0.0,-0.19974,-0.98612,-0.12567,-0.16432,0.35565,0.98428,0.44186
the-merchant-of-venice,The Merchant of Venice,main,3,4,3.4,16,14,41,652,0,0.21629,0.0,0.1156,0.97204,0.08042,0.07428,0.38935,0.96598,0.40576
the-merchant-of-venice,The Merchant of Venice,main,3,5,3.5,17,28,63,696,0,0.10658,0.0,0.16913,0.97695,-0.05425,-0.00836,0.39179,0.96802,0.39346
the-merchant-of-venice,The Merchant of Venice,main,4,1,4.1,18,135,329,3998,0,0.09261,0.0,-0.0363,-0.93743,0.00898,-0.01308,0.39599,0.97862,0.39091
the-merchant-of-venice,The Merchant of Venice,main,4,2,4.2,19,7,17,186,0,0.17582,0.0,0.49957,0.98294,0.05494,0.06044,0.30623,0.82759,0.38812
the-merchant-of-venice,The Merchant of Venice,main,5,1,5.1,20,92,215,2721,0,0.16643,0.0,0.09703,0.96638,-0.00042,-0.00958,0.37142,0.97733,0.40413
