play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score,dl2_score
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,1,stage_direction,,,"Enter SHALLOW, SLENDER, and SIR HUGH EVANS",0.0,-0.96752,0.28011
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,2,speech,SHALLOW,SHALLOW,"Sir Hugh, persuade me not; I will make a Star-
chamber matter of it: if he were twenty Sir John
Falstaffs, he shall not abuse Robert Shallow, esquire.",0.5216,0.85427,-0.31865
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,3,speech,SLENDER,SLENDER,"In the county of Gloucester, justice of peace and
'Coram.'",0.5423,0.98859,0.12048
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,4,speech,SHALLOW,SHALLOW,"Ay, cousin Slender, and 'Custalourum.",0.4019,0.9859,0.41503
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,5,speech,SLENDER,SLENDER,"Ay, and 'Rato-lorum' too; and a gentleman born,
master parson; who writes himself 'Armigero,' in any
bill, warrant, quittance, or obligation, 'Armigero.'",-0.296,0.97702,-0.12194
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,6,speech,SHALLOW,SHALLOW,"Ay, that I do; and have done any time these three
hundred years.",0.4019,0.99684,-0.01775
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,7,speech,SLENDER,SLENDER,"All his successors gone before him hath done't; and
all his ancestors that come after him may: they may
give the dozen white luces in their coat.",0.0,0.98932,0.03665
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,8,speech,SHALLOW,SHALLOW,It is an old coat.,0.0,-0.9955,-0.01412
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,9,speech,SIR HUGH EVANS,SIR HUGH EVANS,"The dozen white louses do become an old coat well;
it agrees well, passant; it is a familiar beast to
man, and signifies love.",0.743,0.99747,0.44107
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,10,speech,SHALLOW,SHALLOW,"The luce is the fresh fish; the salt fish is an old
coat.",0.0,0.97737,-0.00267
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,11,speech,SLENDER,SLENDER,"I may quarter, coz.",0.0,-0.98728,0.01212
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,12,speech,SHALLOW,SHALLOW,"You may, by marrying.",0.0,-0.97613,-0.09083
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,13,speech,SIR HUGH EVANS,SIR HUGH EVANS,"It is marring indeed, if he quarter it.",0.128,-0.99855,-0.13576
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,14,speech,SHALLOW,SHALLOW,Not a whit.,0.0,-0.99344,-0.54481
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,15,speech,SIR HUGH EVANS,SIR HUGH EVANS,"Yes, py'r lady; if he has a quarter of your coat,
there is but three skirts for yourself, in my
simple conjectures: but that is all one. If Sir
John Falstaff have committed disparagements unto
you, I am of the church, and will be glad to do my
benevolence to make atonements and compromises
between you.",0.9272,-0.98023,0.07791
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,16,speech,SHALLOW,SHALLOW,The council shall bear it; it is a riot.,0.2263,-0.99873,-0.27817
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,17,speech,SIR HUGH EVANS,SIR HUGH EVANS,"It is not meet the council hear a riot; there is no
fear of Got in a riot: the council, look you, shall
desire to hear the fear of Got, and not to hear a
riot; take your vizaments in that.",0.6575,-0.99794,-0.3271
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,18,speech,SHALLOW,SHALLOW,"Ha! o' my life, if I were young again, the sword
should end it.",-0.5599,-0.9933,-0.24667
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,19,speech,SIR HUGH EVANS,SIR HUGH EVANS,"It is petter that friends is the sword, and end it:
and there is also another device in my prain, which
peradventure prings goot discretions with it: there
is Anne Page, which is daughter to Master Thomas
Page, which is pretty virginity.",0.7964,0.85326,-0.04196
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,20,speech,SLENDER,SLENDER,"Mistress Anne Page? She has brown hair, and speaks
small like a woman.",0.3612,0.98926,-0.18308
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,21,speech,SIR HUGH EVANS,SIR HUGH EVANS,"It is that fery person for all the orld, as just as
you will desire; and seven hundred pounds of moneys,
and gold and silver, is her grandsire upon his
death's-bed—Got deliver to a joyful resurrections!
—give, when she is able to overtake seventeen years
old: it were a goot motion if we leave our pribbles
and prabbles, and desire a marriage between Master
Abraham and Mistress Anne Page.",0.7906,0.96552,-0.00692
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,22,speech,SLENDER,SLENDER,Did her grandsire leave her seven hundred pound?,-0.0516,-0.99562,-0.05428
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,23,speech,SIR HUGH EVANS,SIR HUGH EVANS,"Ay, and her father is make her a petter penny.",0.4019,0.99486,-0.27414
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,24,speech,SLENDER,SLENDER,I know the young gentlewoman; she has good gifts.,0.4404,0.9938,0.46994
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,25,speech,SIR HUGH EVANS,SIR HUGH EVANS,Seven hundred pounds and possibilities is goot gifts.,0.4877,0.99637,-0.1902
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,26,speech,SHALLOW,SHALLOW,"Well, let us see honest Master Page. Is Falstaff there?",0.6124,0.98908,0.39065
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,27,speech,SIR HUGH EVANS,SIR HUGH EVANS,"Shall I tell you a lie? I do despise a liar as I do
despise one that is false, or as I despise one that
is not true. The knight, Sir John, is there; and, I
beseech you, be ruled by your well-willers. I will
peat the door for Master Page.",-0.8591,-0.93559,-0.03654
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,28,speech,SIR HUGH EVANS,SIR HUGH EVANS,"What, hoa! Got pless your house here!",0.6688,0.99699,0.77555
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,29,speech,PAGE,PAGE,[Within] Who's there?,0.0,-0.97616,-0.00234
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,30,stage_direction,,,Enter PAGE,0.0,0.97079,0.01257
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,31,speech,SIR HUGH EVANS,SIR HUGH EVANS,"Here is Got's plessing, and your friend, and Justice
Shallow; and here young Master Slender, that
peradventures shall tell you another tale, if
matters grow to your likings.",0.8442,0.97346,0.38126
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,32,speech,PAGE,PAGE,"I am glad to see your worships well.
I thank you for my venison, Master Shallow.",0.8779,0.99742,0.47921
the-merry-wives-of-windsor,The Merry Wives of Windsor,main,1,1,1,33,speech,SHALLOW,SHALLOW,"Master Page, I am glad to see you: much good do it
your good heart! I wished your venison better; it
was ill killed. How doth good Mistress Page?—and I
thank you always with my heart, la! with my heart.",0.9733,0.9976,0.76447
