play_id,play_title,section,act,scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
the-taming-of-the-shrew,The Taming of the Shrew,prologue,0,1,1,81,200,2362,0,0.1408,0.0,0.026,0.00726,0.40364,0.39067
the-taming-of-the-shrew,The Taming of the Shrew,main,1,1,2,67,183,2206,0,0.18462,0.0,0.04481,0.0028,0.40824,0.38794
the-taming-of-the-shrew,The Taming of the Shrew,main,1,2,3,87,197,2422,0,0.15526,0.0,0.03865,-0.00277,0.39936,0.37505
the-taming-of-the-shrew,The Taming of the Shrew,main,2,1,4,143,321,3688,0,0.11761,0.0,0.01335,-0.01036,0.38528,0.37858
the-taming-of-the-shrew,The Taming of the Shrew,main,3,1,5,31,61,818,0,0.06001,0.0,0.02791,0.03362,0.37201,0.37319
the-taming-of-the-shrew,The Taming of the Shrew,main,3,2,6,85,173,2131,0,0.07031,0.0,-0.03227,-0.03227,0.3605,0.38101
the-taming-of-the-shrew,The Taming of the Shrew,main,4,1,7,71,172,1766,0,0.01106,0.0,-0.02681,-0.02144,0.36216,0.40133
the-taming-of-the-shrew,The Taming of the Shrew,main,4,2,8,48,99,1069,0,0.18204,0.0,0.11605,0.08653,0.37546,0.41711
the-taming-of-the-shrew,The Taming of the Shrew,main,4,3,9,77,175,1715,0,0.02458,0.0,-0.03106,-0.01474,0.39249,0.40203
the-taming-of-the-shrew,The Taming of the Shrew,main,4,4,10,36,82,873,0,0.18038,0.0,0.12989,0.08169,0.33164,0.32882
the-taming-of-the-shrew,The Taming of the Shrew,main,4,5,11,27,60,760,0,0.27843,0.3282,0.20041,0.23883,0.43379,0.3461
the-taming-of-the-shrew,The Taming of the Shrew,main,5,1,12,77,141,1145,0,0.00106,0.0,0.00103,-0.01795,0.41143,0.44686
the-taming-of-the-shrew,The Taming of the Shrew,main,5,2,13,96,165,1676,0,0.11555,0.0,-0.00504,0.00174,0.38387,0.42683
