play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,1,1,1.1,1,72,129,1390,5,0.11723,0.0,-0.19228,-0.98934,-0.12054,-0.13077,0.43865,0.97245,0.38371
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,1,2,1.2,2,80,141,1305,6,0.11635,0.0,-0.23374,-0.98616,-0.00944,-0.0099,0.38259,0.96272,0.37674
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,1,3,1.3,3,29,71,792,5,0.2114,0.0,0.25461,0.98198,0.04158,0.01632,0.38781,0.9552,0.37494
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,2,1,2.1,4,97,169,1550,4,0.21014,0.0,-0.00802,-0.94318,0.02063,-0.0116,0.33225,0.99036,0.40318
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,2,2,2.2,5,14,29,205,4,0.17514,0.0,0.24011,0.98243,-0.00377,0.01018,0.3686,0.97566,0.42708
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,2,3,2.3,6,18,69,600,3,-0.08276,0.0,-0.30029,-0.98771,0.00591,-0.00213,0.30028,0.94127,0.46821
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,2,4,2.4,7,107,198,1792,10,0.17001,0.0,0.21349,0.97592,-0.01882,0.00598,0.39095,0.95675,0.37498
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,2,5,2.5,8,35,54,429,2,0.04895,0.0,-0.11135,-0.98022,-0.05047,-0.02895,0.31322,0.99324,0.44747
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,2,6,2.6,9,3,30,409,2,0.21113,0.17615,-0.26132,-0.99196,0.02258,-0.01954,0.51942,0.96888,0.44617
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,2,7,2.7,10,27,59,762,2,0.1612,0.0,-0.07883,-0.9503,0.01975,0.02228,0.43551,0.99072,0.39762
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,3,1,3.1,11,146,313,3233,10,0.073,0.0,-0.14891,-0.9754,-0.05325,-0.0204,0.38245,0.97192,0.36983
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,3,2,3.2,12,34,63,837,3,0.10516,0.0,-0.00321,-0.34188,-0.0928,-0.18086,0.48431,0.99044,0.42622
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,4,1,4.1,13,41,69,605,3,-0.06073,0.0,0.01348,0.84622,-0.05071,-0.008,0.408,0.99091,0.40224
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,4,2,4.2,14,72,143,1331,8,0.20095,0.0,0.10125,0.96479,0.00727,0.01993,0.428,0.97314,0.40101
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,4,3,4.3,15,15,36,395,3,0.20544,0.0386,0.43709,0.98984,0.05363,0.03499,0.41503,0.89915,0.42184
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,4,4,4.4,16,57,165,1848,7,0.06542,0.0,-0.12076,-0.97662,-0.01615,-0.00771,0.44532,0.97995,0.39541
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,5,1,5.1,17,7,16,110,3,0.12398,0.0,0.62167,0.99303,0.00137,-0.03507,0.22383,0.79871,0.31235
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,5,2,5.2,18,42,61,493,6,0.05954,0.0,-0.30807,-0.98008,-0.07054,-0.01943,0.31336,0.94671,0.3502
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,5,3,5.3,19,9,16,123,2,0.04818,0.0,0.24787,0.97946,0.18821,0.15591,0.16432,0.98694,0.33052
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,main,5,4,5.4,20,56,154,1566,4,0.12421,0.0,-0.00927,-0.54872,0.03603,0.03684,0.46856,0.98113,0.44773
