play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score,dl2_score
the-winters-tale,The Winter's Tale,main,1,1,1,1,stage_direction,,,Enter CAMILLO and ARCHIDAMUS,0.0,0.98578,0.09448
the-winters-tale,The Winter's Tale,main,1,1,1,2,speech,ARCHIDAMUS,ARCHIDAMUS,"If you shall chance, Camillo, to visit Bohemia, on
the like occasion whereon my services are now on
foot, you shall see, as I have said, great
difference betwixt our Bohemia and your Sicilia.",0.0,0.95514,0.01377
the-winters-tale,The Winter's Tale,main,1,1,1,3,speech,CAMILLO,CAMILLO,"I think, this coming summer, the King of Sicilia
means to pay Bohemia the visitation which he justly
owes him.",0.0,0.9968,-0.183
the-winters-tale,The Winter's Tale,main,1,1,1,4,speech,ARCHIDAMUS,ARCHIDAMUS,"Wherein our entertainment shall shame us we will be
justified in our loves; for indeed—",0.8748,0.99741,0.41517
the-winters-tale,The Winter's Tale,main,1,1,1,5,speech,CAMILLO,CAMILLO,Beseech you—,0.0,-0.98965,0.40932
the-winters-tale,The Winter's Tale,main,1,1,1,6,speech,ARCHIDAMUS,ARCHIDAMUS,"Verily, I speak it in the freedom of my knowledge:
we cannot with such magnificence—in so rare—I know not
what to say. We will give you sleepy drinks, that your
senses, unintelligent of our insufficience, may, though
they cannot praise us, as little accuse us.",0.4939,0.99328,-0.53671
the-winters-tale,The Winter's Tale,main,1,1,1,7,speech,CAMILLO,CAMILLO,You pay a great deal too dear for what's given freely.,0.4932,0.99486,-0.17541
the-winters-tale,The Winter's Tale,main,1,1,1,8,speech,ARCHIDAMUS,ARCHIDAMUS,"Believe me, I speak as my understanding instructs me
and as mine honesty puts it to utterance.",0.7501,0.99721,-0.63539
the-winters-tale,The Winter's Tale,main,1,1,1,9,speech,CAMILLO,CAMILLO,"Sicilia cannot show himself over-kind to Bohemia.
They were trained together in their childhoods; and
there rooted betwixt them then such an affection,
which cannot choose but branch now. Since their
more mature dignities and royal necessities made
separation of their society, their encounters,
though not personal, have been royally attorneyed
with interchange of gifts, letters, loving
embassies; that they have seemed to be together,
though absent, shook hands, as over a vast, and
embraced, as it were, from the ends of opposed
winds. The heavens continue their loves!",0.9472,0.99712,0.08545
the-winters-tale,The Winter's Tale,main,1,1,1,10,speech,ARCHIDAMUS,ARCHIDAMUS,"I think there is not in the world either malice or
matter to alter it. You have an unspeakable
comfort of your young prince Mamillius: it is a
gentleman of the greatest promise that ever came
into my note.",0.7656,0.99756,0.66763
the-winters-tale,The Winter's Tale,main,1,1,1,11,speech,CAMILLO,CAMILLO,"I very well agree with you in the hopes of him: it
is a gallant child; one that indeed physics the
subject, makes old hearts fresh: they that went on
crutches ere he was born desire yet their life to
see him a man.",0.6994,0.99764,0.49856
the-winters-tale,The Winter's Tale,main,1,1,1,12,speech,ARCHIDAMUS,ARCHIDAMUS,Would they else be content to die?,-0.0516,-0.98115,-0.38603
the-winters-tale,The Winter's Tale,main,1,1,1,13,speech,CAMILLO,CAMILLO,"Yes; if there were no other excuse why they should
desire to live.",0.4019,-0.92428,-0.21512
the-winters-tale,The Winter's Tale,main,1,1,1,14,speech,ARCHIDAMUS,ARCHIDAMUS,"If the king had no son, they would desire to live
on crutches till he had one.",0.1511,-0.97656,-0.13398
the-winters-tale,The Winter's Tale,main,1,1,1,15,stage_direction,,,Exeunt,-0.0516,-0.99835,-0.33505
the-winters-tale,The Winter's Tale,main,1,2,2,16,stage_direction,,,"Enter LEONTES, HERMIONE, MAMILLIUS, POLIXENES, CAMILLO, and Attendants",0.0,0.98462,0.20445
the-winters-tale,The Winter's Tale,main,1,2,2,17,speech,POLIXENES,POLIXENES,"Nine changes of the watery star hath been
The shepherd's note since we have left our throne
Without a burthen: time as long again
Would be filled up, my brother, with our thanks;
And yet we should, for perpetuity,
Go hence in debt: and therefore, like a cipher,
Yet standing in rich place, I multiply
With one 'We thank you' many thousands more
That go before it.",0.7759,0.99075,0.72598
the-winters-tale,The Winter's Tale,main,1,2,2,18,speech,LEONTES,LEONTES,"Stay your thanks a while;
And pay them when you part.",-0.4215,-0.99873,-0.37328
the-winters-tale,The Winter's Tale,main,1,2,2,19,speech,POLIXENES,POLIXENES,"Sir, that's to-morrow.
I am question'd by my fears, of what may chance
Or breed upon our absence; that may blow
No sneaking winds at home, to make us say
'This is put forth too truly:' besides, I have stay'd
To tire your royalty.",-0.1027,-0.99879,-0.02228
the-winters-tale,The Winter's Tale,main,1,2,2,20,speech,LEONTES,LEONTES,"We are tougher, brother,
Than you can put us to't.",0.5562,0.99593,0.5101
the-winters-tale,The Winter's Tale,main,1,2,2,21,speech,POLIXENES,POLIXENES,No longer stay.,0.0,-0.99674,-0.36367
the-winters-tale,The Winter's Tale,main,1,2,2,22,speech,LEONTES,LEONTES,One seven-night longer.,0.0,0.99369,-0.45635
the-winters-tale,The Winter's Tale,main,1,2,2,23,speech,POLIXENES,POLIXENES,"Very sooth, to-morrow.",0.0,0.97798,0.57842
the-winters-tale,The Winter's Tale,main,1,2,2,24,speech,LEONTES,LEONTES,"We'll part the time between's then; and in that
I'll no gainsaying.",0.2584,-0.98612,-0.30051
the-winters-tale,The Winter's Tale,main,1,2,2,25,speech,POLIXENES,POLIXENES,"Press me not, beseech you, so.
There is no tongue that moves, none, none i' the world,
So soon as yours could win me: so it should now,
Were there necessity in your request, although
'Twere needful I denied it. My affairs
Do even drag me homeward: which to hinder
Were in your love a whip to me; my stay
To you a charge and trouble: to save both,
Farewell, our brother.",0.2813,-0.99403,0.7004
the-winters-tale,The Winter's Tale,main,1,2,2,26,speech,LEONTES,LEONTES,"Tongue-tied, our queen?
speak you.",0.0,-0.99354,-0.1593
the-winters-tale,The Winter's Tale,main,1,2,2,27,speech,HERMIONE,HERMIONE,"I had thought, sir, to have held my peace until
You have drawn oaths from him not to stay. You, sir,
Charge him too coldly. Tell him, you are sure
All in Bohemia's well; this satisfaction
The by-gone day proclaim'd: say this to him,
He's beat from his best ward.",0.5267,-0.99885,-0.55628
the-winters-tale,The Winter's Tale,main,1,2,2,28,speech,LEONTES,LEONTES,"Well said, Hermione.",0.2732,0.99706,0.15739
the-winters-tale,The Winter's Tale,main,1,2,2,29,speech,HERMIONE,HERMIONE,"To tell, he longs to see his son, were strong:
But let him say so then, and let him go;
But let him swear so, and he shall not stay,
We'll thwack him hence with distaffs.
Yet of your royal presence I'll adventure
The borrow of a week. When at Bohemia
You take my lord, I'll give him my commission
To let him there a month behind the gest
Prefix'd for's parting: yet, good deed, Leontes,
I love thee not a jar o' the clock behind
What lady-she her lord. You'll stay?",0.8932,0.98643,-0.78229
the-winters-tale,The Winter's Tale,main,1,2,2,30,speech,POLIXENES,POLIXENES,"No, madam.",0.0,-0.99402,-0.21368
the-winters-tale,The Winter's Tale,main,1,2,2,31,speech,HERMIONE,HERMIONE,"Nay, but you will?",0.3182,-0.97686,0.46377
the-winters-tale,The Winter's Tale,main,1,2,2,32,speech,POLIXENES,POLIXENES,"I may not, verily.",0.4404,-0.99826,-0.33933
the-winters-tale,The Winter's Tale,main,1,2,2,33,speech,HERMIONE,HERMIONE,"Verily!
You put me off with limber vows; but I,
Though you would seek t'unsphere the
stars with oaths,
Should yet say 'Sir, no going.' Verily,
You shall not go. A lady's 'Verily' is
As potent as a lord's. Will you go yet?
Force me to keep you as a prisoner,
Not like a guest; so you shall pay your fees
When you depart, and save your thanks. How say you?
My prisoner? or my guest? by your dread 'Verily,'
One of them you shall be.",0.3011,-0.98823,-0.51891
the-winters-tale,The Winter's Tale,main,1,2,2,34,speech,POLIXENES,POLIXENES,"Your guest, then, madam:
To be your prisoner should import offending;
Which is for me less easy to commit
Than you to punish.",-0.8519,-0.96506,-0.31504
the-winters-tale,The Winter's Tale,main,1,2,2,35,speech,HERMIONE,HERMIONE,"Not your gaoler, then,
But your kind hostess. Come, I'll question you
Of my lord's tricks and yours when you were boys:
You were pretty lordings then?",0.7506,0.992,0.56819
the-winters-tale,The Winter's Tale,main,1,2,2,36,speech,POLIXENES,POLIXENES,"We were, fair queen,
Two lads that thought there was no more behind
But such a day to-morrow as to-day,
And to be boy eternal.",0.0772,0.9875,-0.55679
the-winters-tale,The Winter's Tale,main,1,2,2,37,speech,HERMIONE,HERMIONE,"Was not my lord
The verier wag o' the two?",-0.4588,-0.99674,-0.41015
the-winters-tale,The Winter's Tale,main,1,2,2,38,speech,POLIXENES,POLIXENES,"We were as twinn'd lambs that did frisk i' the sun,
And bleat the one at the other: what we changed
Was innocence for innocence; we knew not
The doctrine of ill-doing, nor dream'd
That any did. Had we pursued that life,
And our weak spirits ne'er been higher rear'd
With stronger blood, we should have answer'd heaven
Boldly 'not guilty;' the imposition clear'd
Hereditary ours.",0.9759,-0.97232,-0.78519
