play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
timon-of-athens,Timon of Athens,main,1,1,1.1,1,158,251,2409,0,0.18304,0.0,0.18697,0.98077,0.08506,0.01577,0.37132,0.96708,0.36799
timon-of-athens,Timon of Athens,main,1,2,1.2,2,86,187,2301,0,0.23622,0.2732,0.15139,0.9872,0.04704,0.0322,0.42788,0.97738,0.43926
timon-of-athens,Timon of Athens,main,2,1,2.1,3,7,24,372,0,0.12325,0.0386,-0.33992,-0.99204,-0.08665,-0.02671,0.322,0.94367,0.41249
timon-of-athens,Timon of Athens,main,2,2,2.2,4,105,192,1987,0,-0.01348,0.0,-0.3832,-0.98772,-0.08367,-0.05852,0.3613,0.91001,0.35627
timon-of-athens,Timon of Athens,main,3,1,3.1,5,18,46,448,0,0.14221,0.0,-0.0367,-0.81585,-0.08548,-0.01487,0.3886,0.99376,0.40023
timon-of-athens,Timon of Athens,main,3,2,3.2,6,25,58,590,0,0.1307,0.0129,-0.05859,-0.9713,-0.09589,-0.08614,0.36618,0.98396,0.47865
timon-of-athens,Timon of Athens,main,3,3,3.3,7,4,26,395,0,-0.00432,0.0,-0.70387,-0.9953,-0.26604,-0.33217,0.50149,0.69759,0.40087
timon-of-athens,Timon of Athens,main,3,4,3.4,8,72,113,859,0,0.03325,0.0,-0.16892,-0.96877,0.00849,-0.0065,0.33074,0.97273,0.38198
timon-of-athens,Timon of Athens,main,3,5,3.5,9,26,79,919,0,-0.2081,-0.3612,-0.17537,-0.97796,-0.1066,-0.08221,0.49817,0.96911,0.42832
timon-of-athens,Timon of Athens,main,3,6,3.6,10,58,98,879,0,0.02545,0.0,-0.14144,-0.98163,-0.00561,-0.01079,0.38541,0.98195,0.35826
timon-of-athens,Timon of Athens,main,4,1,4.1,11,1,17,327,0,-0.18048,-0.4003,-0.62605,-0.99165,0.0348,0.07469,0.51839,0.7721,0.51083
timon-of-athens,Timon of Athens,main,4,2,4.2,12,8,35,444,0,0.01113,0.0,-0.26673,-0.98395,-0.20745,-0.27055,0.52037,0.9557,0.44447
timon-of-athens,Timon of Athens,main,4,3,4.3,13,166,407,4702,0,-0.04439,0.0,-0.34204,-0.98359,-0.07253,-0.07814,0.44264,0.91825,0.44484
timon-of-athens,Timon of Athens,main,5,1,5.1,14,76,173,1929,0,0.08985,0.0,0.26209,0.9837,0.06744,0.08375,0.41049,0.94706,0.40017
timon-of-athens,Timon of Athens,main,5,2,5.2,15,6,12,142,0,0.12642,0.0,-0.49177,-0.98579,-0.03789,-0.00371,0.50475,0.89676,0.32278
timon-of-athens,Timon of Athens,main,5,3,5.3,16,1,13,103,0,-0.13257,0.0,-0.38313,-0.98908,-0.2211,-0.12583,0.31121,0.94916,0.38134
timon-of-athens,Timon of Athens,main,5,4,5.4,17,15,43,714,0,-0.11925,-0.1531,-0.28021,-0.97931,-0.16909,-0.14453,0.50604,0.94094,0.37025
