play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
titus-andronicus,Titus Andronicus,main,1,1,1.1,1,113,241,3665,0,0.16866,0.0772,0.23238,0.98494,0.13078,0.07918,0.50032,0.9553,0.47049
titus-andronicus,Titus Andronicus,main,2,1,2.1,2,28,73,1031,0,0.09762,0.0,-0.16447,-0.97988,0.00557,-0.02115,0.42879,0.9764,0.41814
titus-andronicus,Titus Andronicus,main,2,2,2.2,3,9,13,212,0,0.31503,0.3818,0.66769,0.98941,-0.00572,0.05426,0.32622,0.74181,0.36973
titus-andronicus,Titus Andronicus,main,2,3,2.3,4,77,162,2285,0,-0.11718,0.0,-0.46569,-0.98752,-0.18174,-0.20138,0.49745,0.85517,0.44881
titus-andronicus,Titus Andronicus,main,2,4,2.4,5,8,28,470,0,-0.06487,0.0,-0.55193,-0.99126,-0.10212,-0.0633,0.48923,0.81594,0.39748
titus-andronicus,Titus Andronicus,main,3,1,3.1,6,60,162,2486,0,-0.00295,0.0,-0.42456,-0.98441,-0.05492,-0.03198,0.51584,0.87728,0.45912
titus-andronicus,Titus Andronicus,main,3,2,3.2,7,15,46,673,0,-0.26923,-0.3807,-0.63902,-0.99262,-0.17557,-0.10715,0.42365,0.75611,0.45109
titus-andronicus,Titus Andronicus,main,4,1,4.1,8,33,85,1192,0,0.04036,0.0,-0.02155,-0.92704,0.03595,0.06275,0.42265,0.98238,0.43523
titus-andronicus,Titus Andronicus,main,4,2,4.2,9,61,128,1680,0,-0.02839,0.0,-0.19735,-0.97724,0.07237,0.02092,0.45659,0.96159,0.42102
titus-andronicus,Titus Andronicus,main,4,3,4.3,10,31,93,1023,0,0.06989,0.0,-0.03219,-0.96647,0.07744,0.02851,0.37192,0.98008,0.40056
titus-andronicus,Titus Andronicus,main,4,4,4.4,11,23,59,844,0,0.0598,0.0,0.02553,0.56124,0.02485,-0.00902,0.4863,0.95825,0.37721
titus-andronicus,Titus Andronicus,main,5,1,5.1,12,36,76,1358,0,0.07181,0.0,-0.16243,-0.95999,-0.01261,-0.00014,0.49113,0.95899,0.42551
titus-andronicus,Titus Andronicus,main,5,2,5.2,13,42,124,1807,0,-0.21888,-0.0981,-0.294,-0.98084,0.03653,-0.00305,0.4978,0.93668,0.41375
titus-andronicus,Titus Andronicus,main,5,3,5.3,14,45,127,1755,0,-0.0169,0.0,-0.04324,-0.92358,-0.02634,-0.00819,0.53001,0.98433,0.46374
