play_id,play_title,section,act,scene,scene_index_in_play,unit_index_in_play,type,speaker_original,speaker_normalized,original_text,vader_score,dl_score,dl2_score
troilus-and-cressida,Troilus and Cressida,main,1,,1,1,speech,PROLOGUE,PROLOGUE,"In Troy, there lies the scene. From isles of Greece
The princes orgulous, their high blood chafed,
Have to the port of Athens sent their ships,
Fraught with the ministers and instruments
Of cruel war: sixty and nine, that wore
Their crownets regal, from the Athenian bay
Put forth toward Phrygia; and their vow is made
To ransack Troy, within whose strong immures
The ravish'd Helen, Menelaus' queen,
With wanton Paris sleeps; and that's the quarrel.
To Tenedos they come;
And the deep-drawing barks do there disgorge
Their warlike fraughtage: now on Dardan plains
The fresh and yet unbruised Greeks do pitch
Their brave pavilions: Priam's six-gated city,
Dardan, and Tymbria, Helias, Chetas, Troien,
And Antenorides, with massy staples
And corresponsive and fulfilling bolts,
Sperr up the sons of Troy.
Now expectation, tickling skittish spirits,
On one and other side, Trojan and Greek,
Sets all on hazard: and hither am I come
A prologue arm'd, but not in confidence
Of author's pen or actor's voice, but suited
In like conditions as our argument,
To tell you, fair beholders, that our play
Leaps o'er the vaunt and firstlings of those broils,
Beginning in the middle, starting thence away
To what may be digested in a play.
Like or find fault; do as your pleasures are:
Now good or bad, 'tis but the chance of war.",0.7701,0.99624,0.02239
troilus-and-cressida,Troilus and Cressida,main,1,1,2,2,stage_direction,,,"Enter TROILUS armed, and PANDARUS",-0.4404,-0.99506,0.01989
troilus-and-cressida,Troilus and Cressida,main,1,1,2,3,speech,TROILUS,TROILUS,"Call here my varlet; I'll unarm again:
Why should I war without the walls of Troy,
That find such cruel battle here within?
Each Trojan that is master of his heart,
Let him to field; Troilus, alas! hath none.",-0.8043,-0.99608,-0.54693
troilus-and-cressida,Troilus and Cressida,main,1,1,2,4,speech,PANDARUS,PANDARUS,Will this gear ne'er be mended?,-0.5445,-0.99366,-0.61707
troilus-and-cressida,Troilus and Cressida,main,1,1,2,5,speech,TROILUS,TROILUS,"The Greeks are strong and skilful to their strength,
Fierce to their skill and to their fierceness valiant;
But I am weaker than a woman's tear,
Tamer than sleep, fonder than ignorance,
Less valiant than the virgin in the night
And skilless as unpractised infancy.",0.0388,-0.99488,-0.56606
troilus-and-cressida,Troilus and Cressida,main,1,1,2,6,speech,PANDARUS,PANDARUS,"Well, I have told you enough of this: for my part,
I'll not meddle nor make no further. He that will
have a cake out of the wheat must needs tarry the
grinding.",0.1091,-0.99421,-0.38464
troilus-and-cressida,Troilus and Cressida,main,1,1,2,7,speech,TROILUS,TROILUS,Have I not tarried?,0.0,0.97189,-0.04443
troilus-and-cressida,Troilus and Cressida,main,1,1,2,8,speech,PANDARUS,PANDARUS,"Ay, the grinding; but you must tarry
the bolting.",0.2144,0.99152,-0.29646
troilus-and-cressida,Troilus and Cressida,main,1,1,2,9,speech,TROILUS,TROILUS,Have I not tarried?,0.0,0.97189,-0.04443
troilus-and-cressida,Troilus and Cressida,main,1,1,2,10,speech,PANDARUS,PANDARUS,"Ay, the bolting, but you must tarry the leavening.",0.2144,0.99724,-0.19016
troilus-and-cressida,Troilus and Cressida,main,1,1,2,11,speech,TROILUS,TROILUS,Still have I tarried.,0.0,-0.98049,0.69338
troilus-and-cressida,Troilus and Cressida,main,1,1,2,12,speech,PANDARUS,PANDARUS,"Ay, to the leavening; but here's yet in the word
'hereafter' the kneading, the making of the cake, the
heating of the oven and the baking; nay, you must
stay the cooling too, or you may chance to burn your
lips.",0.2144,0.98398,0.20073
troilus-and-cressida,Troilus and Cressida,main,1,1,2,13,speech,TROILUS,TROILUS,"Patience herself, what goddess e'er she be,
Doth lesser blench at sufferance than I do.
At Priam's royal table do I sit;
And when fair Cressid comes into my thoughts,—
So, traitor! 'When she comes!' When is she thence?",0.6945,0.99322,-0.04674
troilus-and-cressida,Troilus and Cressida,main,1,1,2,14,speech,PANDARUS,PANDARUS,"Well, she looked yesternight fairer than ever I saw
her look, or any woman else.",0.6369,0.99723,-0.47469
troilus-and-cressida,Troilus and Cressida,main,1,1,2,15,speech,TROILUS,TROILUS,"I was about to tell thee:— when my heart,
As wedged with a sigh, would rive in twain,
Lest Hector or my father should perceive me,
I have, as when the sun doth light a storm,
Buried this sigh in wrinkle of a smile:
But sorrow, that is couch'd in seeming gladness,
Is like that mirth fate turns to sudden sadness.",0.7506,-0.99679,-0.81929
troilus-and-cressida,Troilus and Cressida,main,1,1,2,16,speech,PANDARUS,PANDARUS,"An her hair were not somewhat darker than Helen's—
well, go to—there were no more comparison between
the women: but, for my part, she is my kinswoman; I
would not, as they term it, praise her: but I would
somebody had heard her talk yesterday, as I did. I
will not dispraise your sister Cassandra's wit, but—",0.8872,0.99375,-0.11148
troilus-and-cressida,Troilus and Cressida,main,1,1,2,17,speech,TROILUS,TROILUS,"O Pandarus! I tell thee, Pandarus,—
When I do tell thee, there my hopes lie drown'd,
Reply not in how many fathoms deep
They lie indrench'd. I tell thee I am mad
In Cressid's love: thou answer'st 'she is fair;'
Pour'st in the open ulcer of my heart
Her eyes, her hair, her cheek, her gait, her voice,
Handlest in thy discourse , O, that her hand,
In whose comparison all whites are ink,
Writing their own reproach, to whose soft seizure
The cygnet's down is harsh and spirit of sense
Hard as the palm of ploughman: this thou tell'st me,
As true thou tell'st me, when I say I love her;
But, saying thus, instead of oil and balm,
Thou lay'st in every gash that love hath given me
The knife that made it.",0.98,-0.98321,0.82373
troilus-and-cressida,Troilus and Cressida,main,1,1,2,18,speech,PANDARUS,PANDARUS,I speak no more than truth.,0.4215,0.98491,-0.27897
troilus-and-cressida,Troilus and Cressida,main,1,1,2,19,speech,TROILUS,TROILUS,Thou dost not speak so much.,0.3612,-0.82086,-0.50918
troilus-and-cressida,Troilus and Cressida,main,1,1,2,20,speech,PANDARUS,PANDARUS,"Faith, I'll not meddle in't. Let her be as she is:
if she be fair, 'tis the better for her; an she be
not, she has the mends in her own hands.",0.7096,-0.99025,0.02336
troilus-and-cressida,Troilus and Cressida,main,1,1,2,21,speech,TROILUS,TROILUS,"Good Pandarus, how now, Pandarus!",0.5378,-0.98117,0.51873
troilus-and-cressida,Troilus and Cressida,main,1,1,2,22,speech,PANDARUS,PANDARUS,"I have had my labour for my travail; ill-thought on of
her and ill-thought on of you; gone between and
between, but small thanks for my labour.",-0.4224,-0.999,-0.78363
troilus-and-cressida,Troilus and Cressida,main,1,1,2,23,speech,TROILUS,TROILUS,"What, art thou angry, Pandarus? what, with me?",-0.1926,-0.96243,-0.68639
troilus-and-cressida,Troilus and Cressida,main,1,1,2,24,speech,PANDARUS,PANDARUS,"Because she's kin to me, therefore she's not so fair
as Helen: an she were not kin to me, she would be as
fair on Friday as Helen is on Sunday. But what care
I? I care not an she were a black-a-moor; 'tis all one
to me.",-0.0554,0.98818,-0.45344
troilus-and-cressida,Troilus and Cressida,main,1,1,2,25,speech,TROILUS,TROILUS,Say I she is not fair?,0.3182,-0.96845,-0.16762
troilus-and-cressida,Troilus and Cressida,main,1,1,2,26,speech,PANDARUS,PANDARUS,"I do not care whether you do or no. She's a fool to
stay behind her father; let her to the Greeks; and so
I'll tell her the next time I see her: for my part,
I'll meddle nor make no more i' the matter.",-0.0572,-0.99847,-0.50021
troilus-and-cressida,Troilus and Cressida,main,1,1,2,27,speech,TROILUS,TROILUS,"Pandarus,—",0.0,0.99007,-0.08463
troilus-and-cressida,Troilus and Cressida,main,1,1,2,28,speech,PANDARUS,PANDARUS,Not I.,0.0,-0.99693,-0.39771
troilus-and-cressida,Troilus and Cressida,main,1,1,2,29,speech,TROILUS,TROILUS,"Sweet Pandarus,—",0.4588,0.99667,-0.02185
troilus-and-cressida,Troilus and Cressida,main,1,1,2,30,speech,PANDARUS,PANDARUS,"Pray you, speak no more to me: I will leave all as I
found it, and there an end.",-0.34,-0.99398,0.15879
troilus-and-cressida,Troilus and Cressida,main,1,1,2,31,stage_direction,,,Exit PANDARUS. An alarum,-0.34,-0.9912,-0.00678
