play_id,play_title,section,act,scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
twelfth-night,Twelfth Night,main,1,1,1,8,24,337,0,0.26237,0.1279,0.09381,0.05716,0.39905,0.39367
twelfth-night,Twelfth Night,main,1,2,2,21,41,507,0,0.21558,0.0,0.04871,-0.01072,0.3775,0.37321
twelfth-night,Twelfth Night,main,1,3,3,65,124,1126,0,0.14361,0.0,-0.02498,-0.03057,0.31518,0.37765
twelfth-night,Twelfth Night,main,1,4,4,14,27,405,0,0.27336,0.2584,0.04579,-0.02651,0.37713,0.43461
twelfth-night,Twelfth Night,main,1,5,5,124,279,2815,0,0.04832,0.0,-0.04601,-0.02191,0.39573,0.39574
twelfth-night,Twelfth Night,main,2,1,6,11,32,428,0,-0.04866,0.0,-0.1744,-0.23302,0.50898,0.42469
twelfth-night,Twelfth Night,main,2,2,7,6,33,400,0,0.05103,0.0,-0.10088,-0.15251,0.39994,0.45524
twelfth-night,Twelfth Night,main,2,3,8,84,166,1560,0,0.14647,0.0,0.04168,0.03107,0.37738,0.39961
twelfth-night,Twelfth Night,main,2,4,9,41,89,1045,0,0.2093,0.21,-0.01128,-0.01205,0.46337,0.42596
twelfth-night,Twelfth Night,main,2,5,10,86,163,1735,0,0.10834,0.0,0.12794,0.11542,0.39506,0.38851
twelfth-night,Twelfth Night,main,3,1,11,68,131,1473,0,0.20134,0.0631,0.0408,0.0113,0.37039,0.42193
twelfth-night,Twelfth Night,main,3,2,12,28,60,725,0,0.11153,0.0,-0.05971,-0.01369,0.38213,0.36744
twelfth-night,Twelfth Night,main,3,3,13,15,34,465,0,0.12938,0.0,-0.10105,-0.06601,0.43068,0.33722
twelfth-night,Twelfth Night,main,3,4,14,158,333,3423,0,0.03448,0.0,0.01149,-0.00771,0.40249,0.38942
twelfth-night,Twelfth Night,main,4,1,15,24,75,716,0,0.03875,0.0,0.02075,-0.00629,0.32594,0.40465
twelfth-night,Twelfth Night,main,4,2,16,57,106,1037,0,-0.05273,0.0,0.08543,0.06273,0.43161,0.43741
twelfth-night,Twelfth Night,main,4,3,17,4,19,318,0,0.23642,0.2584,-0.0225,-0.11307,0.3699,0.42185
twelfth-night,Twelfth Night,main,5,1,18,131,268,3492,0,0.02434,0.0,-0.01117,-0.03038,0.44701,0.41719
