play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
twelfth-night,Twelfth Night,main,1,1,1.1,1,11,27,350,3,0.24071,0.1027,0.05563,0.97261,0.09704,0.12206,0.38186,0.99137,0.37165
twelfth-night,Twelfth Night,main,1,2,1.2,2,23,43,515,2,0.20555,0.0,0.25522,0.97812,0.04517,-0.01072,0.37126,0.9622,0.36536
twelfth-night,Twelfth Night,main,1,3,1.3,3,69,128,1142,4,0.13912,0.0,-0.17663,-0.97808,-0.02096,-0.02218,0.31119,0.97031,0.3739
twelfth-night,Twelfth Night,main,1,4,1.4,4,17,30,427,3,0.24602,0.125,0.0037,0.02398,0.05157,0.06241,0.36671,1.00083,0.41202
twelfth-night,Twelfth Night,main,1,5,1.5,5,141,296,2866,17,0.04175,0.0,-0.22358,-0.98126,-0.04163,-0.01299,0.38753,0.95672,0.38464
twelfth-night,Twelfth Night,main,2,1,2.1,6,14,35,436,3,-0.04449,0.0,-0.09979,-0.98238,-0.15534,-0.15702,0.4862,0.99057,0.41078
twelfth-night,Twelfth Night,main,2,2,2.2,7,9,36,409,3,0.04678,0.0,-0.44361,-0.99485,-0.09071,-0.07624,0.38268,0.9017,0.43664
twelfth-night,Twelfth Night,main,2,3,2.3,8,92,174,1584,8,0.1365,0.0,0.02538,0.95091,0.04088,0.02539,0.3735,0.98886,0.39069
twelfth-night,Twelfth Night,main,2,4,2.4,9,48,97,1072,8,0.1856,0.1779,0.05513,0.95674,-0.00552,-0.00148,0.45881,0.97767,0.40929
twelfth-night,Twelfth Night,main,2,5,2.5,10,94,171,1758,8,0.10223,0.0,-0.11199,-0.95727,0.11804,0.09086,0.38685,0.97586,0.38445
twelfth-night,Twelfth Night,main,3,1,3.1,11,73,136,1499,5,0.19079,0.0,0.08212,0.96208,0.03923,0.01276,0.36895,0.97859,0.41436
twelfth-night,Twelfth Night,main,3,2,3.2,12,31,63,738,3,0.10622,0.0,-0.11382,-0.98408,-0.0596,-0.00624,0.37354,0.99267,0.36009
twelfth-night,Twelfth Night,main,3,3,3.3,13,17,36,471,2,0.12219,0.0,0.05766,0.97754,-0.0962,-0.06601,0.41927,1.00262,0.32939
twelfth-night,Twelfth Night,main,3,4,3.4,14,178,355,3496,22,0.03234,0.0,-0.10992,-0.96657,0.0119,-0.00091,0.38987,0.97648,0.3778
twelfth-night,Twelfth Night,main,4,1,4.1,15,27,78,726,3,0.02284,0.0,-0.35913,-0.98952,0.0197,-0.00158,0.33353,0.91958,0.39717
twelfth-night,Twelfth Night,main,4,2,4.2,16,62,111,1061,5,-0.06555,0.0,-0.0608,-0.96448,0.08452,0.05478,0.42987,0.98424,0.4275
twelfth-night,Twelfth Night,main,4,3,4.3,17,7,22,328,3,0.20418,0.0,0.3588,0.98541,-0.02859,-0.07684,0.35239,0.94406,0.39486
twelfth-night,Twelfth Night,main,5,1,5.1,18,146,283,3549,15,0.0151,0.0,-0.13134,-0.96691,-0.00873,-0.02108,0.44047,0.9695,0.4082
